FREQ,REF_AREA,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE
M,CN,628,2007-01,90.03148
M,CN,628,2007-02,90.930895
M,CN,628,2007-03,90.652894
M,CN,628,2007-04,90.562952
M,CN,628,2007-05,90.840953
M,CN,628,2007-06,91.20072
M,CN,628,2007-07,92.01837
M,CN,628,2007-08,93.122198
M,CN,628,2007-09,93.408375
M,CN,628,2007-10,93.686377
M,CN,628,2007-11,94.340497
M,CN,628,2007-12,95.280795
M,CN,628,2008-01,96.425505
M,CN,628,2008-02,98.935692
M,CN,628,2008-03,98.240689
M,CN,628,2008-04,98.338807
M,CN,628,2008-05,97.946335
M,CN,628,2008-06,97.750099
M,CN,628,2008-07,97.848217
M,CN,628,2008-08,97.750099
M,CN,628,2008-09,97.750099
M,CN,628,2008-10,97.455745
M,CN,628,2008-11,96.678977
M,CN,628,2008-12,96.482741
M,CN,628,2009-01,97.34945
M,CN,628,2009-02,97.34945
M,CN,628,2009-03,97.063273
M,CN,628,2009-04,96.867036
M,CN,628,2009-05,96.572682
M,CN,628,2009-06,96.090269
M,CN,628,2009-07,96.090269
M,CN,628,2009-08,96.572682
M,CN,628,2009-09,96.956978
M,CN,628,2009-10,96.867036
M,CN,628,2009-11,97.153214
M,CN,628,2009-12,98.126218
M,CN,628,2010-01,98.714926
M,CN,628,2010-02,99.900519
M,CN,628,2010-03,99.19734
M,CN,628,2010-04,99.401752
M,CN,628,2010-05,99.295458
M,CN,628,2010-06,98.698573
M,CN,628,2010-07,99.099222
M,CN,628,2010-08,99.68793
M,CN,628,2010-09,100.292991
M,CN,628,2010-10,100.996171
M,CN,628,2010-11,102.099999
M,CN,628,2010-12,102.615118
M,CN,628,2011-01,103.637181
M,CN,628,2011-02,104.920892
M,CN,628,2011-03,104.700127
M,CN,628,2011-04,104.847304
M,CN,628,2011-05,104.920892
M,CN,628,2011-06,105.215246
M,CN,628,2011-07,105.738543
M,CN,628,2011-08,106.057426
M,CN,628,2011-09,106.588899
M,CN,628,2011-10,106.695194
M,CN,628,2011-11,106.482604
M,CN,628,2011-12,106.801488
M,CN,628,2012-01,108.404083
M,CN,628,2012-02,108.297788
M,CN,628,2012-03,108.510377
M,CN,628,2012-04,108.404083
M,CN,628,2012-05,108.077023
M,CN,628,2012-06,107.431079
M,CN,628,2012-07,107.537373
M,CN,628,2012-08,108.183317
M,CN,628,2012-09,108.510377
M,CN,628,2012-10,108.395906
M,CN,628,2012-11,108.510377
M,CN,628,2012-12,109.377087
M,CN,628,2013-01,110.472738
M,CN,628,2013-02,111.682861
M,CN,628,2013-03,110.677151
M,CN,628,2013-04,110.897916
M,CN,628,2013-05,110.23562
M,CN,628,2013-06,110.23562
M,CN,628,2013-07,110.341914
M,CN,628,2013-08,110.897916
M,CN,628,2013-09,111.780979
M,CN,628,2013-10,111.89545
M,CN,628,2013-11,111.780979
M,CN,628,2013-12,112.116215
M,CN,628,2014-01,113.236396
M,CN,628,2014-02,113.808752
M,CN,628,2014-03,113.236396
M,CN,628,2014-04,112.90116
M,CN,628,2014-05,113.007454
M,CN,628,2014-06,112.90116
M,CN,628,2014-07,113.007454
M,CN,628,2014-08,113.236396
M,CN,628,2014-09,113.800575
M,CN,628,2014-10,113.800575
M,CN,628,2014-11,113.571633
M,CN,628,2014-12,113.915046
M,CN,628,2015-01,114.258459
M,CN,628,2015-02,115.632112
M,CN,628,2015-03,115.05158
M,CN,628,2015-04,114.822638
M,CN,628,2015-05,114.593696
M,CN,628,2015-06,114.593696
M,CN,628,2015-07,114.937109
M,CN,628,2015-08,115.509464
M,CN,628,2015-09,115.623935
M,CN,628,2015-10,115.280522
M,CN,628,2015-11,115.280522
M,CN,628,2015-12,115.852877
M,CN,628,2016-01,116.433409
M,CN,628,2016-02,118.297652
M,CN,628,2016-03,117.823415
M,CN,628,2016-04,117.586296
M,CN,628,2016-05,116.997588
M,CN,628,2016-06,116.883117
M,CN,628,2016-07,117.120235
M,CN,628,2016-08,117.234707
M,CN,628,2016-09,118.052357
M,CN,628,2016-10,117.937886
M,CN,628,2016-11,118.052357
M,CN,628,2016-12,118.289475
M,CN,628,2017-01,119.475068
M,CN,628,2017-02,119.23795
M,CN,628,2017-03,118.878184
M,CN,628,2017-04,118.992655
M,CN,628,2017-05,118.878184
M,CN,628,2017-06,118.641065
M,CN,628,2017-07,118.755536
M,CN,628,2017-08,119.229773
M,CN,628,2017-09,119.826658
M,CN,628,2017-10,119.949306
M,CN,628,2017-11,119.949306
M,CN,628,2017-12,120.309072
M,CN,628,2018-01,121.028604
M,CN,628,2018-02,122.484022
M,CN,628,2018-03,121.134899
M,CN,628,2018-04,120.889604
M,CN,628,2018-05,120.652485
M,CN,628,2018-06,120.529837
M,CN,628,2018-07,120.889604
M,CN,628,2018-08,121.73996
M,CN,628,2018-09,122.590316
M,CN,628,2018-10,122.835611
M,CN,628,2018-11,122.467669
M,CN,628,2018-12,122.467669
M,CN,628,2019-01,123.080907
M,CN,628,2019-02,124.307382
M,CN,628,2019-03,123.816792
M,CN,628,2019-04,123.939439
M,CN,628,2019-05,124.184734
M,CN,628,2019-06,124.062087
M,CN,628,2019-07,124.552677
M,CN,628,2019-08,125.427563
M,CN,628,2019-09,126.55592
M,CN,628,2019-10,127.692454
M,CN,628,2019-11,128.207574
M,CN,628,2019-12,128.207574
