FREQ,REF_AREA,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE
M,CA,771,2007-01,1.109057
M,CA,771,2007-02,2.037037
M,CA,771,2007-03,2.302026
M,CA,771,2007-04,2.197802
M,CA,771,2007-05,2.187785
M,CA,771,2007-06,2.191781
M,CA,771,2007-07,2.189781
M,CA,771,2007-08,1.730419
M,CA,771,2007-09,2.472527
M,CA,771,2007-10,2.385321
M,CA,771,2007-11,2.472527
M,CA,771,2007-12,2.3766
M,CA,771,2008-01,2.193784
M,CA,771,2008-02,1.814882
M,CA,771,2008-03,1.350135
M,CA,771,2008-04,1.702509
M,CA,771,2008-05,2.230152
M,CA,771,2008-06,3.127793
M,CA,771,2008-07,3.392857
M,CA,771,2008-08,3.491495
M,CA,771,2008-09,3.395889
M,CA,771,2008-10,2.598566
M,CA,771,2008-11,1.966041
M,CA,771,2008-12,1.160714
M,CA,771,2009-01,1.073345
M,CA,771,2009-02,1.426025
M,CA,771,2009-03,1.243339
M,CA,771,2009-04,0.352423
M,CA,771,2009-05,0.08726
M,CA,771,2009-06,-0.259965
M,CA,771,2009-07,-0.949914
M,CA,771,2009-08,-0.778547
M,CA,771,2009-09,-0.864304
M,CA,771,2009-10,0.087336
M,CA,771,2009-11,0.964067
M,CA,771,2009-12,1.323919
M,CA,771,2010-01,1.858407
M,CA,771,2010-02,1.581722
M,CA,771,2010-03,1.403509
M,CA,771,2010-04,1.843723
M,CA,771,2010-05,1.394943
M,CA,771,2010-06,0.955691
M,CA,771,2010-07,1.830863
M,CA,771,2010-08,1.743679
M,CA,771,2010-09,1.918047
M,CA,771,2010-10,2.443281
M,CA,771,2010-11,1.996528
M,CA,771,2010-12,2.351916
M,CA,771,2011-01,2.345786
M,CA,771,2011-02,2.16263
M,CA,771,2011-03,3.287197
M,CA,771,2011-04,3.275862
M,CA,771,2011-05,3.697334
M,CA,771,2011-06,3.098107
M,CA,771,2011-07,2.739726
M,CA,771,2011-08,3.084833
M,CA,771,2011-09,3.165098
M,CA,771,2011-10,2.896082
M,CA,771,2011-11,2.893617
M,CA,771,2011-12,2.297872
M,CA,771,2012-01,2.4618
M,CA,771,2012-02,2.624894
M,CA,771,2012-03,1.926298
M,CA,771,2012-04,2.003339
M,CA,771,2012-05,1.243781
M,CA,771,2012-06,1.502504
M,CA,771,2012-07,1.25
M,CA,771,2012-08,1.246883
M,CA,771,2012-09,1.160862
M,CA,771,2012-10,1.15894
M,CA,771,2012-11,0.82713
M,CA,771,2012-12,0.831947
M,CA,771,2013-01,0.4971
M,CA,771,2013-02,1.237624
M,CA,771,2013-03,0.986031
M,CA,771,2013-04,0.409165
M,CA,771,2013-05,0.737101
M,CA,771,2013-06,1.151316
M,CA,771,2013-07,1.316872
M,CA,771,2013-08,1.067323
M,CA,771,2013-09,1.065574
M,CA,771,2013-10,0.654664
M,CA,771,2013-11,0.902379
M,CA,771,2013-12,1.237624
M,CA,771,2014-01,1.483924
M,CA,771,2014-02,1.140994
M,CA,771,2014-03,1.545972
M,CA,771,2014-04,2.03749
M,CA,771,2014-05,2.276423
M,CA,771,2014-06,2.357724
M,CA,771,2014-07,2.112104
M,CA,771,2014-08,2.112104
M,CA,771,2014-09,2.027575
M,CA,771,2014-10,2.357724
M,CA,771,2014-11,1.95122
M,CA,771,2014-12,1.466993
M,CA,771,2015-01,0.974817
M,CA,771,2015-02,1.047542
M,CA,771,2015-03,1.201923
M,CA,771,2015-04,0.798722
M,CA,771,2015-05,0.874404
M,CA,771,2015-06,1.032566
M,CA,771,2015-07,1.272872
M,CA,771,2015-08,1.272872
M,CA,771,2015-09,1.033386
M,CA,771,2015-10,1.032566
M,CA,771,2015-11,1.355662
M,CA,771,2015-12,1.606426
M,CA,771,2016-01,2.011263
M,CA,771,2016-02,1.355662
M,CA,771,2016-03,1.266825
M,CA,771,2016-04,1.664025
M,CA,771,2016-05,1.497242
M,CA,771,2016-06,1.493711
M,CA,771,2016-07,1.256874
M,CA,771,2016-08,1.099764
M,CA,771,2016-09,1.33753
M,CA,771,2016-10,1.493711
M,CA,771,2016-11,1.180173
M,CA,771,2016-12,1.501976
M,CA,771,2017-01,2.129338
M,CA,771,2017-02,2.045633
M,CA,771,2017-03,1.563722
M,CA,771,2017-04,1.636789
M,CA,771,2017-05,1.319876
M,CA,771,2017-06,1.006971
M,CA,771,2017-07,1.163693
M,CA,771,2017-08,1.398601
M,CA,771,2017-09,1.552795
M,CA,771,2017-10,1.394268
M,CA,771,2017-11,2.099533
M,CA,771,2017-12,1.869159
M,CA,771,2018-01,1.698842
M,CA,771,2018-02,2.158828
M,CA,771,2018-03,2.309469
M,CA,771,2018-04,2.223926
M,CA,771,2018-05,2.222222
M,CA,771,2018-06,2.453988
M,CA,771,2018-07,2.990798
M,CA,771,2018-08,2.835249
M,CA,771,2018-09,2.217125
M,CA,771,2018-10,2.444614
M,CA,771,2018-11,1.675552
M,CA,771,2018-12,1.987768
M,CA,771,2019-01,1.442673
M,CA,771,2019-02,1.509434
M,CA,771,2019-03,1.881114
M,CA,771,2019-04,2.025506
M,CA,771,2019-05,2.398801
M,CA,771,2019-06,2.020958
M,CA,771,2019-07,2.010424
M,CA,771,2019-08,1.937407
M,CA,771,2019-09,1.869858
M,CA,771,2019-10,1.86428
M,CA,771,2019-11,2.172285
M,CA,771,2019-12,2.248876
M,CA,771,2020-01,2.39521
M,CA,771,2020-02,2.156134
M,CA,771,2020-03,0.886263
M,CA,771,2020-04,-0.220588
M,CA,771,2020-05,-0.366032
M,CA,771,2020-06,0.660308
M,CA,771,2020-07,0.145985
M,CA,771,2020-08,0.146199
M,CA,771,2020-09,0.51395
M,CA,771,2020-10,0.658858
M,CA,771,2020-11,0.953079
M,CA,771,2020-12,0.733138
M,CA,771,2021-01,1.023392
M,CA,771,2021-02,1.091703
M,CA,771,2021-03,2.196193
M,CA,771,2021-04,3.389831
M,CA,771,2021-05,3.600294
M,CA,771,2021-06,3.061224
M,CA,771,2021-07,3.717201
M,CA,771,2021-08,4.087591
M,CA,771,2021-09,4.382761
M,CA,771,2021-10,4.654545
M,CA,771,2021-11,4.720407
M,CA,771,2021-12,4.803493
M,CA,771,2022-01,5.137482
M,CA,771,2022-02,5.687545
M,CA,771,2022-03,6.661891
M,CA,771,2022-04,6.771205
M,CA,771,2022-05,7.730496
M,CA,771,2022-06,8.132956
M,CA,771,2022-07,7.589599
M,CA,771,2022-08,7.012623
M,CA,771,2022-09,6.857943
M,CA,771,2022-10,6.879778
M,CA,771,2022-11,6.796117
M,CA,771,2022-12,6.319444
M,CA,771,2023-01,5.918789
M,CA,771,2023-02,5.245232
M,CA,771,2023-03,4.298187
M,CA,771,2023-04,4.405875
M,CA,771,2023-05,3.357472
M,CA,771,2023-06,2.812296
M,CA,771,2023-07,3.265839
M,CA,771,2023-08,3.997379
M,CA,771,2023-09,3.798297
M,CA,771,2023-10,3.120936
M,CA,771,2023-11,3.116883
M,CA,771,2023-12,3.396473
M,CA,771,2024-01,2.858999
M,CA,771,2024-02,2.783172
M,CA,771,2024-03,2.897618
M,CA,771,2024-04,2.685422
M,CA,771,2024-05,2.866242
M,CA,771,2024-06,2.671756
M,CA,771,2024-07,2.530044
M,CA,771,2024-08,1.953371
M,CA,771,2024-09,1.640379
M,CA,771,2024-10,2.017654
M,CA,771,2024-11,1.889169
M,CA,771,2024-12,1.831965
M,CA,771,2025-01,1.895136
M,CA,771,2025-02,2.644836
M,CA,771,2025-03,2.315394
M,CA,771,2025-04,1.743462
M,CA,771,2025-05,1.733746
M,CA,771,2025-06,1.858736
M,CA,771,2025-07,1.727329
M,CA,771,2025-08,1.854141
M,CA,771,2025-09,2.358783
M,CA,771,2025-10,2.163164
M,CA,771,2025-11,2.224969
M,CA,771,2025-12,2.35732
M,US,771,2007-01,2.075643
M,US,771,2007-02,2.415199
M,US,771,2007-03,2.778779
M,US,771,2007-04,2.573697
M,US,771,2007-05,2.690864
M,US,771,2007-06,2.687038
M,US,771,2007-07,2.358231
M,US,771,2007-08,1.970083
M,US,771,2007-09,2.755052
M,US,771,2007-10,3.536174
M,US,771,2007-11,4.306203
M,US,771,2007-12,4.081269
M,US,771,2008-01,4.280294
M,US,771,2008-02,4.026555
M,US,771,2008-03,3.981456
M,US,771,2008-04,3.93689
M,US,771,2008-05,4.175543
M,US,771,2008-06,5.02179
M,US,771,2008-07,5.600123
M,US,771,2008-08,5.371855
M,US,771,2008-09,4.936927
M,US,771,2008-10,3.655186
M,US,771,2008-11,1.069575
M,US,771,2008-12,0.091413
M,US,771,2009-01,0.029847
M,US,771,2009-02,0.236191
M,US,771,2009-03,-0.383556
M,US,771,2009-04,-0.736886
M,US,771,2009-05,-1.281436
M,US,771,2009-06,-1.426776
M,US,771,2009-07,-2.097161
M,US,771,2009-08,-1.484349
M,US,771,2009-09,-1.286206
M,US,771,2009-10,-0.182848
M,US,771,2009-11,1.838296
M,US,771,2009-12,2.721331
M,US,771,2010-01,2.625709
M,US,771,2010-02,2.143332
M,US,771,2010-03,2.313959
M,US,771,2010-04,2.236447
M,US,771,2010-05,2.020986
M,US,771,2010-06,1.053349
M,US,771,2010-07,1.235193
M,US,771,2010-08,1.148105
M,US,771,2010-09,1.143683
M,US,771,2010-10,1.172188
M,US,771,2010-11,1.143161
M,US,771,2010-12,1.495724
M,US,771,2011-01,1.631847
M,US,771,2011-02,2.107585
M,US,771,2011-03,2.681603
M,US,771,2011-04,3.163631
M,US,771,2011-05,3.568646
M,US,771,2011-06,3.558828
M,US,771,2011-07,3.628716
M,US,771,2011-08,3.771208
M,US,771,2011-09,3.868357
M,US,771,2011-10,3.5252
M,US,771,2011-11,3.394378
M,US,771,2011-12,2.962419
M,US,771,2012-01,2.925217
M,US,771,2012-02,2.871099
M,US,771,2012-03,2.651398
M,US,771,2012-04,2.30274
M,US,771,2012-05,1.704254
M,US,771,2012-06,1.663994
M,US,771,2012-07,1.408451
M,US,771,2012-08,1.692379
M,US,771,2012-09,1.991282
M,US,771,2012-10,2.162344
M,US,771,2012-11,1.764134
M,US,771,2012-12,1.741022
M,US,771,2013-01,1.594865
M,US,771,2013-02,1.977924
M,US,771,2013-03,1.473896
M,US,771,2013-04,1.063085
M,US,771,2013-05,1.361965
M,US,771,2013-06,1.754417
M,US,771,2013-07,1.960682
M,US,771,2013-08,1.518368
M,US,771,2013-09,1.184925
M,US,771,2013-10,0.963613
M,US,771,2013-11,1.237072
M,US,771,2013-12,1.501736
M,US,771,2014-01,1.578947
M,US,771,2014-02,1.126349
M,US,771,2014-03,1.512203
M,US,771,2014-04,1.952858
M,US,771,2014-05,2.127112
M,US,771,2014-06,2.072341
M,US,771,2014-07,1.992329
M,US,771,2014-08,1.699611
M,US,771,2014-09,1.657919
M,US,771,2014-10,1.66434
M,US,771,2014-11,1.322355
M,US,771,2014-12,0.756493
M,US,771,2015-01,-0.089348
M,US,771,2015-02,-0.02513
M,US,771,2015-03,-0.073637
M,US,771,2015-04,-0.199517
M,US,771,2015-05,-0.039933
M,US,771,2015-06,0.123771
M,US,771,2015-07,0.16957
M,US,771,2015-08,0.195079
M,US,771,2015-09,-0.03613
M,US,771,2015-10,0.170574
M,US,771,2015-11,0.501798
M,US,771,2015-12,0.72952
M,US,771,2016-01,1.373087
M,US,771,2016-02,1.0178
M,US,771,2016-03,0.852536
M,US,771,2016-04,1.12511
M,US,771,2016-05,1.019323
M,US,771,2016-06,0.997326
M,US,771,2016-07,0.827139
M,US,771,2016-08,1.062875
M,US,771,2016-09,1.463784
M,US,771,2016-10,1.635988
M,US,771,2016-11,1.692537
M,US,771,2016-12,2.074622
M,US,771,2017-01,2.500042
M,US,771,2017-02,2.737958
M,US,771,2017-03,2.380612
M,US,771,2017-04,2.19969
M,US,771,2017-05,1.874878
M,US,771,2017-06,1.633488
M,US,771,2017-07,1.727978
M,US,771,2017-08,1.938974
M,US,771,2017-09,2.232964
M,US,771,2017-10,2.041129
M,US,771,2017-11,2.202583
M,US,771,2017-12,2.109082
M,US,771,2018-01,2.070508
M,US,771,2018-02,2.211795
M,US,771,2018-03,2.359711
M,US,771,2018-04,2.462744
M,US,771,2018-05,2.801012
M,US,771,2018-06,2.871548
M,US,771,2018-07,2.949515
M,US,771,2018-08,2.69918
M,US,771,2018-09,2.276972
M,US,771,2018-10,2.52247
M,US,771,2018-11,2.176601
M,US,771,2018-12,1.910159
M,US,771,2019-01,1.551235
M,US,771,2019-02,1.520135
M,US,771,2019-03,1.862523
M,US,771,2019-04,1.99644
M,US,771,2019-05,1.790228
M,US,771,2019-06,1.648485
M,US,771,2019-07,1.811465
M,US,771,2019-08,1.74978
M,US,771,2019-09,1.711305
M,US,771,2019-10,1.764043
M,US,771,2019-11,2.051278
M,US,771,2019-12,2.28513
M,US,771,2020-01,2.486572
M,US,771,2020-02,2.334874
M,US,771,2020-03,1.539327
M,US,771,2020-04,0.329097
M,US,771,2020-05,0.117926
M,US,771,2020-06,0.645733
M,US,771,2020-07,0.986082
M,US,771,2020-08,1.309645
M,US,771,2020-09,1.371325
M,US,771,2020-10,1.182066
M,US,771,2020-11,1.174536
M,US,771,2020-12,1.362005
M,US,771,2021-01,1.39977
M,US,771,2021-02,1.676215
M,US,771,2021-03,2.619763
M,US,771,2021-04,4.159695
M,US,771,2021-05,4.992707
M,US,771,2021-06,5.391451
M,US,771,2021-07,5.365475
M,US,771,2021-08,5.251272
M,US,771,2021-09,5.390349
M,US,771,2021-10,6.221869
M,US,771,2021-11,6.809003
M,US,771,2021-12,7.036403
M,US,771,2022-01,7.479872
M,US,771,2022-02,7.871064
M,US,771,2022-03,8.542456
M,US,771,2022-04,8.258629
M,US,771,2022-05,8.581512
M,US,771,2022-06,9.059758
M,US,771,2022-07,8.524815
M,US,771,2022-08,8.262693
M,US,771,2022-09,8.20167
M,US,771,2022-10,7.745427
M,US,771,2022-11,7.110323
M,US,771,2022-12,6.454401
M,US,771,2023-01,6.410147
M,US,771,2023-02,6.035613
M,US,771,2023-03,4.984974
M,US,771,2023-04,4.93032
M,US,771,2023-05,4.047609
M,US,771,2023-06,2.969178
M,US,771,2023-07,3.17778
M,US,771,2023-08,3.665112
M,US,771,2023-09,3.699698
M,US,771,2023-10,3.241145
M,US,771,2023-11,3.137271
M,US,771,2023-12,3.352123
M,US,771,2024-01,3.090885
M,US,771,2024-02,3.153171
M,US,771,2024-03,3.477385
M,US,771,2024-04,3.357364
M,US,771,2024-05,3.269029
M,US,771,2024-06,2.971397
M,US,771,2024-07,2.894753
M,US,771,2024-08,2.53073
M,US,771,2024-09,2.440633
M,US,771,2024-10,2.597905
M,US,771,2024-11,2.74938
M,US,771,2024-12,2.888057
M,US,771,2025-01,3.000483
M,US,771,2025-02,2.821549
M,US,771,2025-03,2.390725
M,US,771,2025-04,2.311289
M,US,771,2025-05,2.354897
M,US,771,2025-06,2.669213
M,US,771,2025-07,2.704902
M,US,771,2025-08,2.916174
M,US,771,2025-09,3.012677
M,US,771,2025-10,
M,US,771,2025-11,2.735084
M,US,771,2025-12,2.677081
M,FR,771,2007-01,1.245753
M,FR,771,2007-02,1.049188
M,FR,771,2007-03,1.192485
M,FR,771,2007-04,1.254621
M,FR,771,2007-05,1.070831
M,FR,771,2007-06,1.19353
M,FR,771,2007-07,1.106145
M,FR,771,2007-08,1.180401
M,FR,771,2007-09,1.517857
M,FR,771,2007-10,2.002237
M,FR,771,2007-11,2.446927
M,FR,771,2007-12,2.586111
M,FR,771,2008-01,2.818792
M,FR,771,2008-02,2.846935
M,FR,771,2008-03,3.179544
M,FR,771,2008-04,3.020246
M,FR,771,2008-05,3.321929
M,FR,771,2008-06,3.571429
M,FR,771,2008-07,3.613659
M,FR,771,2008-08,3.158706
M,FR,771,2008-09,2.979332
M,FR,771,2008-10,2.664766
M,FR,771,2008-11,1.625041
M,FR,771,2008-12,0.999674
M,FR,771,2009-01,0.707137
M,FR,771,2009-02,0.868432
M,FR,771,2009-03,0.301692
M,FR,771,2009-04,0.128866
M,FR,771,2009-05,-0.256355
M,FR,771,2009-06,-0.48957
M,FR,771,2009-07,-0.725256
M,FR,771,2009-08,-0.181372
M,FR,771,2009-09,-0.362976
M,FR,771,2009-10,-0.21363
M,FR,771,2009-11,0.397081
M,FR,771,2009-12,0.91447
M,FR,771,2010-01,1.101869
M,FR,771,2010-02,1.280672
M,FR,771,2010-03,1.589859
M,FR,771,2010-04,1.683827
M,FR,771,2010-05,1.649175
M,FR,771,2010-06,1.508021
M,FR,771,2010-07,1.675978
M,FR,771,2010-08,1.389483
M,FR,771,2010-09,1.564342
M,FR,771,2010-10,1.594948
M,FR,771,2010-11,1.571352
M,FR,771,2010-12,1.759062
M,FR,771,2011-01,1.741639
M,FR,771,2011-02,1.657635
M,FR,771,2011-03,1.987945
M,FR,771,2011-04,2.07784
M,FR,771,2011-05,2.012221
M,FR,771,2011-06,2.10726
M,FR,771,2011-07,1.94421
M,FR,771,2011-08,2.234872
M,FR,771,2011-09,2.236523
M,FR,771,2011-10,2.349594
M,FR,771,2011-11,2.51526
M,FR,771,2011-12,2.462022
M,FR,771,2012-01,2.352447
M,FR,771,2012-02,2.289119
M,FR,771,2012-03,2.301711
M,FR,771,2012-04,2.087208
M,FR,771,2012-05,1.982857
M,FR,771,2012-06,1.929625
M,FR,771,2012-07,1.938226
M,FR,771,2012-08,2.082904
M,FR,771,2012-09,1.908988
M,FR,771,2012-10,1.852996
M,FR,771,2012-11,1.416692
M,FR,771,2012-12,1.329243
M,FR,771,2013-01,1.169711
M,FR,771,2013-02,1.042305
M,FR,771,2013-03,0.97294
M,FR,771,2013-04,0.688259
M,FR,771,2013-05,0.8
M,FR,771,2013-06,0.931363
M,FR,771,2013-07,1.067616
M,FR,771,2013-08,0.868687
M,FR,771,2013-09,0.880923
M,FR,771,2013-10,0.566
M,FR,771,2013-11,0.678206
M,FR,771,2013-12,0.706357
M,FR,771,2014-01,0.649087
M,FR,771,2014-02,0.920307
M,FR,771,2014-03,0.612265
M,FR,771,2014-04,0.723764
M,FR,771,2014-05,0.683142
M,FR,771,2014-06,0.481444
M,FR,771,2014-07,0.462777
M,FR,771,2014-08,0.440617
M,FR,771,2014-09,0.291077
M,FR,771,2014-10,0.452261
M,FR,771,2014-11,0.321737
M,FR,771,2014-12,0.06012
M,FR,771,2015-01,-0.38291
M,FR,771,2015-02,-0.270568
M,FR,771,2015-03,-0.069832
M,FR,771,2015-04,0.07984
M,FR,771,2015-05,0.299341
M,FR,771,2015-06,0.259533
M,FR,771,2015-07,0.170238
M,FR,771,2015-08,0.04985
M,FR,771,2015-09,0.030024
M,FR,771,2015-10,0.06003
M,FR,771,2015-11,0.040088
M,FR,771,2015-12,0.180252
M,FR,771,2016-01,0.222537
M,FR,771,2016-02,-0.190916
M,FR,771,2016-03,-0.149745
M,FR,771,2016-04,-0.189469
M,FR,771,2016-05,-0.019897
M,FR,771,2016-06,0.189168
M,FR,771,2016-07,0.219934
M,FR,771,2016-08,0.229198
M,FR,771,2016-09,0.390195
M,FR,771,2016-10,0.359964
M,FR,771,2016-11,0.530956
M,FR,771,2016-12,0.609756
M,FR,771,2017-01,1.34235
M,FR,771,2017-02,1.208094
M,FR,771,2017-03,1.14977
M,FR,771,2017-04,1.168948
M,FR,771,2017-05,0.80597
M,FR,771,2017-06,0.68568
M,FR,771,2017-07,0.718204
M,FR,771,2017-08,0.904752
M,FR,771,2017-09,0.986645
M,FR,771,2017-10,1.056092
M,FR,771,2017-11,1.175884
M,FR,771,2017-12,1.19225
M,FR,771,2018-01,1.334528
M,FR,771,2018-02,1.183726
M,FR,771,2018-03,1.561728
M,FR,771,2018-04,1.639344
