FREQ,BORROWERS_CTY,TC_BORROWERS,TC_LENDERS,VALUATION,UNIT_TYPE,TC_ADJUST,TIME_PERIOD,OBS_VALUE
Q,AU,N,A,M,770,A,2007-Q1,73.4
Q,AU,N,A,M,770,A,2007-Q2,73.4
Q,AU,N,A,M,770,A,2007-Q3,77.4
Q,AU,N,A,M,770,A,2007-Q4,78.3
Q,AU,N,A,M,770,A,2008-Q1,79.2
Q,AU,N,A,M,770,A,2008-Q2,78.6
Q,AU,N,A,M,770,A,2008-Q3,79.5
Q,AU,N,A,M,770,A,2008-Q4,80.8
Q,AU,N,A,M,770,A,2009-Q1,79.0
Q,AU,N,A,M,770,A,2009-Q2,76.0
Q,AU,N,A,M,770,A,2009-Q3,74.7
Q,AU,N,A,M,770,A,2009-Q4,74.2
Q,AU,N,A,M,770,A,2010-Q1,73.0
Q,AU,N,A,M,770,A,2010-Q2,71.5
Q,AU,N,A,M,770,A,2010-Q3,69.8
Q,AU,N,A,M,770,A,2010-Q4,66.8
Q,AU,N,A,M,770,A,2011-Q1,65.9
Q,AU,N,A,M,770,A,2011-Q2,63.9
Q,AU,N,A,M,770,A,2011-Q3,65.1
Q,AU,N,A,M,770,A,2011-Q4,64.3
Q,AU,N,A,M,770,A,2012-Q1,64.6
Q,AU,N,A,M,770,A,2012-Q2,64.9
Q,AU,N,A,M,770,A,2012-Q3,65.2
Q,AU,N,A,M,770,A,2012-Q4,65.6
Q,AU,N,A,M,770,A,2013-Q1,65.8
Q,AU,N,A,M,770,A,2013-Q2,67.6
Q,AU,N,A,M,770,A,2013-Q3,67.8
Q,AU,N,A,M,770,A,2013-Q4,69.2
Q,AU,N,A,M,770,A,2014-Q1,68.1
Q,AU,N,A,M,770,A,2014-Q2,68.6
Q,AU,N,A,M,770,A,2014-Q3,70.0
Q,AU,N,A,M,770,A,2014-Q4,70.9
Q,AU,N,A,M,770,A,2015-Q1,73.6
Q,AU,N,A,M,770,A,2015-Q2,73.9
Q,AU,N,A,M,770,A,2015-Q3,75.9
Q,AU,N,A,M,770,A,2015-Q4,76.2
Q,AU,N,A,M,770,A,2016-Q1,76.7
Q,AU,N,A,M,770,A,2016-Q2,76.5
