FREQ,BORROWERS_CTY,TC_BORROWERS,TC_LENDERS,CG_DTYPE,TIME_PERIOD,OBS_VALUE
Q,CN,P,A,B,2007-Q1,116.0
Q,CN,P,A,B,2007-Q2,116.4
Q,CN,P,A,B,2007-Q3,116.7
Q,CN,P,A,B,2007-Q4,116.8
Q,CN,P,A,B,2008-Q1,116.9
Q,CN,P,A,B,2008-Q2,117.0
Q,CN,P,A,B,2008-Q3,117.0
Q,CN,P,A,B,2008-Q4,117.0
Q,CN,P,A,B,2009-Q1,117.6
Q,CN,P,A,B,2009-Q2,118.7
Q,CN,P,A,B,2009-Q3,120.0
Q,CN,P,A,B,2009-Q4,121.4
Q,CN,P,A,B,2010-Q1,122.8
Q,CN,P,A,B,2010-Q2,124.3
Q,CN,P,A,B,2010-Q3,125.7
Q,CN,P,A,B,2010-Q4,127.0
Q,CN,P,A,B,2011-Q1,128.3
Q,CN,P,A,B,2011-Q2,129.5
Q,CN,P,A,B,2011-Q3,130.6
Q,CN,P,A,B,2011-Q4,131.7
Q,CN,P,A,B,2012-Q1,133.0
Q,CN,P,A,B,2012-Q2,134.3
Q,CN,P,A,B,2012-Q3,135.7
Q,CN,P,A,B,2012-Q4,137.2
Q,CN,P,A,B,2013-Q1,139.0
Q,CN,P,A,B,2013-Q2,140.9
Q,CN,P,A,B,2013-Q3,142.8
Q,CN,P,A,B,2013-Q4,144.8
Q,CN,P,A,B,2014-Q1,146.8
Q,CN,P,A,B,2014-Q2,149.0
Q,CN,P,A,B,2014-Q3,151.1
Q,CN,P,A,B,2014-Q4,153.2
Q,CN,P,A,B,2015-Q1,155.5
Q,CN,P,A,B,2015-Q2,157.8
Q,CN,P,A,B,2015-Q3,160.2
Q,CN,P,A,B,2015-Q4,162.8
Q,CN,P,A,B,2016-Q1,165.5
Q,CN,P,A,B,2016-Q2,168.0
Q,CN,P,A,B,2016-Q3,170.4
Q,CN,P,A,B,2016-Q4,172.6
Q,CN,P,A,B,2017-Q1,174.8
Q,CN,P,A,B,2017-Q2,176.8
Q,CN,P,A,B,2017-Q3,178.5
Q,CN,P,A,B,2017-Q4,180.1
Q,CN,P,A,B,2018-Q1,181.5
Q,CN,P,A,B,2018-Q2,182.8
Q,CN,P,A,B,2018-Q3,183.9
Q,CN,P,A,B,2018-Q4,184.9
Q,CN,P,A,B,2019-Q1,186.0
Q,CN,P,A,B,2019-Q2,186.9
Q,CN,P,A,B,2019-Q3,187.9
Q,CN,P,A,B,2019-Q4,188.7
Q,CN,P,A,B,2020-Q1,190.0
Q,CN,P,A,B,2020-Q2,191.5
Q,CN,P,A,B,2020-Q3,193.0
Q,CN,P,A,B,2020-Q4,194.3
Q,CN,P,A,B,2021-Q1,195.4
Q,CN,P,A,B,2021-Q2,196.3
Q,CN,P,A,B,2021-Q3,197.1
Q,CN,P,A,B,2021-Q4,197.6
Q,CN,P,A,B,2022-Q1,198.3
Q,CN,P,A,B,2022-Q2,199.0
Q,CN,P,A,B,2022-Q3,199.7
Q,CN,P,A,B,2022-Q4,200.3
Q,CN,P,A,B,2023-Q1,201.2
Q,CN,P,A,B,2023-Q2,202.0
Q,CN,P,A,B,2023-Q3,202.8
Q,CN,P,A,B,2023-Q4,203.6
Q,CN,P,A,B,2024-Q1,204.5
Q,CN,P,A,B,2024-Q2,205.3
Q,CN,P,A,B,2024-Q3,206.1
Q,CN,P,A,B,2024-Q4,206.7
Q,CN,P,A,B,2025-Q1,207.5
Q,CN,P,A,B,2025-Q2,208.3
Q,CN,P,A,C,2007-Q1,-5.2
Q,CN,P,A,C,2007-Q2,-5.1
Q,CN,P,A,C,2007-Q3,-6.2
Q,CN,P,A,C,2007-Q4,-9.2
Q,CN,P,A,C,2008-Q1,-8.9
Q,CN,P,A,C,2008-Q2,-9.7
Q,CN,P,A,C,2008-Q3,-10.2
Q,CN,P,A,C,2008-Q4,-10.7
Q,CN,P,A,C,2009-Q1,0.8
Q,CN,P,A,C,2009-Q2,8.8
Q,CN,P,A,C,2009-Q3,11.7
Q,CN,P,A,C,2009-Q4,11.9
Q,CN,P,A,C,2010-Q1,13.4
Q,CN,P,A,C,2010-Q2,13.9
Q,CN,P,A,C,2010-Q3,12.4
Q,CN,P,A,C,2010-Q4,10.6
Q,CN,P,A,C,2011-Q1,9.7
Q,CN,P,A,C,2011-Q2,8.3
Q,CN,P,A,C,2011-Q3,5.9
Q,CN,P,A,C,2011-Q4,5.9
Q,CN,P,A,C,2012-Q1,7.8
Q,CN,P,A,C,2012-Q2,9.0
Q,CN,P,A,C,2012-Q3,10.9
Q,CN,P,A,C,2012-Q4,12.2
Q,CN,P,A,C,2013-Q1,16.2
Q,CN,P,A,C,2013-Q2,17.3
Q,CN,P,A,C,2013-Q3,18.3
Q,CN,P,A,C,2013-Q4,17.2
Q,CN,P,A,C,2014-Q1,19.4
Q,CN,P,A,C,2014-Q2,20.4
Q,CN,P,A,C,2014-Q3,18.9
Q,CN,P,A,C,2014-Q4,18.6
Q,CN,P,A,C,2015-Q1,20.5
Q,CN,P,A,C,2015-Q2,21.0
Q,CN,P,A,C,2015-Q3,21.8
Q,CN,P,A,C,2015-Q4,23.9
Q,CN,P,A,C,2016-Q1,25.5
Q,CN,P,A,C,2016-Q2,21.8
Q,CN,P,A,C,2016-Q3,18.4
Q,CN,P,A,C,2016-Q4,15.9
Q,CN,P,A,C,2017-Q1,14.3
Q,CN,P,A,C,2017-Q2,10.0
Q,CN,P,A,C,2017-Q3,6.5
Q,CN,P,A,C,2017-Q4,2.4
Q,CN,P,A,C,2018-Q1,1.1
Q,CN,P,A,C,2018-Q2,-2.0
Q,CN,P,A,C,2018-Q3,-4.9
Q,CN,P,A,C,2018-Q4,-7.6
Q,CN,P,A,C,2019-Q1,-5.5
Q,CN,P,A,C,2019-Q2,-6.8
Q,CN,P,A,C,2019-Q3,-7.6
Q,CN,P,A,C,2019-Q4,-8.8
Q,CN,P,A,C,2020-Q1,-0.2
Q,CN,P,A,C,2020-Q2,2.9
Q,CN,P,A,C,2020-Q3,2.6
Q,CN,P,A,C,2020-Q4,-0.7
Q,CN,P,A,C,2021-Q1,-3.9
Q,CN,P,A,C,2021-Q2,-7.3
Q,CN,P,A,C,2021-Q3,-9.8
Q,CN,P,A,C,2021-Q4,-13.2
Q,CN,P,A,C,2022-Q1,-10.8
Q,CN,P,A,C,2022-Q2,-9.7
Q,CN,P,A,C,2022-Q3,-9.9
Q,CN,P,A,C,2022-Q4,-10.9
Q,CN,P,A,C,2023-Q1,-5.8
Q,CN,P,A,C,2023-Q2,-6.4
Q,CN,P,A,C,2023-Q3,-6.7
Q,CN,P,A,C,2023-Q4,-8.4
