FREQ,BORROWERS_CTY,TC_BORROWERS,TC_LENDERS,VALUATION,UNIT_TYPE,TC_ADJUST,TIME_PERIOD,OBS_VALUE
Q,AU,G,A,M,770,A,2007-Q1,9.0
Q,AU,G,A,M,770,A,2007-Q2,9.1
Q,AU,G,A,M,770,A,2007-Q3,9.6
Q,AU,G,A,M,770,A,2007-Q4,9.2
Q,AU,G,A,M,770,A,2008-Q1,9.1
Q,AU,G,A,M,770,A,2008-Q2,10.0
Q,AU,G,A,M,770,A,2008-Q3,9.8
Q,AU,G,A,M,770,A,2008-Q4,10.4
Q,AU,G,A,M,770,A,2009-Q1,11.2
Q,AU,G,A,M,770,A,2009-Q2,13.1
Q,AU,G,A,M,770,A,2009-Q3,14.6
Q,AU,G,A,M,770,A,2009-Q4,15.6
Q,AU,G,A,M,770,A,2010-Q1,17.1
Q,AU,G,A,M,770,A,2010-Q2,18.5
Q,AU,G,A,M,770,A,2010-Q3,19.2
Q,AU,G,A,M,770,A,2010-Q4,19.7
Q,AU,G,A,M,770,A,2011-Q1,20.7
Q,AU,G,A,M,770,A,2011-Q2,21.8
Q,AU,G,A,M,770,A,2011-Q3,23.6
Q,AU,G,A,M,770,A,2011-Q4,24.8
Q,AU,G,A,M,770,A,2012-Q1,25.6
Q,AU,G,A,M,770,A,2012-Q2,26.7
Q,AU,G,A,M,770,A,2012-Q3,28.4
Q,AU,G,A,M,770,A,2012-Q4,28.6
Q,AU,G,A,M,770,A,2013-Q1,28.9
Q,AU,G,A,M,770,A,2013-Q2,28.1
Q,AU,G,A,M,770,A,2013-Q3,29.6
Q,AU,G,A,M,770,A,2013-Q4,30.4
Q,AU,G,A,M,770,A,2014-Q1,31.4
Q,AU,G,A,M,770,A,2014-Q2,32.1
Q,AU,G,A,M,770,A,2014-Q3,33.5
Q,AU,G,A,M,770,A,2014-Q4,34.7
Q,AU,G,A,M,770,A,2015-Q1,36.2
Q,AU,G,A,M,770,A,2015-Q2,35.4
Q,AU,G,A,M,770,A,2015-Q3,37.9
Q,AU,G,A,M,770,A,2015-Q4,37.5
Q,AU,G,A,M,770,A,2016-Q1,39.1
Q,AU,G,A,M,770,A,2016-Q2,39.5
Q,AU,G,A,M,770,A,2016-Q3,40.9
Q,AU,G,A,M,770,A,2016-Q4,39.9
Q,AU,G,A,M,770,A,2017-Q1,40.3
Q,AU,G,A,M,770,A,2017-Q2,40.8
Q,AU,G,A,M,770,A,2017-Q3,40.2
Q,AU,G,A,M,770,A,2017-Q4,40.8
Q,AU,G,A,M,770,A,2018-Q1,41.0
Q,AU,G,A,M,770,A,2018-Q2,40.8
Q,AU,G,A,M,770,A,2018-Q3,40.6
Q,AU,G,A,M,770,A,2018-Q4,40.7
Q,AU,G,A,M,770,A,2019-Q1,41.3
Q,AU,G,A,M,770,A,2019-Q2,42.0
Q,AU,G,A,M,770,A,2019-Q3,43.4
Q,AU,G,A,M,770,A,2019-Q4,42.8
Q,AU,G,A,M,770,A,2020-Q1,45.3
Q,AU,G,A,M,770,A,2020-Q2,52.4
Q,AU,G,A,M,770,A,2020-Q3,60.4
Q,AU,G,A,M,770,A,2020-Q4,61.0
Q,AU,G,A,M,770,A,2021-Q1,59.4
Q,AU,G,A,M,770,A,2021-Q2,57.8
Q,AU,G,A,M,770,A,2021-Q3,58.5
Q,AU,G,A,M,770,A,2021-Q4,57.1
Q,AU,G,A,M,770,A,2022-Q1,53.7
Q,AU,G,A,M,770,A,2022-Q2,52.0
Q,AU,G,A,M,770,A,2022-Q3,50.6
Q,AU,G,A,M,770,A,2022-Q4,49.1
Q,AU,G,A,M,770,A,2023-Q1,50.1
Q,AU,G,A,M,770,A,2023-Q2,47.8
Q,AU,G,A,M,770,A,2023-Q3,47.8
Q,AU,G,A,M,770,A,2023-Q4,49.2
Q,AU,G,A,M,770,A,2024-Q1,49.9
Q,AU,G,A,M,770,A,2024-Q2,48.5
Q,AU,G,A,M,770,A,2024-Q3,50.6
Q,AU,G,A,M,770,A,2024-Q4,49.5
Q,AU,G,A,M,770,A,2025-Q1,51.1
Q,AU,G,A,M,770,A,2025-Q2,50.2
Q,GB,G,A,M,770,A,2007-Q1,43.1
Q,GB,G,A,M,770,A,2007-Q2,42.9
Q,GB,G,A,M,770,A,2007-Q3,43.9
Q,GB,G,A,M,770,A,2007-Q4,45.6
Q,GB,G,A,M,770,A,2008-Q1,45.0
Q,GB,G,A,M,770,A,2008-Q2,45.2
Q,GB,G,A,M,770,A,2008-Q3,48.4
Q,GB,G,A,M,770,A,2008-Q4,55.1
Q,GB,G,A,M,770,A,2009-Q1,57.2
Q,GB,G,A,M,770,A,2009-Q2,60.4
Q,GB,G,A,M,770,A,2009-Q3,65.4
Q,GB,G,A,M,770,A,2009-Q4,68.4
Q,GB,G,A,M,770,A,2010-Q1,74.3
Q,GB,G,A,M,770,A,2010-Q2,77.9
Q,GB,G,A,M,770,A,2010-Q3,82.3
Q,GB,G,A,M,770,A,2010-Q4,81.3
Q,GB,G,A,M,770,A,2011-Q1,80.5
Q,GB,G,A,M,770,A,2011-Q2,84.6
Q,GB,G,A,M,770,A,2011-Q3,89.9
Q,GB,G,A,M,770,A,2011-Q4,94.9
Q,GB,G,A,M,770,A,2012-Q1,93.9
Q,GB,G,A,M,770,A,2012-Q2,95.4
Q,GB,G,A,M,770,A,2012-Q3,96.0
Q,GB,G,A,M,770,A,2012-Q4,96.8
Q,GB,G,A,M,770,A,2013-Q1,98.0
Q,GB,G,A,M,770,A,2013-Q2,94.7
Q,GB,G,A,M,770,A,2013-Q3,93.9
Q,GB,G,A,M,770,A,2013-Q4,93.0
Q,GB,G,A,M,770,A,2014-Q1,94.1
Q,GB,G,A,M,770,A,2014-Q2,95.2
Q,GB,G,A,M,770,A,2014-Q3,97.0
Q,GB,G,A,M,770,A,2014-Q4,103.6
Q,GB,G,A,M,770,A,2015-Q1,104.3
Q,GB,G,A,M,770,A,2015-Q2,102.3
Q,GB,G,A,M,770,A,2015-Q3,103.8
Q,GB,G,A,M,770,A,2015-Q4,102.6
Q,GB,G,A,M,770,A,2016-Q1,105.1
Q,GB,G,A,M,770,A,2016-Q2,112.5
Q,GB,G,A,M,770,A,2016-Q3,115.4
Q,GB,G,A,M,770,A,2016-Q4,112.7
Q,GB,G,A,M,770,A,2017-Q1,111.9
Q,GB,G,A,M,770,A,2017-Q2,109.1
Q,GB,G,A,M,770,A,2017-Q3,107.5
Q,GB,G,A,M,770,A,2017-Q4,110.2
Q,GB,G,A,M,770,A,2018-Q1,107.9
Q,GB,G,A,M,770,A,2018-Q2,107.8
Q,GB,G,A,M,770,A,2018-Q3,105.5
Q,GB,G,A,M,770,A,2018-Q4,107.0
Q,GB,G,A,M,770,A,2019-Q1,108.5
Q,GB,G,A,M,770,A,2019-Q2,109.9
Q,GB,G,A,M,770,A,2019-Q3,114.8
Q,GB,G,A,M,770,A,2019-Q4,109.9
Q,GB,G,A,M,770,A,2020-Q1,113.1
Q,GB,G,A,M,770,A,2020-Q2,131.5
Q,GB,G,A,M,770,A,2020-Q3,134.4
Q,GB,G,A,M,770,A,2020-Q4,140.0
Q,GB,G,A,M,770,A,2021-Q1,132.9
Q,GB,G,A,M,770,A,2021-Q2,132.3
Q,GB,G,A,M,770,A,2021-Q3,129.6
Q,GB,G,A,M,770,A,2021-Q4,131.1
Q,GB,G,A,M,770,A,2022-Q1,117.9
Q,GB,G,A,M,770,A,2022-Q2,104.6
Q,GB,G,A,M,770,A,2022-Q3,91.2
Q,GB,G,A,M,770,A,2022-Q4,89.8
Q,GB,G,A,M,770,A,2023-Q1,89.9
Q,GB,G,A,M,770,A,2023-Q2,86.3
Q,GB,G,A,M,770,A,2023-Q3,83.6
Q,GB,G,A,M,770,A,2023-Q4,90.4
Q,GB,G,A,M,770,A,2024-Q1,88.4
Q,GB,G,A,M,770,A,2024-Q2,88.3
Q,GB,G,A,M,770,A,2024-Q3,89.6
Q,GB,G,A,M,770,A,2024-Q4,86.2
Q,GB,G,A,M,770,A,2025-Q1,85.6
Q,GB,G,A,M,770,A,2025-Q2,86.4
Q,IT,G,A,M,770,A,2007-Q1,109.2
Q,IT,G,A,M,770,A,2007-Q2,107.4
Q,IT,G,A,M,770,A,2007-Q3,106.9
Q,IT,G,A,M,770,A,2007-Q4,104.6
Q,IT,G,A,M,770,A,2008-Q1,107.2
Q,IT,G,A,M,770,A,2008-Q2,104.3
Q,IT,G,A,M,770,A,2008-Q3,104.9
Q,IT,G,A,M,770,A,2008-Q4,107.4
Q,IT,G,A,M,770,A,2009-Q1,114.0
Q,IT,G,A,M,770,A,2009-Q2,116.4
Q,IT,G,A,M,770,A,2009-Q3,121.5
Q,IT,G,A,M,770,A,2009-Q4,120.1
Q,IT,G,A,M,770,A,2010-Q1,122.8
Q,IT,G,A,M,770,A,2010-Q2,121.8
Q,IT,G,A,M,770,A,2010-Q3,123.4
Q,IT,G,A,M,770,A,2010-Q4,118.8
Q,IT,G,A,M,770,A,2011-Q1,119.1
Q,IT,G,A,M,770,A,2011-Q2,119.8
Q,IT,G,A,M,770,A,2011-Q3,113.8
Q,IT,G,A,M,770,A,2011-Q4,111.5
Q,IT,G,A,M,770,A,2012-Q1,121.9
Q,IT,G,A,M,770,A,2012-Q2,121.0
Q,IT,G,A,M,770,A,2012-Q3,126.1
Q,IT,G,A,M,770,A,2012-Q4,129.7
Q,IT,G,A,M,770,A,2013-Q1,132.3
Q,IT,G,A,M,770,A,2013-Q2,136.2
Q,IT,G,A,M,770,A,2013-Q3,135.5
Q,IT,G,A,M,770,A,2013-Q4,137.8
Q,IT,G,A,M,770,A,2014-Q1,144.1
Q,IT,G,A,M,770,A,2014-Q2,149.5
Q,IT,G,A,M,770,A,2014-Q3,148.6
Q,IT,G,A,M,770,A,2014-Q4,149.8
Q,IT,G,A,M,770,A,2015-Q1,157.2
Q,IT,G,A,M,770,A,2015-Q2,150.7
Q,IT,G,A,M,770,A,2015-Q3,152.3
Q,IT,G,A,M,770,A,2015-Q4,151.3
Q,IT,G,A,M,770,A,2016-Q1,155.3
Q,IT,G,A,M,770,A,2016-Q2,155.4
Q,IT,G,A,M,770,A,2016-Q3,152.4
Q,IT,G,A,M,770,A,2016-Q4,148.2
Q,IT,G,A,M,770,A,2017-Q1,146.8
Q,IT,G,A,M,770,A,2017-Q2,148.0
Q,IT,G,A,M,770,A,2017-Q3,147.3
Q,IT,G,A,M,770,A,2017-Q4,145.2
