FREQ,BORROWERS_CTY,TC_BORROWERS,TC_LENDERS,VALUATION,UNIT_TYPE,TC_ADJUST,TIME_PERIOD,OBS_VALUE
Q,CN,H,A,M,770,A,2007-Q1,18.1
Q,CN,H,A,M,770,A,2007-Q2,18.6
Q,CN,H,A,M,770,A,2007-Q3,19.1
Q,CN,H,A,M,770,A,2007-Q4,18.6
Q,CN,H,A,M,770,A,2008-Q1,18.5
Q,CN,H,A,M,770,A,2008-Q2,18.3
Q,CN,H,A,M,770,A,2008-Q3,18.1
Q,CN,H,A,M,770,A,2008-Q4,17.6
Q,CN,H,A,M,770,A,2009-Q1,18.6
Q,CN,H,A,M,770,A,2009-Q2,20.2
Q,CN,H,A,M,770,A,2009-Q3,22.1
Q,CN,H,A,M,770,A,2009-Q4,23.1
Q,CN,H,A,M,770,A,2010-Q1,25.2
Q,CN,H,A,M,770,A,2010-Q2,26.3
Q,CN,H,A,M,770,A,2010-Q3,26.7
Q,CN,H,A,M,770,A,2010-Q4,26.8
Q,CN,H,A,M,770,A,2011-Q1,27.2
Q,CN,H,A,M,770,A,2011-Q2,27.5
Q,CN,H,A,M,770,A,2011-Q3,27.5
Q,CN,H,A,M,770,A,2011-Q4,27.3
Q,CN,H,A,M,770,A,2012-Q1,27.5
Q,CN,H,A,M,770,A,2012-Q2,28.0
Q,CN,H,A,M,770,A,2012-Q3,28.9
Q,CN,H,A,M,770,A,2012-Q4,29.3
Q,CN,H,A,M,770,A,2013-Q1,30.3
Q,CN,H,A,M,770,A,2013-Q2,31.5
Q,CN,H,A,M,770,A,2013-Q3,32.4
Q,CN,H,A,M,770,A,2013-Q4,32.7
Q,CN,H,A,M,770,A,2014-Q1,33.5
Q,CN,H,A,M,770,A,2014-Q2,34.2
Q,CN,H,A,M,770,A,2014-Q3,34.7
Q,CN,H,A,M,770,A,2014-Q4,35.0
Q,CN,H,A,M,770,A,2015-Q1,35.7
Q,CN,H,A,M,770,A,2015-Q2,36.6
Q,CN,H,A,M,770,A,2015-Q3,37.5
Q,CN,H,A,M,770,A,2015-Q4,38.1
Q,CN,H,A,M,770,A,2016-Q1,39.2
Q,CN,H,A,M,770,A,2016-Q2,40.8
Q,CN,H,A,M,770,A,2016-Q3,42.3
Q,CN,H,A,M,770,A,2016-Q4,43.4
Q,CN,H,A,M,770,A,2017-Q1,44.5
Q,CN,H,A,M,770,A,2017-Q2,45.8
Q,CN,H,A,M,770,A,2017-Q3,46.9
Q,CN,H,A,M,770,A,2017-Q4,47.3
Q,CN,H,A,M,770,A,2018-Q1,48.0
Q,CN,H,A,M,770,A,2018-Q2,48.9
Q,CN,H,A,M,770,A,2018-Q3,50.0
Q,CN,H,A,M,770,A,2018-Q4,50.6
Q,CN,H,A,M,770,A,2019-Q1,51.5
Q,CN,H,A,M,770,A,2019-Q2,52.6
Q,CN,H,A,M,770,A,2019-Q3,53.6
Q,CN,H,A,M,770,A,2019-Q4,54.4
Q,CN,H,A,M,770,A,2020-Q1,56.3
Q,CN,H,A,M,770,A,2020-Q2,58.2
Q,CN,H,A,M,770,A,2020-Q3,60.0
Q,CN,H,A,M,770,A,2020-Q4,60.6
Q,CN,H,A,M,770,A,2021-Q1,60.1
Q,CN,H,A,M,770,A,2021-Q2,60.0
Q,CN,H,A,M,770,A,2021-Q3,60.1
Q,CN,H,A,M,770,A,2021-Q4,60.0
Q,CN,H,A,M,770,A,2022-Q1,59.9
Q,CN,H,A,M,770,A,2022-Q2,60.1
Q,CN,H,A,M,770,A,2022-Q3,60.3
Q,CN,H,A,M,770,A,2022-Q4,60.1
Q,CN,H,A,M,770,A,2023-Q1,60.7
Q,CN,H,A,M,770,A,2023-Q2,60.7
Q,CN,H,A,M,770,A,2023-Q3,60.8
Q,CN,H,A,M,770,A,2023-Q4,60.5
Q,CN,H,A,M,770,A,2024-Q1,60.9
Q,CN,H,A,M,770,A,2024-Q2,60.4
Q,CN,H,A,M,770,A,2024-Q3,60.1
Q,CN,H,A,M,770,A,2024-Q4,60.0
Q,CN,H,A,M,770,A,2025-Q1,60.1
Q,CN,H,A,M,770,A,2025-Q2,59.6
Q,FR,H,A,M,770,A,2007-Q1,45.0
Q,FR,H,A,M,770,A,2007-Q2,45.9
Q,FR,H,A,M,770,A,2007-Q3,46.5
Q,FR,H,A,M,770,A,2007-Q4,47.1
Q,FR,H,A,M,770,A,2008-Q1,47.4
Q,FR,H,A,M,770,A,2008-Q2,48.0
Q,FR,H,A,M,770,A,2008-Q3,48.7
Q,FR,H,A,M,770,A,2008-Q4,49.4
Q,FR,H,A,M,770,A,2009-Q1,50.4
Q,FR,H,A,M,770,A,2009-Q2,51.1
Q,FR,H,A,M,770,A,2009-Q3,52.0
Q,FR,H,A,M,770,A,2009-Q4,53.2
Q,FR,H,A,M,770,A,2010-Q1,53.1
Q,FR,H,A,M,770,A,2010-Q2,53.4
Q,FR,H,A,M,770,A,2010-Q3,53.4
Q,FR,H,A,M,770,A,2010-Q4,54.3
Q,FR,H,A,M,770,A,2011-Q1,54.4
Q,FR,H,A,M,770,A,2011-Q2,55.0
Q,FR,H,A,M,770,A,2011-Q3,55.2
Q,FR,H,A,M,770,A,2011-Q4,55.4
Q,FR,H,A,M,770,A,2012-Q1,55.4
