FREQ,BORROWERS_CTY,TC_BORROWERS,TC_LENDERS,VALUATION,UNIT_TYPE,TC_ADJUST,TIME_PERIOD,OBS_VALUE
Q,CN,P,A,M,770,A,2007-Q1,110.8
Q,CN,P,A,M,770,A,2007-Q2,111.3
Q,CN,P,A,M,770,A,2007-Q3,110.5
Q,CN,P,A,M,770,A,2007-Q4,107.6
Q,CN,P,A,M,770,A,2008-Q1,108.1
Q,CN,P,A,M,770,A,2008-Q2,107.3
Q,CN,P,A,M,770,A,2008-Q3,106.8
Q,CN,P,A,M,770,A,2008-Q4,106.3
Q,CN,P,A,M,770,A,2009-Q1,118.5
Q,CN,P,A,M,770,A,2009-Q2,127.5
Q,CN,P,A,M,770,A,2009-Q3,131.7
Q,CN,P,A,M,770,A,2009-Q4,133.3
Q,CN,P,A,M,770,A,2010-Q1,136.2
Q,CN,P,A,M,770,A,2010-Q2,138.2
Q,CN,P,A,M,770,A,2010-Q3,138.1
Q,CN,P,A,M,770,A,2010-Q4,137.6
Q,CN,P,A,M,770,A,2011-Q1,138.0
Q,CN,P,A,M,770,A,2011-Q2,137.8
Q,CN,P,A,M,770,A,2011-Q3,136.5
Q,CN,P,A,M,770,A,2011-Q4,137.6
Q,CN,P,A,M,770,A,2012-Q1,140.7
Q,CN,P,A,M,770,A,2012-Q2,143.3
Q,CN,P,A,M,770,A,2012-Q3,146.6
Q,CN,P,A,M,770,A,2012-Q4,149.4
Q,CN,P,A,M,770,A,2013-Q1,155.2
Q,CN,P,A,M,770,A,2013-Q2,158.2
Q,CN,P,A,M,770,A,2013-Q3,161.1
Q,CN,P,A,M,770,A,2013-Q4,161.9
Q,CN,P,A,M,770,A,2014-Q1,166.2
Q,CN,P,A,M,770,A,2014-Q2,169.4
Q,CN,P,A,M,770,A,2014-Q3,170.0
Q,CN,P,A,M,770,A,2014-Q4,171.9
Q,CN,P,A,M,770,A,2015-Q1,176.0
Q,CN,P,A,M,770,A,2015-Q2,178.8
Q,CN,P,A,M,770,A,2015-Q3,182.0
Q,CN,P,A,M,770,A,2015-Q4,186.7
Q,CN,P,A,M,770,A,2016-Q1,191.0
Q,CN,P,A,M,770,A,2016-Q2,189.9
Q,CN,P,A,M,770,A,2016-Q3,188.8
Q,CN,P,A,M,770,A,2016-Q4,188.5
Q,CN,P,A,M,770,A,2017-Q1,189.1
Q,CN,P,A,M,770,A,2017-Q2,186.7
Q,CN,P,A,M,770,A,2017-Q3,185.0
Q,CN,P,A,M,770,A,2017-Q4,182.4
Q,CN,P,A,M,770,A,2018-Q1,182.6
Q,CN,P,A,M,770,A,2018-Q2,180.8
Q,CN,P,A,M,770,A,2018-Q3,179.0
Q,CN,P,A,M,770,A,2018-Q4,177.3
Q,CN,P,A,M,770,A,2019-Q1,180.4
Q,CN,P,A,M,770,A,2019-Q2,180.1
Q,CN,P,A,M,770,A,2019-Q3,180.2
Q,CN,P,A,M,770,A,2019-Q4,179.9
Q,CN,P,A,M,770,A,2020-Q1,189.8
Q,CN,P,A,M,770,A,2020-Q2,194.4
Q,CN,P,A,M,770,A,2020-Q3,195.6
Q,CN,P,A,M,770,A,2020-Q4,193.6
Q,CN,P,A,M,770,A,2021-Q1,191.5
Q,CN,P,A,M,770,A,2021-Q2,189.1
Q,CN,P,A,M,770,A,2021-Q3,187.3
Q,CN,P,A,M,770,A,2021-Q4,184.5
