FREQ,BORROWERS_CTY,DSR_BORROWERS,TIME_PERIOD,OBS_VALUE
Q,GB,H,2007-Q1,12.9
Q,GB,H,2007-Q2,13.0
Q,GB,H,2007-Q3,13.3
Q,GB,H,2007-Q4,13.3
Q,GB,H,2008-Q1,13.2
Q,GB,H,2008-Q2,13.1
Q,GB,H,2008-Q3,13.3
Q,GB,H,2008-Q4,13.0
Q,GB,H,2009-Q1,12.1
Q,GB,H,2009-Q2,11.7
Q,GB,H,2009-Q3,11.7
Q,GB,H,2009-Q4,11.6
Q,GB,H,2010-Q1,11.4
Q,GB,H,2010-Q2,11.3
Q,GB,H,2010-Q3,11.2
Q,GB,H,2010-Q4,11.1
Q,GB,H,2011-Q1,11.1
Q,GB,H,2011-Q2,11.0
Q,GB,H,2011-Q3,10.9
Q,GB,H,2011-Q4,10.8
Q,GB,H,2012-Q1,10.7
Q,GB,H,2012-Q2,10.6
Q,GB,H,2012-Q3,10.6
Q,GB,H,2012-Q4,10.6
Q,GB,H,2013-Q1,10.5
Q,GB,H,2013-Q2,10.5
Q,GB,H,2013-Q3,10.4
Q,GB,H,2013-Q4,10.3
Q,GB,H,2014-Q1,10.1
Q,GB,H,2014-Q2,10.0
Q,GB,H,2014-Q3,10.0
Q,GB,H,2014-Q4,10.0
Q,GB,H,2015-Q1,9.9
Q,GB,H,2015-Q2,9.8
Q,GB,H,2015-Q3,9.7
Q,GB,H,2015-Q4,9.6
Q,GB,H,2016-Q1,9.5
Q,GB,H,2016-Q2,9.5
Q,GB,H,2016-Q3,9.6
Q,GB,H,2016-Q4,9.6
Q,GB,H,2017-Q1,9.6
Q,GB,H,2017-Q2,9.6
Q,GB,H,2017-Q3,9.6
Q,GB,H,2017-Q4,9.5
Q,GB,H,2018-Q1,9.4
Q,GB,H,2018-Q2,9.4
Q,GB,H,2018-Q3,9.4
Q,GB,H,2018-Q4,9.4
Q,GB,H,2019-Q1,9.3
Q,GB,H,2019-Q2,9.3
Q,GB,H,2019-Q3,9.3
Q,GB,H,2019-Q4,9.3
Q,GB,H,2020-Q1,9.3
Q,GB,H,2020-Q2,9.2
Q,GB,H,2020-Q3,9.2
Q,GB,H,2020-Q4,9.3
Q,GB,H,2021-Q1,9.2
Q,GB,H,2021-Q2,9.2
Q,GB,H,2021-Q3,9.1
Q,GB,H,2021-Q4,9.0
Q,GB,H,2022-Q1,9.0
Q,GB,H,2022-Q2,9.0
Q,GB,H,2022-Q3,9.0
Q,GB,H,2022-Q4,8.9
Q,GB,H,2023-Q1,8.9
Q,GB,H,2023-Q2,8.9
Q,GB,H,2023-Q3,9.0
Q,GB,H,2023-Q4,9.0
Q,GB,H,2024-Q1,9.0
Q,GB,H,2024-Q2,9.0
Q,GB,H,2024-Q3,9.0
Q,GB,H,2024-Q4,8.9
Q,GB,H,2025-Q1,8.8
Q,GB,H,2025-Q2,8.7
Q,IT,N,2007-Q1,33.4
Q,IT,N,2007-Q2,34.5
Q,IT,N,2007-Q3,35.7
Q,IT,N,2007-Q4,38.6
Q,IT,N,2008-Q1,40.3
Q,IT,N,2008-Q2,40.2
Q,IT,N,2008-Q3,41.1
Q,IT,N,2008-Q4,41.2
Q,IT,N,2009-Q1,41.5
Q,IT,N,2009-Q2,43.3
Q,IT,N,2009-Q3,42.4
Q,IT,N,2009-Q4,40.9
Q,IT,N,2010-Q1,40.4
Q,IT,N,2010-Q2,40.3
Q,IT,N,2010-Q3,40.1
