FREQ,EER_TYPE,EER_BASKET,REF_AREA,TIME_PERIOD,OBS_VALUE
M,R,N,KR,2007-01,112.92
M,R,N,KR,2007-02,113.38
M,R,N,KR,2007-03,111.55
M,R,N,KR,2007-04,112.42
M,R,N,KR,2007-05,113.0
M,R,N,KR,2007-06,113.43
M,R,N,KR,2007-07,113.8
M,R,N,KR,2007-08,110.88
M,R,N,KR,2007-09,110.69
M,R,N,KR,2007-10,111.04
M,R,N,KR,2007-11,107.89
M,R,N,KR,2007-12,107.59
M,R,N,KR,2008-01,105.26
M,R,N,KR,2008-02,104.57
M,R,N,KR,2008-03,97.57
M,R,N,KR,2008-04,96.95
M,R,N,KR,2008-05,93.28
M,R,N,KR,2008-06,94.35
M,R,N,KR,2008-07,95.67
M,R,N,KR,2008-08,95.45
M,R,N,KR,2008-09,89.13
M,R,N,KR,2008-10,77.87
M,R,N,KR,2008-11,74.78
M,R,N,KR,2008-12,74.24
M,R,N,KR,2009-01,75.7
M,R,N,KR,2009-02,73.43
M,R,N,KR,2009-03,74.04
M,R,N,KR,2009-04,80.04
M,R,N,KR,2009-05,83.19
M,R,N,KR,2009-06,81.52
M,R,N,KR,2009-07,81.36
M,R,N,KR,2009-08,82.32
M,R,N,KR,2009-09,82.7
M,R,N,KR,2009-10,84.31
M,R,N,KR,2009-11,84.66
M,R,N,KR,2009-12,85.57
M,R,N,KR,2010-01,89.11
M,R,N,KR,2010-02,88.68
M,R,N,KR,2010-03,90.18
M,R,N,KR,2010-04,92.82
M,R,N,KR,2010-05,90.43
M,R,N,KR,2010-06,87.29
M,R,N,KR,2010-07,86.09
M,R,N,KR,2010-08,87.08
M,R,N,KR,2010-09,88.26
M,R,N,KR,2010-10,88.24
M,R,N,KR,2010-11,87.62
M,R,N,KR,2010-12,87.62
M,R,N,KR,2011-01,89.86
M,R,N,KR,2011-02,89.7
M,R,N,KR,2011-03,88.38
M,R,N,KR,2011-04,90.21
M,R,N,KR,2011-05,89.68
M,R,N,KR,2011-06,89.95
M,R,N,KR,2011-07,92.02
M,R,N,KR,2011-08,90.3
M,R,N,KR,2011-09,87.87
M,R,N,KR,2011-10,85.73
M,R,N,KR,2011-11,87.83
M,R,N,KR,2011-12,87.82
M,R,N,KR,2012-01,88.55
M,R,N,KR,2012-02,89.61
M,R,N,KR,2012-03,89.99
M,R,N,KR,2012-04,88.71
M,R,N,KR,2012-05,87.78
M,R,N,KR,2012-06,87.97
M,R,N,KR,2012-07,89.75
M,R,N,KR,2012-08,90.1
M,R,N,KR,2012-09,89.78
M,R,N,KR,2012-10,90.91
M,R,N,KR,2012-11,93.33
M,R,N,KR,2012-12,94.51
M,R,N,KR,2013-01,97.36
M,R,N,KR,2013-02,96.74
M,R,N,KR,2013-03,96.33
M,R,N,KR,2013-04,95.14
M,R,N,KR,2013-05,96.85
M,R,N,KR,2013-06,93.61
M,R,N,KR,2013-07,95.61
M,R,N,KR,2013-08,95.73
M,R,N,KR,2013-09,98.47
M,R,N,KR,2013-10,98.57
M,R,N,KR,2013-11,100.02
M,R,N,KR,2013-12,101.28
M,R,N,KR,2014-01,101.45
M,R,N,KR,2014-02,100.73
M,R,N,KR,2014-03,100.09
M,R,N,KR,2014-04,102.03
M,R,N,KR,2014-05,103.69
M,R,N,KR,2014-06,104.36
M,R,N,KR,2014-07,104.48
M,R,N,KR,2014-08,105.17
M,R,N,KR,2014-09,105.87
M,R,N,KR,2014-10,104.14
M,R,N,KR,2014-11,103.1
M,R,N,KR,2014-12,104.53
M,R,N,KR,2015-01,109.12
M,R,N,KR,2015-02,108.49
M,R,N,KR,2015-03,108.8
M,R,N,KR,2015-04,110.9
M,R,N,KR,2015-05,108.89
M,R,N,KR,2015-06,107.5
M,R,N,KR,2015-07,105.79
M,R,N,KR,2015-08,103.21
M,R,N,KR,2015-09,101.95
M,R,N,KR,2015-10,105.21
M,R,N,KR,2015-11,106.45
M,R,N,KR,2015-12,104.74
M,R,N,KR,2016-01,103.11
M,R,N,KR,2016-02,100.7
M,R,N,KR,2016-03,101.85
M,R,N,KR,2016-04,103.38
M,R,N,KR,2016-05,101.0
M,R,N,KR,2016-06,101.02
M,R,N,KR,2016-07,103.6
M,R,N,KR,2016-08,105.5
M,R,N,KR,2016-09,106.28
M,R,N,KR,2016-10,105.61
M,R,N,KR,2016-11,104.18
M,R,N,KR,2016-12,104.82
M,R,N,KR,2017-01,105.83
M,R,N,KR,2017-02,108.44
M,R,N,KR,2017-03,108.7
M,R,N,KR,2017-04,107.29
M,R,N,KR,2017-05,107.46
M,R,N,KR,2017-06,105.68
M,R,N,KR,2017-07,105.13
M,R,N,KR,2017-08,104.31
M,R,N,KR,2017-09,103.7
M,R,N,KR,2017-10,104.78
M,R,N,KR,2017-11,106.94
M,R,N,KR,2017-12,108.58
M,R,N,KR,2018-01,109.0
M,R,N,KR,2018-02,107.09
M,R,N,KR,2018-03,107.19
M,R,N,KR,2018-04,107.86
M,R,N,KR,2018-05,109.0
M,R,N,KR,2018-06,107.64
M,R,N,KR,2018-07,104.95
M,R,N,KR,2018-08,106.21
M,R,N,KR,2018-09,106.88
M,R,N,KR,2018-10,106.12
M,R,N,KR,2018-11,106.72
M,R,N,KR,2018-12,106.69
M,R,N,KR,2019-01,105.96
M,R,N,KR,2019-02,106.43
M,R,N,KR,2019-03,105.21
M,R,N,KR,2019-04,104.38
M,R,N,KR,2019-05,100.91
M,R,N,KR,2019-06,100.95
M,R,N,KR,2019-07,100.53
M,R,N,KR,2019-08,98.15
M,R,N,KR,2019-09,100.08
M,R,N,KR,2019-10,100.87
M,R,N,KR,2019-11,101.69
M,R,N,KR,2019-12,101.0
M,R,N,KR,2020-01,102.0
M,R,N,KR,2020-02,100.59
M,R,N,KR,2020-03,98.63
M,R,N,KR,2020-04,98.91
M,R,N,KR,2020-05,97.89
M,R,N,KR,2020-06,98.26
M,R,N,KR,2020-07,97.93
M,R,N,KR,2020-08,98.08
M,R,N,KR,2020-09,99.24
M,R,N,KR,2020-10,101.28
M,R,N,KR,2020-11,103.3
M,R,N,KR,2020-12,103.9
M,R,N,KR,2021-01,103.66
M,R,N,KR,2021-02,103.22
M,R,N,KR,2021-03,102.69
M,R,N,KR,2021-04,103.46
