FREQ,REF_AREA,TIME_PERIOD,OBS_VALUE
M,US,2007-01,5.25
M,US,2007-02,5.25
M,US,2007-03,5.25
M,US,2007-04,5.25
M,US,2007-05,5.25
M,US,2007-06,5.25
M,US,2007-07,5.25
M,US,2007-08,5.25
M,US,2007-09,4.75
M,US,2007-10,4.5
M,US,2007-11,4.5
M,US,2007-12,4.25
M,US,2008-01,3.0
M,US,2008-02,3.0
M,US,2008-03,2.25
M,US,2008-04,2.0
M,US,2008-05,2.0
M,US,2008-06,2.0
M,US,2008-07,2.0
M,US,2008-08,2.0
M,US,2008-09,2.0
M,US,2008-10,1.0
M,US,2008-11,1.0
M,US,2008-12,0.125
M,US,2009-01,0.125
M,US,2009-02,0.125
M,US,2009-03,0.125
M,US,2009-04,0.125
M,US,2009-05,0.125
M,US,2009-06,0.125
M,US,2009-07,0.125
M,US,2009-08,0.125
M,US,2009-09,0.125
M,US,2009-10,0.125
M,US,2009-11,0.125
M,US,2009-12,0.125
M,US,2010-01,0.125
M,US,2010-02,0.125
M,US,2010-03,0.125
M,US,2010-04,0.125
M,US,2010-05,0.125
M,US,2010-06,0.125
M,US,2010-07,0.125
M,US,2010-08,0.125
M,US,2010-09,0.125
M,US,2010-10,0.125
M,US,2010-11,0.125
M,US,2010-12,0.125
M,US,2011-01,0.125
M,US,2011-02,0.125
M,US,2011-03,0.125
M,US,2011-04,0.125
M,US,2011-05,0.125
M,US,2011-06,0.125
M,US,2011-07,0.125
M,US,2011-08,0.125
M,US,2011-09,0.125
M,US,2011-10,0.125
M,US,2011-11,0.125
M,US,2011-12,0.125
M,US,2012-01,0.125
M,US,2012-02,0.125
M,US,2012-03,0.125
M,US,2012-04,0.125
M,US,2012-05,0.125
M,US,2012-06,0.125
M,US,2012-07,0.125
M,US,2012-08,0.125
M,US,2012-09,0.125
M,US,2012-10,0.125
M,US,2012-11,0.125
M,US,2012-12,0.125
M,US,2013-01,0.125
M,US,2013-02,0.125
M,US,2013-03,0.125
M,US,2013-04,0.125
M,US,2013-05,0.125
M,US,2013-06,0.125
M,US,2013-07,0.125
M,US,2013-08,0.125
M,US,2013-09,0.125
M,US,2013-10,0.125
M,US,2013-11,0.125
M,US,2013-12,0.125
M,US,2014-01,0.125
M,US,2014-02,0.125
M,US,2014-03,0.125
M,US,2014-04,0.125
M,US,2014-05,0.125
M,US,2014-06,0.125
M,US,2014-07,0.125
M,US,2014-08,0.125
M,US,2014-09,0.125
M,US,2014-10,0.125
M,US,2014-11,0.125
M,US,2014-12,0.125
M,US,2015-01,0.125
M,US,2015-02,0.125
M,US,2015-03,0.125
M,US,2015-04,0.125
M,US,2015-05,0.125
M,US,2015-06,0.125
M,US,2015-07,0.125
M,US,2015-08,0.125
M,US,2015-09,0.125
M,US,2015-10,0.125
M,US,2015-11,0.125
M,US,2015-12,0.375
M,US,2016-01,0.375
M,US,2016-02,0.375
M,US,2016-03,0.375
M,US,2016-04,0.375
M,US,2016-05,0.375
M,US,2016-06,0.375
M,US,2016-07,0.375
M,US,2016-08,0.375
M,US,2016-09,0.375
M,US,2016-10,0.375
M,US,2016-11,0.375
M,US,2016-12,0.625
M,US,2017-01,0.625
M,US,2017-02,0.625
M,US,2017-03,0.875
M,US,2017-04,0.875
M,US,2017-05,0.875
M,US,2017-06,1.125
M,US,2017-07,1.125
M,US,2017-08,1.125
M,US,2017-09,1.125
M,US,2017-10,1.125
M,US,2017-11,1.125
M,US,2017-12,1.375
M,US,2018-01,1.375
M,US,2018-02,1.375
M,US,2018-03,1.625
M,US,2018-04,1.625
M,US,2018-05,1.625
M,US,2018-06,1.875
M,US,2018-07,1.875
M,US,2018-08,1.875
M,US,2018-09,2.125
M,US,2018-10,2.125
M,US,2018-11,2.125
M,US,2018-12,2.375
M,US,2019-01,2.375
M,US,2019-02,2.375
M,US,2019-03,2.375
M,US,2019-04,2.375
M,US,2019-05,2.375
M,US,2019-06,2.375
M,US,2019-07,2.375
M,US,2019-08,2.125
M,US,2019-09,1.875
M,US,2019-10,1.625
M,US,2019-11,1.625
M,US,2019-12,1.625
M,US,2020-01,1.625
M,US,2020-02,1.625
M,US,2020-03,0.125
M,US,2020-04,0.125
M,US,2020-05,0.125
M,US,2020-06,0.125
M,US,2020-07,0.125
M,US,2020-08,0.125
M,US,2020-09,0.125
M,US,2020-10,0.125
M,US,2020-11,0.125
M,US,2020-12,0.125
M,US,2021-01,0.125
M,US,2021-02,0.125
M,US,2021-03,0.125
M,US,2021-04,0.125
M,US,2021-05,0.125
M,US,2021-06,0.125
M,US,2021-07,0.125
M,US,2021-08,0.125
M,US,2021-09,0.125
M,US,2021-10,0.125
M,US,2021-11,0.125
M,US,2021-12,0.125
M,US,2022-01,0.125
M,US,2022-02,0.125
M,US,2022-03,0.375
M,US,2022-04,0.375
M,US,2022-05,0.875
M,US,2022-06,1.625
M,US,2022-07,2.375
M,US,2022-08,2.375
M,US,2022-09,3.125
M,US,2022-10,3.125
M,US,2022-11,3.875
M,US,2022-12,4.375
M,US,2023-01,4.375
M,US,2023-02,4.625
M,US,2023-03,4.875
M,US,2023-04,4.875
M,US,2023-05,5.125
M,US,2023-06,5.125
M,US,2023-07,5.375
M,US,2023-08,5.375
M,US,2023-09,5.375
M,US,2023-10,5.375
M,US,2023-11,5.375
M,US,2023-12,5.375
M,US,2024-01,5.375
M,US,2024-02,5.375
M,US,2024-03,5.375
M,US,2024-04,5.375
M,US,2024-05,5.375
M,US,2024-06,5.375
M,US,2024-07,5.375
M,US,2024-08,5.375
M,US,2024-09,4.875
M,US,2024-10,4.875
M,US,2024-11,4.625
M,US,2024-12,4.375
M,US,2025-01,4.375
M,US,2025-02,4.375
M,US,2025-03,4.375
M,US,2025-04,4.375
M,US,2025-05,4.375
M,US,2025-06,4.375
M,US,2025-07,4.375
M,US,2025-08,4.375
M,US,2025-09,4.125
M,US,2025-10,3.875
M,US,2025-11,3.875
M,US,2025-12,3.625
M,US,2026-01,3.625
