FREQ,REF_AREA,VALUE,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE
Q,GB,R,628,2007-Q1,115.0923
Q,GB,R,628,2007-Q2,118.3291
Q,GB,R,628,2007-Q3,121.7
Q,GB,R,628,2007-Q4,120.4231
Q,GB,R,628,2008-Q1,116.5328
Q,GB,R,628,2008-Q2,113.534
Q,GB,R,628,2008-Q3,107.8233
Q,GB,R,628,2008-Q4,100.587
Q,GB,R,628,2009-Q1,95.7192
Q,GB,R,628,2009-Q2,95.8899
Q,GB,R,628,2009-Q3,99.0275
Q,GB,R,628,2009-Q4,100.1791
Q,GB,R,628,2010-Q1,99.7592
Q,GB,R,628,2010-Q2,100.3242
Q,GB,R,628,2010-Q3,101.5186
Q,GB,R,628,2010-Q4,98.4106
Q,GB,R,628,2011-Q1,95.2008
Q,GB,R,628,2011-Q2,94.3417
Q,GB,R,628,2011-Q3,95.0732
Q,GB,R,628,2011-Q4,92.7574
Q,GB,R,628,2012-Q1,91.5258
Q,GB,R,628,2012-Q2,92.5006
Q,GB,R,628,2012-Q3,93.1725
Q,GB,R,628,2012-Q4,91.2587
Q,GB,R,628,2013-Q1,90.276
Q,GB,R,628,2013-Q2,91.4474
Q,GB,R,628,2013-Q3,93.3982
Q,GB,R,628,2013-Q4,93.283
Q,GB,R,628,2014-Q1,94.5354
Q,GB,R,628,2014-Q2,97.1421
Q,GB,R,628,2014-Q3,100.228
Q,GB,R,628,2014-Q4,100.3097
Q,GB,R,628,2015-Q1,100.7165
Q,GB,R,628,2015-Q2,102.3749
Q,GB,R,628,2015-Q3,105.5383
Q,GB,R,628,2015-Q4,106.7322
Q,GB,R,628,2016-Q1,108.4225
Q,GB,R,628,2016-Q2,110.1801
Q,GB,R,628,2016-Q3,111.8814
Q,GB,R,628,2016-Q4,111.1833
Q,GB,R,628,2017-Q1,110.784
Q,GB,R,628,2017-Q2,111.9813
Q,GB,R,628,2017-Q3,113.9862
Q,GB,R,628,2017-Q4,112.8992
Q,GB,R,628,2018-Q1,112.5418
Q,GB,R,628,2018-Q2,112.8496
Q,GB,R,628,2018-Q3,114.2754
Q,GB,R,628,2018-Q4,113.0424
Q,GB,R,628,2019-Q1,112.0354
Q,GB,R,628,2019-Q2,111.7198
Q,GB,R,628,2019-Q3,113.0235
Q,GB,R,628,2019-Q4,112.4384
Q,GB,R,628,2020-Q1,112.1297
Q,GB,R,628,2020-Q2,112.3348
Q,GB,R,628,2020-Q3,115.1981
Q,GB,R,628,2020-Q4,118.3291
Q,GB,R,628,2021-Q1,119.9913
Q,GB,R,628,2021-Q2,120.442
Q,GB,R,628,2021-Q3,121.4089
Q,GB,R,628,2021-Q4,121.0006
Q,GB,R,628,2022-Q1,122.2217
Q,GB,R,628,2022-Q2,120.1854
Q,GB,R,628,2022-Q3,122.4408
Q,GB,R,628,2022-Q4,119.1114
Q,GB,R,628,2023-Q1,115.3541
Q,GB,R,628,2023-Q2,111.8532
Q,GB,R,628,2023-Q3,113.4931
Q,GB,R,628,2023-Q4,111.5411
Q,GB,R,628,2024-Q1,109.9391
Q,GB,R,628,2024-Q2,109.9853
Q,GB,R,628,2024-Q3,112.2059
Q,GB,R,628,2024-Q4,111.4854
Q,GB,R,628,2025-Q1,111.5402
Q,GB,R,628,2025-Q2,108.9633
Q,GB,R,628,2025-Q3,110.872
Q,JP,N,771,2007-Q1,-1.5426
Q,JP,N,771,2007-Q2,-1.1427
Q,JP,N,771,2007-Q3,-0.7339
Q,JP,N,771,2007-Q4,-0.7356
