country,gdp_ppp,gdp_ppp_year,gdp_growth,gdp_growth_year,gdp_per_capita,gdp_official,inflation,inflation_year,unemployment,unemployment_year,labor_force,population,public_debt_pct_gdp,budget_revenue,budget_expenditure,current_account,exports,imports,industrial_production_growth,gdp_share_agriculture,gdp_share_industry,gdp_share_services,fx_reserves,iso2,country_name
us,25676000000000.0,2024,2.8,2024,75500.0,29185000000000.0,2.9,2024,4.2,2024,174174000.0,338016259.0,114.8,4877000000000.0,6857000000000.0,1134000000000.0,3191000000000.0,4107999999999.9995,3.25,0.9,17.3,79.7,910037000000.0,US,미국
ks,2607000000000.0,2023,1.4,2023,50400.0,1713000000000.0,2.3,2024,2.7,2024,29713000.0,51486343.0,52.3,513210000000.00006,532023000000.0,99043000000.0,835149000000.0,758724000000.0,1.1,1.6,31.6,58.4,418219000000.0,KR,한국
ja,5715000000000.0,2024,0.1,2024,46100.0,4026000000000.0,2.7,2024,2.6,2024,69382000.0,123201945.0,215.9,661986000000.0,897030000000.0,194257000000.0,922447000000.0,965047000000.0,1.4,0.9,28.6,69.8,1231000000000.0,JP,일본
gm,5247000000000.0,2024,-0.2,2024,62800.0,4660000000000.0,2.3,2024,3.5,2024,43772000.0,84012284.0,63.9,1279000000000.0,1369000000000.0,267055999999.99997,1949000000000.0,1774000000000.0,-3.0,0.8,25.8,63.9,377936000000.0,DE,독일
uk,3636000000000.0,2024,1.1,2024,52500.0,3644000000000.0,3.3,2024,4.2,2024,35359000.0,68751311.0,138.6,1211000000000.0,1442000000000.0,96634000000.0,1117000000000.0,1158000000000.0,-0.5,0.6,16.7,72.8,174598000000.0,GB,영국
fr,3732000000000.0,2024,1.2,2024,54500.0,3162000000000.0,2.0,2024,7.4,2024,31725000.0,68512806.0,98.5,1290000000000.0,1447000000000.0,12382000000.0,1071000000000.0,1074000000000.0001,0.7,1.4,17.5,70.4,282857000000.0,FR,프랑스
ch,741035000000.0,2024,1.3,2024,82000.0,936564000000.0,1.1,2024,4.2,2024,5153000.0,8925741.0,19.9,153795000000.0,152488000000.0,47162000000.0,675059000000.0,582554000000.0,1.7,0.6,24.7,72.0,909366000000.0,CH,스위스
it,3133000000000.0,2024,0.7,2024,53100.0,2373000000000.0,1.0,2024,6.8,2024,25828000.0,60924851.0,131.8,935038000000.0,1104000000000.0,26760000000.0,778898000000.0,717278000000.0,0.2,2.0,21.7,65.6,290547000000.0,IT,이탈리아
ca,2341000000000.0,2024,1.5,2024,56700.0,2241000000000.0,2.4,2024,6.5,2024,22868000.0,39187155.0,61.3,428312000000.0,417421000000.0,10349000000.0,727831000000.0,733778000000.0,0.0,1.6,25.3,66.4,119778000000.0,CA,캐나다
as,1635000000000.0,2024,1.4,2024,60100.0,1752000000000.0,3.2,2024,4.1,2024,14912000.0,27490921.0,58.0,431270000000.0,453105000000.0,34402000000.0,425160000000.0,405336000000.0,0.5,2.2,26.0,65.5,60404000000.0,AU,호주
mx,2883000000000.0,2024,1.5,2024,22000.0,1853000000000.0,4.7,2024,2.8,2024,60959000.0,130739927.0,45.1,342571000000.0,417843000000.0,5986000000.0,680798000000.0,697067000000.0,0.2,3.8,31.6,58.2,232035000000.0,MX,멕시코
br,4165000000000.0,2024,3.4,2024,19600.0,2178999999999.9998,4.4,2024,7.7,2024,106790000.0,221359387.0,83.0,556303000000.0,706816000000.0,61194000000.0,388333000000.0,377050000000.0,3.3,5.6,21.3,59.3,329732000000.0,BR,브라질
in,14244000000000.0,2024,6.5,2024,9800.0,3913000000000.0,5.0,2024,4.3,2024,607691000.0,1419316933.0,46.5,311824000000.0,486598000000.0,32427999999.999996,822046000000.0,923081000000.0,5.6,16.4,24.5,49.9,643043000000.0,IN,인도
id,4102000000000.0005,2024,5.0,2024,14500.0,1396000000000.0,3.7,2023,3.3,2024,143144000.0,283587097.0,45.34,182658000000.0,204739000000.0,8470000000.000001,300868000000.0,279419000000.0,5.2,12.6,39.3,43.8,155708000000.0,ID,인도네시아
tu,3018000000000.0,2024,3.2,2024,35300.0,1323000000000.0,58.5,2024,8.5,2024,36081000.0,84625585.0,33.1,330210000000.0,382998000000.0,9973000000.0,372756000000.0,367022000000.0,2.2,5.6,25.9,56.8,154774000000.0,TR,튀르키예
