country,year,value,indicator
AUS,2007,-6.7,BCA_NGDPD
AUS,2008,-4.9,BCA_NGDPD
AUS,2009,-4.5,BCA_NGDPD
AUS,2010,-3.7,BCA_NGDPD
AUS,2011,-3.0,BCA_NGDPD
AUS,2012,-4.4,BCA_NGDPD
AUS,2013,-3.4,BCA_NGDPD
AUS,2014,-3.1,BCA_NGDPD
AUS,2015,-4.7,BCA_NGDPD
AUS,2016,-3.5,BCA_NGDPD
AUS,2017,-2.8,BCA_NGDPD
AUS,2018,-2.6,BCA_NGDPD
AUS,2019,0.0,BCA_NGDPD
AUS,2020,1.7,BCA_NGDPD
AUS,2021,2.4,BCA_NGDPD
AUS,2022,0.4,BCA_NGDPD
AUS,2023,-0.2,BCA_NGDPD
AUS,2024,-1.9,BCA_NGDPD
AUS,2025,-1.8,BCA_NGDPD
AUS,2026,-1.7,BCA_NGDPD
AUS,2027,-1.9,BCA_NGDPD
AUS,2028,-1.9,BCA_NGDPD
AUS,2029,-2.0,BCA_NGDPD
AUS,2030,-2.0,BCA_NGDPD
BRA,2007,-0.2,BCA_NGDPD
BRA,2008,-2.1,BCA_NGDPD
BRA,2009,-1.8,BCA_NGDPD
BRA,2010,-3.9,BCA_NGDPD
BRA,2011,-3.2,BCA_NGDPD
BRA,2012,-3.8,BCA_NGDPD
BRA,2013,-3.6,BCA_NGDPD
BRA,2014,-4.5,BCA_NGDPD
BRA,2015,-3.5,BCA_NGDPD
BRA,2016,-1.7,BCA_NGDPD
BRA,2017,-1.2,BCA_NGDPD
BRA,2018,-2.8,BCA_NGDPD
BRA,2019,-3.5,BCA_NGDPD
BRA,2020,-1.7,BCA_NGDPD
BRA,2021,-2.4,BCA_NGDPD
BRA,2022,-2.2,BCA_NGDPD
BRA,2023,-1.3,BCA_NGDPD
BRA,2024,-2.7,BCA_NGDPD
BRA,2025,-2.5,BCA_NGDPD
BRA,2026,-2.3,BCA_NGDPD
BRA,2027,-2.2,BCA_NGDPD
BRA,2028,-2.1,BCA_NGDPD
BRA,2029,-1.9,BCA_NGDPD
BRA,2030,-1.7,BCA_NGDPD
CAN,2007,0.8,BCA_NGDPD
CAN,2008,0.1,BCA_NGDPD
CAN,2009,-2.9,BCA_NGDPD
CAN,2010,-3.6,BCA_NGDPD
CAN,2011,-2.7,BCA_NGDPD
CAN,2012,-3.5,BCA_NGDPD
CAN,2013,-3.1,BCA_NGDPD
CAN,2014,-2.3,BCA_NGDPD
CAN,2015,-3.5,BCA_NGDPD
CAN,2016,-3.1,BCA_NGDPD
CAN,2017,-2.8,BCA_NGDPD
CAN,2018,-2.4,BCA_NGDPD
CAN,2019,-2.0,BCA_NGDPD
CAN,2020,-2.0,BCA_NGDPD
CAN,2021,0.0,BCA_NGDPD
CAN,2022,-0.3,BCA_NGDPD
CAN,2023,-0.6,BCA_NGDPD
CAN,2024,-0.5,BCA_NGDPD
CAN,2025,-1.4,BCA_NGDPD
CAN,2026,-1.3,BCA_NGDPD
CAN,2027,-1.2,BCA_NGDPD
CAN,2028,-1.0,BCA_NGDPD
CAN,2029,-0.9,BCA_NGDPD
CAN,2030,-0.2,BCA_NGDPD
CHN,2007,9.8,BCA_NGDPD
CHN,2008,9.0,BCA_NGDPD
CHN,2009,4.7,BCA_NGDPD
CHN,2010,3.9,BCA_NGDPD
CHN,2011,1.8,BCA_NGDPD
CHN,2012,2.5,BCA_NGDPD
CHN,2013,1.5,BCA_NGDPD
CHN,2014,2.2,BCA_NGDPD
CHN,2015,2.6,BCA_NGDPD
CHN,2016,1.7,BCA_NGDPD
CHN,2017,1.5,BCA_NGDPD
CHN,2018,0.2,BCA_NGDPD
CHN,2019,0.7,BCA_NGDPD
CHN,2020,1.6,BCA_NGDPD
CHN,2021,1.9,BCA_NGDPD
CHN,2022,2.4,BCA_NGDPD
CHN,2023,1.4,BCA_NGDPD
CHN,2024,2.3,BCA_NGDPD
CHN,2025,3.3,BCA_NGDPD
CHN,2026,2.8,BCA_NGDPD
CHN,2027,2.5,BCA_NGDPD
CHN,2028,2.4,BCA_NGDPD
CHN,2029,2.2,BCA_NGDPD
CHN,2030,2.1,BCA_NGDPD
DEU,2007,6.7,BCA_NGDPD
DEU,2008,5.6,BCA_NGDPD
DEU,2009,5.8,BCA_NGDPD
DEU,2010,5.7,BCA_NGDPD
DEU,2011,6.3,BCA_NGDPD
DEU,2012,7.2,BCA_NGDPD
DEU,2013,6.7,BCA_NGDPD
DEU,2014,7.2,BCA_NGDPD
DEU,2015,8.1,BCA_NGDPD
DEU,2016,8.9,BCA_NGDPD
DEU,2017,8.1,BCA_NGDPD
DEU,2018,8.4,BCA_NGDPD
DEU,2019,7.9,BCA_NGDPD
DEU,2020,6.3,BCA_NGDPD
DEU,2021,6.9,BCA_NGDPD
DEU,2022,3.8,BCA_NGDPD
DEU,2023,5.5,BCA_NGDPD
DEU,2024,5.6,BCA_NGDPD
DEU,2025,5.4,BCA_NGDPD
DEU,2026,5.1,BCA_NGDPD
DEU,2027,4.8,BCA_NGDPD
DEU,2028,4.5,BCA_NGDPD
DEU,2029,4.3,BCA_NGDPD
DEU,2030,4.2,BCA_NGDPD
FRA,2007,-0.1,BCA_NGDPD
FRA,2008,-0.7,BCA_NGDPD
FRA,2009,-0.5,BCA_NGDPD
FRA,2010,-0.6,BCA_NGDPD
FRA,2011,-0.9,BCA_NGDPD
FRA,2012,-2.1,BCA_NGDPD
FRA,2013,-0.6,BCA_NGDPD
FRA,2014,-0.9,BCA_NGDPD
FRA,2015,-0.3,BCA_NGDPD
FRA,2016,-0.5,BCA_NGDPD
FRA,2017,-0.5,BCA_NGDPD
FRA,2018,-0.7,BCA_NGDPD
FRA,2019,0.6,BCA_NGDPD
FRA,2020,-2.0,BCA_NGDPD
FRA,2021,0.3,BCA_NGDPD
FRA,2022,-1.4,BCA_NGDPD
FRA,2023,-1.0,BCA_NGDPD
FRA,2024,0.1,BCA_NGDPD
FRA,2025,-0.1,BCA_NGDPD
FRA,2026,-0.2,BCA_NGDPD
FRA,2027,-0.3,BCA_NGDPD
FRA,2028,-0.2,BCA_NGDPD
FRA,2029,-0.1,BCA_NGDPD
FRA,2030,0.0,BCA_NGDPD
GBR,2007,-3.7,BCA_NGDPD
GBR,2008,-3.9,BCA_NGDPD
GBR,2009,-3.1,BCA_NGDPD
GBR,2010,-2.8,BCA_NGDPD
GBR,2011,-1.6,BCA_NGDPD
GBR,2012,-3.1,BCA_NGDPD
GBR,2013,-4.6,BCA_NGDPD
GBR,2014,-5.0,BCA_NGDPD
GBR,2015,-4.9,BCA_NGDPD
GBR,2016,-5.4,BCA_NGDPD
GBR,2017,-3.5,BCA_NGDPD
GBR,2018,-3.9,BCA_NGDPD
GBR,2019,-2.7,BCA_NGDPD
GBR,2020,-2.9,BCA_NGDPD
GBR,2021,-0.4,BCA_NGDPD
GBR,2022,-2.1,BCA_NGDPD
