country,year,value,indicator
AUS,2007,1.5,GGXCNL_NGDP
AUS,2008,-1.1,GGXCNL_NGDP
AUS,2009,-4.6,GGXCNL_NGDP
AUS,2010,-5.1,GGXCNL_NGDP
AUS,2011,-4.5,GGXCNL_NGDP
AUS,2012,-3.5,GGXCNL_NGDP
AUS,2013,-2.8,GGXCNL_NGDP
AUS,2014,-2.9,GGXCNL_NGDP
AUS,2015,-2.8,GGXCNL_NGDP
AUS,2016,-2.4,GGXCNL_NGDP
AUS,2017,-1.7,GGXCNL_NGDP
AUS,2018,-1.3,GGXCNL_NGDP
AUS,2019,-4.4,GGXCNL_NGDP
AUS,2020,-8.7,GGXCNL_NGDP
AUS,2021,-6.4,GGXCNL_NGDP
AUS,2022,-2.2,GGXCNL_NGDP
AUS,2023,-1.3,GGXCNL_NGDP
AUS,2024,-2.2,GGXCNL_NGDP
AUS,2025,-2.7,GGXCNL_NGDP
AUS,2026,-2.3,GGXCNL_NGDP
AUS,2027,-1.9,GGXCNL_NGDP
AUS,2028,-1.8,GGXCNL_NGDP
AUS,2029,-1.6,GGXCNL_NGDP
AUS,2030,-1.6,GGXCNL_NGDP
BRA,2007,-2.7,GGXCNL_NGDP
BRA,2008,-2.4,GGXCNL_NGDP
BRA,2009,-4.2,GGXCNL_NGDP
BRA,2010,-3.6,GGXCNL_NGDP
BRA,2011,-2.7,GGXCNL_NGDP
BRA,2012,-2.4,GGXCNL_NGDP
BRA,2013,-3.4,GGXCNL_NGDP
BRA,2014,-6.3,GGXCNL_NGDP
BRA,2015,-9.3,GGXCNL_NGDP
BRA,2016,-8.0,GGXCNL_NGDP
BRA,2017,-8.0,GGXCNL_NGDP
BRA,2018,-7.0,GGXCNL_NGDP
BRA,2019,-4.9,GGXCNL_NGDP
BRA,2020,-11.6,GGXCNL_NGDP
BRA,2021,-2.6,GGXCNL_NGDP
BRA,2022,-4.0,GGXCNL_NGDP
BRA,2023,-7.7,GGXCNL_NGDP
BRA,2024,-6.2,GGXCNL_NGDP
BRA,2025,-8.4,GGXCNL_NGDP
BRA,2026,-7.5,GGXCNL_NGDP
BRA,2027,-6.0,GGXCNL_NGDP
BRA,2028,-5.1,GGXCNL_NGDP
BRA,2029,-4.8,GGXCNL_NGDP
BRA,2030,-4.6,GGXCNL_NGDP
CAN,2007,1.8,GGXCNL_NGDP
CAN,2008,0.2,GGXCNL_NGDP
CAN,2009,-3.9,GGXCNL_NGDP
CAN,2010,-4.7,GGXCNL_NGDP
CAN,2011,-3.3,GGXCNL_NGDP
CAN,2012,-2.5,GGXCNL_NGDP
CAN,2013,-1.5,GGXCNL_NGDP
CAN,2014,0.2,GGXCNL_NGDP
CAN,2015,-0.1,GGXCNL_NGDP
CAN,2016,-0.5,GGXCNL_NGDP
CAN,2017,-0.1,GGXCNL_NGDP
CAN,2018,0.4,GGXCNL_NGDP
CAN,2019,0.0,GGXCNL_NGDP
CAN,2020,-10.9,GGXCNL_NGDP
CAN,2021,-3.1,GGXCNL_NGDP
CAN,2022,0.6,GGXCNL_NGDP
CAN,2023,0.1,GGXCNL_NGDP
CAN,2024,-2.0,GGXCNL_NGDP
CAN,2025,-2.2,GGXCNL_NGDP
CAN,2026,-2.4,GGXCNL_NGDP
CAN,2027,-2.1,GGXCNL_NGDP
CAN,2028,-2.0,GGXCNL_NGDP
CAN,2029,-1.7,GGXCNL_NGDP
CAN,2030,-1.5,GGXCNL_NGDP
CHN,2007,0.1,GGXCNL_NGDP
CHN,2008,0.0,GGXCNL_NGDP
CHN,2009,-1.7,GGXCNL_NGDP
CHN,2010,-0.4,GGXCNL_NGDP
CHN,2011,-0.1,GGXCNL_NGDP
CHN,2012,-0.3,GGXCNL_NGDP
CHN,2013,-0.8,GGXCNL_NGDP
CHN,2014,-0.7,GGXCNL_NGDP
CHN,2015,-2.5,GGXCNL_NGDP
CHN,2016,-3.3,GGXCNL_NGDP
CHN,2017,-3.3,GGXCNL_NGDP
CHN,2018,-4.2,GGXCNL_NGDP
CHN,2019,-6.0,GGXCNL_NGDP
CHN,2020,-9.6,GGXCNL_NGDP
CHN,2021,-5.9,GGXCNL_NGDP
CHN,2022,-7.3,GGXCNL_NGDP
CHN,2023,-6.7,GGXCNL_NGDP
CHN,2024,-7.3,GGXCNL_NGDP
CHN,2025,-8.6,GGXCNL_NGDP
CHN,2026,-8.5,GGXCNL_NGDP
CHN,2027,-8.4,GGXCNL_NGDP
CHN,2028,-8.2,GGXCNL_NGDP
CHN,2029,-8.0,GGXCNL_NGDP
CHN,2030,-8.0,GGXCNL_NGDP
DEU,2007,0.2,GGXCNL_NGDP
DEU,2008,-0.3,GGXCNL_NGDP
DEU,2009,-3.2,GGXCNL_NGDP
DEU,2010,-4.4,GGXCNL_NGDP
DEU,2011,-0.8,GGXCNL_NGDP
DEU,2012,-0.1,GGXCNL_NGDP
DEU,2013,0.1,GGXCNL_NGDP
DEU,2014,0.7,GGXCNL_NGDP
DEU,2015,0.9,GGXCNL_NGDP
DEU,2016,1.1,GGXCNL_NGDP
DEU,2017,1.3,GGXCNL_NGDP
DEU,2018,1.9,GGXCNL_NGDP
DEU,2019,1.3,GGXCNL_NGDP
DEU,2020,-4.4,GGXCNL_NGDP
DEU,2021,-3.2,GGXCNL_NGDP
DEU,2022,-1.9,GGXCNL_NGDP
DEU,2023,-2.5,GGXCNL_NGDP
DEU,2024,-2.7,GGXCNL_NGDP
DEU,2025,-2.5,GGXCNL_NGDP
DEU,2026,-3.4,GGXCNL_NGDP
DEU,2027,-4.0,GGXCNL_NGDP
DEU,2028,-4.0,GGXCNL_NGDP
DEU,2029,-4.0,GGXCNL_NGDP
DEU,2030,-4.0,GGXCNL_NGDP
FRA,2007,-3.0,GGXCNL_NGDP
FRA,2008,-3.5,GGXCNL_NGDP
FRA,2009,-7.4,GGXCNL_NGDP
FRA,2010,-7.2,GGXCNL_NGDP
FRA,2011,-5.3,GGXCNL_NGDP
