country,year,value,indicator
AUS,2007,4.3,NGDP_RPCH
AUS,2008,2.6,NGDP_RPCH
AUS,2009,2.0,NGDP_RPCH
AUS,2010,2.4,NGDP_RPCH
AUS,2011,2.8,NGDP_RPCH
AUS,2012,3.8,NGDP_RPCH
AUS,2013,2.2,NGDP_RPCH
AUS,2014,2.6,NGDP_RPCH
AUS,2015,2.3,NGDP_RPCH
AUS,2016,2.7,NGDP_RPCH
AUS,2017,2.4,NGDP_RPCH
AUS,2018,2.8,NGDP_RPCH
AUS,2019,1.9,NGDP_RPCH
AUS,2020,-2.0,NGDP_RPCH
AUS,2021,5.4,NGDP_RPCH
AUS,2022,4.1,NGDP_RPCH
AUS,2023,2.1,NGDP_RPCH
AUS,2024,1.0,NGDP_RPCH
AUS,2025,1.8,NGDP_RPCH
AUS,2026,2.1,NGDP_RPCH
AUS,2027,2.2,NGDP_RPCH
AUS,2028,2.2,NGDP_RPCH
AUS,2029,2.2,NGDP_RPCH
AUS,2030,2.3,NGDP_RPCH
BRA,2007,6.1,NGDP_RPCH
BRA,2008,5.1,NGDP_RPCH
BRA,2009,-0.1,NGDP_RPCH
BRA,2010,7.5,NGDP_RPCH
BRA,2011,4.0,NGDP_RPCH
BRA,2012,1.9,NGDP_RPCH
BRA,2013,3.0,NGDP_RPCH
BRA,2014,0.5,NGDP_RPCH
BRA,2015,-3.5,NGDP_RPCH
BRA,2016,-3.3,NGDP_RPCH
BRA,2017,1.3,NGDP_RPCH
BRA,2018,1.8,NGDP_RPCH
BRA,2019,1.2,NGDP_RPCH
BRA,2020,-3.3,NGDP_RPCH
BRA,2021,4.8,NGDP_RPCH
BRA,2022,3.0,NGDP_RPCH
BRA,2023,3.2,NGDP_RPCH
BRA,2024,3.4,NGDP_RPCH
BRA,2025,2.4,NGDP_RPCH
BRA,2026,1.9,NGDP_RPCH
BRA,2027,2.2,NGDP_RPCH
BRA,2028,2.3,NGDP_RPCH
BRA,2029,2.4,NGDP_RPCH
BRA,2030,2.5,NGDP_RPCH
CAN,2007,2.0,NGDP_RPCH
CAN,2008,1.0,NGDP_RPCH
CAN,2009,-2.9,NGDP_RPCH
CAN,2010,3.1,NGDP_RPCH
CAN,2011,3.1,NGDP_RPCH
CAN,2012,1.8,NGDP_RPCH
CAN,2013,2.3,NGDP_RPCH
CAN,2014,2.9,NGDP_RPCH
CAN,2015,0.6,NGDP_RPCH
CAN,2016,1.0,NGDP_RPCH
CAN,2017,3.0,NGDP_RPCH
CAN,2018,2.7,NGDP_RPCH
CAN,2019,1.9,NGDP_RPCH
CAN,2020,-5.0,NGDP_RPCH
CAN,2021,6.0,NGDP_RPCH
CAN,2022,4.2,NGDP_RPCH
CAN,2023,1.5,NGDP_RPCH
CAN,2024,1.6,NGDP_RPCH
CAN,2025,1.2,NGDP_RPCH
CAN,2026,1.5,NGDP_RPCH
CAN,2027,1.9,NGDP_RPCH
CAN,2028,1.7,NGDP_RPCH
CAN,2029,1.7,NGDP_RPCH
CAN,2030,1.6,NGDP_RPCH
CHN,2007,14.2,NGDP_RPCH
CHN,2008,9.6,NGDP_RPCH
CHN,2009,9.4,NGDP_RPCH
CHN,2010,10.6,NGDP_RPCH
CHN,2011,9.5,NGDP_RPCH
CHN,2012,7.8,NGDP_RPCH
CHN,2013,7.8,NGDP_RPCH
CHN,2014,7.5,NGDP_RPCH
CHN,2015,7.0,NGDP_RPCH
CHN,2016,6.8,NGDP_RPCH
CHN,2017,6.9,NGDP_RPCH
CHN,2018,6.8,NGDP_RPCH
CHN,2019,6.1,NGDP_RPCH
CHN,2020,2.3,NGDP_RPCH
CHN,2021,8.6,NGDP_RPCH
CHN,2022,3.1,NGDP_RPCH
CHN,2023,5.4,NGDP_RPCH
CHN,2024,5.0,NGDP_RPCH
CHN,2025,4.8,NGDP_RPCH
CHN,2026,4.2,NGDP_RPCH
CHN,2027,4.2,NGDP_RPCH
CHN,2028,4.0,NGDP_RPCH
CHN,2029,3.7,NGDP_RPCH
CHN,2030,3.4,NGDP_RPCH
DEU,2007,2.9,NGDP_RPCH
DEU,2008,0.9,NGDP_RPCH
DEU,2009,-5.6,NGDP_RPCH
DEU,2010,4.1,NGDP_RPCH
DEU,2011,3.8,NGDP_RPCH
DEU,2012,0.5,NGDP_RPCH
DEU,2013,0.4,NGDP_RPCH
DEU,2014,2.2,NGDP_RPCH
DEU,2015,1.7,NGDP_RPCH
DEU,2016,2.2,NGDP_RPCH
DEU,2017,2.8,NGDP_RPCH
DEU,2018,1.1,NGDP_RPCH
DEU,2019,1.0,NGDP_RPCH
DEU,2020,-4.1,NGDP_RPCH
DEU,2021,3.9,NGDP_RPCH
DEU,2022,1.8,NGDP_RPCH
DEU,2023,-0.9,NGDP_RPCH
DEU,2024,-0.5,NGDP_RPCH
DEU,2025,0.2,NGDP_RPCH
DEU,2026,0.9,NGDP_RPCH
DEU,2027,1.5,NGDP_RPCH
DEU,2028,1.2,NGDP_RPCH
DEU,2029,1.0,NGDP_RPCH
DEU,2030,0.7,NGDP_RPCH
FRA,2007,2.5,NGDP_RPCH
FRA,2008,0.3,NGDP_RPCH
FRA,2009,-2.7,NGDP_RPCH
FRA,2010,1.8,NGDP_RPCH
FRA,2011,2.5,NGDP_RPCH
FRA,2012,0.2,NGDP_RPCH
FRA,2013,0.9,NGDP_RPCH
FRA,2014,1.0,NGDP_RPCH
FRA,2015,1.0,NGDP_RPCH
FRA,2016,0.7,NGDP_RPCH
FRA,2017,2.3,NGDP_RPCH
FRA,2018,1.6,NGDP_RPCH
FRA,2019,2.1,NGDP_RPCH
FRA,2020,-7.6,NGDP_RPCH
FRA,2021,6.8,NGDP_RPCH
