country,year,value,indicator
AUS,2007,950.093,NGDPD
AUS,2008,1056.565,NGDPD
AUS,2009,1000.831,NGDPD
AUS,2010,1254.622,NGDPD
AUS,2011,1515.504,NGDPD
AUS,2012,1570.139,NGDPD
AUS,2013,1519.895,NGDPD
AUS,2014,1456.939,NGDPD
AUS,2015,1233.914,NGDPD
AUS,2016,1262.645,NGDPD
AUS,2017,1381.106,NGDPD
AUS,2018,1417.158,NGDPD
AUS,2019,1386.289,NGDPD
AUS,2020,1362.665,NGDPD
AUS,2021,1655.838,NGDPD
AUS,2022,1725.433,NGDPD
AUS,2023,1742.311,NGDPD
AUS,2024,1795.492,NGDPD
AUS,2025,1829.508,NGDPD
AUS,2026,1948.227,NGDPD
AUS,2027,2036.053,NGDPD
AUS,2028,2132.013,NGDPD
AUS,2029,2228.386,NGDPD
AUS,2030,2335.258,NGDPD
BRA,2007,1397.114,NGDPD
BRA,2008,1695.855,NGDPD
BRA,2009,1669.204,NGDPD
BRA,2010,2208.704,NGDPD
BRA,2011,2614.027,NGDPD
BRA,2012,2464.053,NGDPD
BRA,2013,2471.718,NGDPD
BRA,2014,2456.055,NGDPD
BRA,2015,1800.046,NGDPD
BRA,2016,1796.622,NGDPD
BRA,2017,2063.519,NGDPD
BRA,2018,1916.934,NGDPD
BRA,2019,1873.286,NGDPD
BRA,2020,1476.092,NGDPD
BRA,2021,1670.65,NGDPD
BRA,2022,1951.849,NGDPD
BRA,2023,2191.137,NGDPD
BRA,2024,2179.413,NGDPD
BRA,2025,2256.91,NGDPD
BRA,2026,2292.69,NGDPD
BRA,2027,2413.082,NGDPD
BRA,2028,2535.726,NGDPD
BRA,2029,2670.791,NGDPD
BRA,2030,2814.461,NGDPD
CAN,2007,1468.896,NGDPD
CAN,2008,1552.864,NGDPD
CAN,2009,1376.509,NGDPD
CAN,2010,1617.345,NGDPD
CAN,2011,1793.327,NGDPD
CAN,2012,1828.362,NGDPD
CAN,2013,1846.595,NGDPD
CAN,2014,1805.751,NGDPD
CAN,2015,1556.508,NGDPD
CAN,2016,1527.996,NGDPD
CAN,2017,1649.266,NGDPD
CAN,2018,1725.3,NGDPD
CAN,2019,1743.725,NGDPD
CAN,2020,1655.685,NGDPD
CAN,2021,2022.382,NGDPD
CAN,2022,2190.411,NGDPD
CAN,2023,2173.34,NGDPD
CAN,2024,2243.637,NGDPD
CAN,2025,2283.599,NGDPD
CAN,2026,2420.837,NGDPD
CAN,2027,2539.681,NGDPD
CAN,2028,2652.785,NGDPD
CAN,2029,2771.982,NGDPD
CAN,2030,2910.474,NGDPD
CHN,2007,3612.21,NGDPD
CHN,2008,4653.314,NGDPD
CHN,2009,5176.18,NGDPD
CHN,2010,6138.992,NGDPD
CHN,2011,7624.861,NGDPD
CHN,2012,8682.939,NGDPD
CHN,2013,9782.784,NGDPD
