country,year,value,indicator
AUS,2007,45207.836,NGDPDPC
AUS,2008,49198.337,NGDPDPC
AUS,2009,45771.876,NGDPDPC
AUS,2010,56584.667,NGDPDPC
AUS,2011,67289.332,NGDPDPC
AUS,2012,68481.215,NGDPDPC
AUS,2013,65237.777,NGDPDPC
AUS,2014,61629.37,NGDPDPC
AUS,2015,51446.14,NGDPDPC
AUS,2016,51779.44,NGDPDPC
AUS,2017,55781.958,NGDPDPC
AUS,2018,56356.895,NGDPDPC
AUS,2019,54320.676,NGDPDPC
AUS,2020,53165.336,NGDPDPC
AUS,2021,64245.002,NGDPDPC
AUS,2022,65555.252,NGDPDPC
AUS,2023,64639.952,NGDPDPC
AUS,2024,65528.884,NGDPDPC
AUS,2025,65946.015,NGDPDPC
AUS,2026,69358.357,NGDPDPC
AUS,2027,71625.508,NGDPDPC
AUS,2028,74111.9,NGDPDPC
AUS,2029,76543.462,NGDPDPC
AUS,2030,79263.254,NGDPDPC
BRA,2007,7374.237,NGDPDPC
BRA,2008,8863.269,NGDPDPC
BRA,2009,8640.934,NGDPDPC
BRA,2010,11341.268,NGDPDPC
BRA,2011,13326.088,NGDPDPC
BRA,2012,12465.45,NGDPDPC
BRA,2013,12406.559,NGDPDPC
BRA,2014,12230.669,NGDPDPC
BRA,2015,8893.346,NGDPDPC
BRA,2016,8812.503,NGDPDPC
BRA,2017,10055.567,NGDPDPC
BRA,2018,9281.668,NGDPDPC
BRA,2019,9010.512,NGDPDPC
BRA,2020,7057.072,NGDPDPC
BRA,2021,7951.553,NGDPDPC
BRA,2022,9256.482,NGDPDPC
BRA,2023,10350.437,NGDPDPC
BRA,2024,10252.019,NGDPDPC
BRA,2025,10577.855,NGDPDPC
BRA,2026,10709.355,NGDPDPC
BRA,2027,11236.321,NGDPDPC
BRA,2028,11773.141,NGDPDPC
BRA,2029,12366.845,NGDPDPC
BRA,2030,12999.858,NGDPDPC
CAN,2007,44717.074,NGDPDPC
CAN,2008,46773.744,NGDPDPC
CAN,2009,40989.278,NGDPDPC
CAN,2010,47625.742,NGDPDPC
CAN,2011,52285.815,NGDPDPC
CAN,2012,52745.057,NGDPDPC
CAN,2013,52711.32,NGDPDPC
CAN,2014,51025.428,NGDPDPC
CAN,2015,43628.425,NGDPDPC
CAN,2016,42382.499,NGDPDPC
CAN,2017,45192.368,NGDPDPC
CAN,2018,46617.97,NGDPDPC
CAN,2019,46430.975,NGDPDPC
CAN,2020,43573.195,NGDPDPC
CAN,2021,52912.175,NGDPDPC
CAN,2022,56358.067,NGDPDPC
CAN,2023,54376.269,NGDPDPC
CAN,2024,54531.118,NGDPDPC
CAN,2025,54934.843,NGDPDPC
CAN,2026,58243.586,NGDPDPC
CAN,2027,61047.868,NGDPDPC
CAN,2028,63383.379,NGDPDPC
CAN,2029,65706.301,NGDPDPC
CAN,2030,68445.728,NGDPDPC
CHN,2007,2733.851,NGDPDPC
CHN,2008,3503.948,NGDPDPC
CHN,2009,3878.741,NGDPDPC
CHN,2010,4578.228,NGDPDPC
CHN,2011,5651.562,NGDPDPC
CHN,2012,6388.178,NGDPDPC
CHN,2013,7155.028,NGDPDPC
CHN,2014,7774.592,NGDPDPC
CHN,2015,8174.332,NGDPDPC
