country,year,value,indicator
AUS,2007,38842.799,PPPPC
AUS,2008,39749.298,PPPPC
AUS,2009,40052.431,PPPPC
AUS,2010,40945.39,PPPPC
AUS,2011,42287.243,PPPPC
AUS,2012,43915.341,PPPPC
AUS,2013,44929.271,PPPPC
AUS,2014,46209.198,PPPPC
AUS,2015,47044.416,PPPPC
AUS,2016,47969.993,PPPPC
AUS,2017,49236.106,PPPPC
AUS,2018,51230.375,PPPPC
AUS,2019,53528.465,PPPPC
AUS,2020,53805.254,PPPPC
AUS,2021,60322.086,PPPPC
AUS,2022,65885.222,PPPPC
AUS,2023,68094.798,PPPPC
AUS,2024,69351.798,PPPPC
AUS,2025,71430.886,PPPPC
AUS,2026,73360.713,PPPPC
AUS,2027,75293.963,PPPPC
AUS,2028,77291.384,PPPPC
AUS,2029,79459.33,PPPPC
AUS,2030,81828.402,PPPPC
BRA,2007,11605.183,PPPPC
BRA,2008,12309.433,PPPPC
BRA,2009,12252.012,PPPPC
BRA,2010,13226.64,PPPPC
BRA,2011,13935.215,PPPPC
BRA,2012,14356.717,PPPPC
BRA,2013,14922.341,PPPPC
BRA,2014,15138.365,PPPPC
BRA,2015,14621.149,PPPPC
BRA,2016,14173.734,PPPPC
BRA,2017,14523.0,PPPPC
BRA,2018,15432.162,PPPPC
BRA,2019,16035.469,PPPPC
BRA,2020,16062.817,PPPPC
BRA,2021,18028.1,PPPPC
BRA,2022,19821.227,PPPPC
BRA,2023,21137.486,PPPPC
BRA,2024,22304.24,PPPPC
BRA,2025,23309.631,PPPPC
BRA,2026,24108.131,PPPPC
BRA,2027,24982.414,PPPPC
BRA,2028,25898.031,PPPPC
BRA,2029,26919.742,PPPPC
BRA,2030,28037.475,PPPPC
CAN,2007,39669.53,PPPPC
CAN,2008,40404.68,PPPPC
CAN,2009,39019.001,PPPPC
CAN,2010,40261.543,PPPPC
CAN,2011,41962.427,PPPPC
CAN,2012,43035.423,PPPPC
CAN,2013,44315.275,PPPPC
CAN,2014,45914.79,PPPPC
CAN,2015,46266.588,PPPPC
CAN,2016,46699.042,PPPPC
CAN,2017,48384.579,PPPPC
CAN,2018,50068.12,PPPPC
CAN,2019,50584.055,PPPPC
CAN,2020,48630.152,PPPPC
CAN,2021,56223.015,PPPPC
CAN,2022,61704.095,PPPPC
CAN,2023,63173.254,PPPPC
CAN,2024,63869.516,PPPPC
CAN,2025,65500.245,PPPPC
CAN,2026,67713.835,PPPPC
CAN,2027,70080.606,PPPPC
CAN,2028,71983.288,PPPPC
CAN,2029,73920.946,PPPPC
CAN,2030,75935.794,PPPPC
CHN,2007,6167.771,PPPPC
CHN,2008,6857.571,PPPPC
CHN,2009,7514.889,PPPPC
CHN,2010,8371.264,PPPPC
CHN,2011,9294.288,PPPPC
CHN,2012,10134.737,PPPPC
CHN,2013,11042.848,PPPPC
CHN,2014,11996.128,PPPPC
CHN,2015,12893.511,PPPPC
CHN,2016,13807.5,PPPPC
CHN,2017,14939.698,PPPPC
CHN,2018,16225.262,PPPPC
CHN,2019,17586.601,PPPPC
CHN,2020,18384.413,PPPPC
CHN,2021,20827.093,PPPPC
CHN,2022,23016.507,PPPPC
CHN,2023,25188.583,PPPPC
CHN,2024,27132.068,PPPPC
CHN,2025,29191.097,PPPPC
CHN,2026,31022.767,PPPPC
CHN,2027,32938.889,PPPPC
CHN,2028,34888.826,PPPPC
CHN,2029,36914.431,PPPPC
CHN,2030,38986.033,PPPPC
DEU,2007,42086.798,PPPPC
DEU,2008,43401.227,PPPPC
DEU,2009,41389.105,PPPPC
DEU,2010,43736.008,PPPPC
DEU,2011,46320.969,PPPPC
DEU,2012,47338.617,PPPPC
DEU,2013,48255.042,PPPPC
DEU,2014,50014.865,PPPPC
DEU,2015,50947.606,PPPPC
DEU,2016,52237.705,PPPPC
DEU,2017,54551.288,PPPPC
DEU,2018,56834.111,PPPPC
DEU,2019,59953.265,PPPPC
DEU,2020,59444.32,PPPPC
DEU,2021,63974.512,PPPPC
DEU,2022,69311.197,PPPPC
DEU,2023,70601.01,PPPPC
DEU,2024,71796.542,PPPPC
DEU,2025,73553.296,PPPPC
DEU,2026,75480.389,PPPPC
DEU,2027,77813.712,PPPPC
DEU,2028,80001.27,PPPPC
DEU,2029,82183.329,PPPPC
DEU,2030,84291.028,PPPPC
FRA,2007,37339.378,PPPPC
FRA,2008,37943.053,PPPPC
FRA,2009,36936.704,PPPPC
FRA,2010,37891.128,PPPPC
FRA,2011,39437.926,PPPPC
FRA,2012,40074.472,PPPPC
FRA,2013,40930.741,PPPPC
FRA,2014,41700.402,PPPPC
FRA,2015,42320.642,PPPPC
FRA,2016,42920.249,PPPPC
FRA,2017,44564.774,PPPPC
FRA,2018,46496.123,PPPPC
FRA,2019,51224.78,PPPPC
FRA,2020,49598.675,PPPPC
FRA,2021,54017.12,PPPPC
FRA,2022,59162.288,PPPPC
FRA,2023,62174.962,PPPPC
FRA,2024,64241.542,PPPPC
FRA,2025,66060.528,PPPPC
FRA,2026,67671.187,PPPPC
FRA,2027,69426.891,PPPPC
FRA,2028,71251.101,PPPPC
FRA,2029,73195.04,PPPPC
FRA,2030,75259.89,PPPPC
GBR,2007,38178.204,PPPPC
GBR,2008,38499.787,PPPPC
GBR,2009,36688.03,PPPPC
GBR,2010,37661.401,PPPPC
GBR,2011,38553.511,PPPPC
GBR,2012,39601.136,PPPPC
GBR,2013,40743.604,PPPPC
GBR,2014,42452.372,PPPPC
GBR,2015,43453.689,PPPPC
GBR,2016,44343.18,PPPPC
GBR,2017,46061.349,PPPPC
GBR,2018,47107.713,PPPPC
GBR,2019,49940.539,PPPPC
GBR,2020,47987.784,PPPPC
GBR,2021,52872.448,PPPPC
GBR,2022,58872.808,PPPPC
GBR,2023,60692.866,PPPPC
GBR,2024,62011.034,PPPPC
GBR,2025,63759.051,PPPPC
GBR,2026,65215.456,PPPPC
GBR,2027,66905.253,PPPPC
GBR,2028,68634.662,PPPPC
GBR,2029,70500.689,PPPPC
GBR,2030,72522.417,PPPPC
IDN,2007,6268.284,PPPPC
IDN,2008,6767.976,PPPPC
IDN,2009,7029.645,PPPPC
IDN,2010,7462.433,PPPPC
IDN,2011,7940.979,PPPPC
IDN,2012,8456.574,PPPPC
IDN,2013,8954.663,PPPPC
IDN,2014,9439.798,PPPPC
IDN,2015,9873.843,PPPPC
IDN,2016,10335.112,PPPPC
IDN,2017,10932.638,PPPPC
IDN,2018,11621.366,PPPPC
IDN,2019,12236.943,PPPPC
IDN,2020,11929.526,PPPPC
IDN,2021,12947.903,PPPPC
IDN,2022,14443.788,PPPPC
IDN,2023,15566.433,PPPPC
IDN,2024,16582.359,PPPPC
IDN,2025,17633.888,PPPPC
IDN,2026,18657.066,PPPPC
IDN,2027,19726.828,PPPPC
IDN,2028,20853.711,PPPPC
IDN,2029,22113.047,PPPPC
IDN,2030,23491.537,PPPPC
IND,2007,3171.771,PPPPC
IND,2008,3285.052,PPPPC
IND,2009,3513.992,PPPPC
IND,2010,3803.21,PPPPC
IND,2011,4027.657,PPPPC
IND,2012,4267.465,PPPPC
IND,2013,4556.133,PPPPC
IND,2014,4916.581,PPPPC
IND,2015,5295.455,PPPPC
IND,2016,5718.586,PPPPC
IND,2017,6144.716,PPPPC
IND,2018,6714.967,PPPPC
IND,2019,7150.923,PPPPC
IND,2020,6966.277,PPPPC
IND,2021,8050.019,PPPPC
IND,2022,9205.657,PPPPC
IND,2023,10331.98,PPPPC
IND,2024,11176.184,PPPPC
IND,2025,12100.965,PPPPC
IND,2026,12964.269,PPPPC
IND,2027,13908.467,PPPPC
IND,2028,14927.445,PPPPC
IND,2029,16047.186,PPPPC
IND,2030,17277.755,PPPPC
ITA,2007,39458.277,PPPPC
ITA,2008,39475.609,PPPPC
ITA,2009,37346.804,PPPPC
ITA,2010,38205.306,PPPPC
ITA,2011,39095.663,PPPPC
ITA,2012,38478.448,PPPPC
ITA,2013,38312.149,PPPPC
ITA,2014,38934.586,PPPPC
ITA,2015,39677.106,PPPPC
ITA,2016,40638.144,PPPPC
ITA,2017,42097.133,PPPPC
ITA,2018,43539.369,PPPPC
ITA,2019,46593.61,PPPPC
ITA,2020,44284.701,PPPPC
ITA,2021,50377.31,PPPPC
ITA,2022,56759.31,PPPPC
ITA,2023,59313.602,PPPPC
ITA,2024,61254.174,PPPPC
ITA,2025,63125.675,PPPPC
ITA,2026,64809.222,PPPPC
ITA,2027,66353.04,PPPPC
ITA,2028,67995.289,PPPPC
ITA,2029,69807.994,PPPPC
ITA,2030,71773.099,PPPPC
JPN,2007,33983.429,PPPPC
JPN,2008,34231.458,PPPPC
JPN,2009,32517.785,PPPPC
JPN,2010,34249.99,PPPPC
JPN,2011,34900.287,PPPPC
JPN,2012,36117.685,PPPPC
JPN,2013,37533.424,PPPPC
JPN,2014,38364.455,PPPPC
JPN,2015,39368.764,PPPPC
JPN,2016,40047.948,PPPPC
JPN,2017,41518.116,PPPPC
