country,year,value,indicator
AUS,2007,816.325,PPPGDP
AUS,2008,853.641,PPPGDP
AUS,2009,875.771,PPPGDP
AUS,2010,907.86,PPPGDP
AUS,2011,952.402,PPPGDP
AUS,2012,1006.892,PPPGDP
AUS,2013,1046.752,PPPGDP
AUS,2014,1092.401,PPPGDP
AUS,2015,1128.341,PPPGDP
AUS,2016,1169.751,PPPGDP
AUS,2017,1219.038,PPPGDP
AUS,2018,1288.246,PPPGDP
AUS,2019,1366.071,PPPGDP
AUS,2020,1379.066,PPPGDP
AUS,2021,1554.729,PPPGDP
AUS,2022,1734.118,PPPGDP
AUS,2023,1835.433,PPPGDP
AUS,2024,1900.24,PPPGDP
AUS,2025,1981.672,PPPGDP
AUS,2026,2060.651,PPPGDP
AUS,2027,2140.334,PPPGDP
AUS,2028,2223.479,PPPGDP
AUS,2029,2313.275,PPPGDP
AUS,2030,2410.832,PPPGDP
BRA,2007,2198.704,PPPGDP
BRA,2008,2355.228,PPPGDP
BRA,2009,2366.771,PPPGDP
BRA,2010,2575.879,PPPGDP
BRA,2011,2733.512,PPPGDP
BRA,2012,2837.901,PPPGDP
BRA,2013,2972.929,PPPGDP
BRA,2014,3039.952,PPPGDP
BRA,2015,2959.374,PPPGDP
BRA,2016,2889.626,PPPGDP
BRA,2017,2980.287,PPPGDP
BRA,2018,3187.19,PPPGDP
BRA,2019,3333.776,PPPGDP
BRA,2020,3359.777,PPPGDP
BRA,2021,3787.77,PPPGDP
BRA,2022,4179.563,PPPGDP
BRA,2023,4474.703,PPPGDP
BRA,2024,4741.519,PPPGDP
BRA,2025,4973.385,PPPGDP
BRA,2026,5161.14,PPPGDP
BRA,2027,5365.157,PPPGDP
BRA,2028,5577.977,PPPGDP
BRA,2029,5813.69,PPPGDP
BRA,2030,6070.096,PPPGDP
CAN,2007,1303.091,PPPGDP
CAN,2008,1341.414,PPPGDP
CAN,2009,1310.343,PPPGDP
CAN,2010,1367.261,PPPGDP
CAN,2011,1439.25,PPPGDP
CAN,2012,1491.786,PPPGDP
CAN,2013,1552.463,PPPGDP
CAN,2014,1624.889,PPPGDP
CAN,2015,1650.628,PPPGDP
CAN,2016,1683.619,PPPGDP
CAN,2017,1765.763,PPPGDP
CAN,2018,1852.988,PPPGDP
CAN,2019,1899.695,PPPGDP
CAN,2020,1847.839,PPPGDP
CAN,2021,2148.927,PPPGDP
CAN,2022,2398.19,PPPGDP
CAN,2023,2524.942,PPPGDP
CAN,2024,2627.857,PPPGDP
CAN,2025,2722.795,PPPGDP
CAN,2026,2814.459,PPPGDP
CAN,2027,2915.456,PPPGDP
CAN,2028,3012.717,PPPGDP
CAN,2029,3118.537,PPPGDP
CAN,2030,3228.969,PPPGDP
CHN,2007,8149.415,PPPGDP
CHN,2008,9106.992,PPPGDP
CHN,2009,10028.619,PPPGDP
CHN,2010,11225.111,PPPGDP
CHN,2011,12539.482,PPPGDP
CHN,2012,13775.337,PPPGDP
CHN,2013,15098.444,PPPGDP
CHN,2014,16512.19,PPPGDP
CHN,2015,17835.078,PPPGDP
CHN,2016,19224.459,PPPGDP
CHN,2017,20917.221,PPPGDP
CHN,2018,22803.146,PPPGDP
CHN,2019,24798.514,PPPGDP
CHN,2020,25960.998,PPPGDP
CHN,2021,29420.351,PPPGDP
CHN,2022,32493.554,PPPGDP
CHN,2023,35507.59,PPPGDP
CHN,2024,38209.549,PPPGDP
CHN,2025,41015.824,PPPGDP
CHN,2026,43491.52,PPPGDP
CHN,2027,46072.056,PPPGDP
CHN,2028,48676.822,PPPGDP
CHN,2029,51361.78,PPPGDP
CHN,2030,54084.435,PPPGDP
DEU,2007,3408.747,PPPGDP
DEU,2008,3505.278,PPPGDP
DEU,2009,3331.14,PPPGDP
DEU,2010,3511.345,PPPGDP
DEU,2011,3718.462,PPPGDP
DEU,2012,3805.35,PPPGDP
DEU,2013,3885.387,PPPGDP
DEU,2014,4039.125,PPPGDP
DEU,2015,4144.409,PPPGDP
DEU,2016,4276.557,PPPGDP
DEU,2017,4475.279,PPPGDP
DEU,2018,4669.306,PPPGDP
DEU,2019,4928.323,PPPGDP
DEU,2020,4881.924,PPPGDP
DEU,2021,5245.574,PPPGDP
DEU,2022,5720.184,PPPGDP
DEU,2023,5880.111,PPPGDP
DEU,2024,5996.196,PPPGDP
DEU,2025,6153.741,PPPGDP
DEU,2026,6323.531,PPPGDP
DEU,2027,6524.275,PPPGDP
DEU,2028,6710.004,PPPGDP
DEU,2029,6894.407,PPPGDP
DEU,2030,7071.436,PPPGDP
FRA,2007,2374.81,PPPGDP
FRA,2008,2426.908,PPPGDP
FRA,2009,2375.196,PPPGDP
FRA,2010,2448.257,PPPGDP
FRA,2011,2560.839,PPPGDP
FRA,2012,2614.508,PPPGDP
FRA,2013,2683.614,PPPGDP
FRA,2014,2757.684,PPPGDP
FRA,2015,2811.042,PPPGDP
FRA,2016,2858.602,PPPGDP
FRA,2017,2975.79,PPPGDP
FRA,2018,3114.876,PPPGDP
FRA,2019,3445.275,PPPGDP
FRA,2020,3345.026,PPPGDP
FRA,2021,3656.802,PPPGDP
FRA,2022,4026.598,PPPGDP
FRA,2023,4243.198,PPPGDP
FRA,2024,4396.474,PPPGDP
FRA,2025,4533.633,PPPGDP
FRA,2026,4657.19,PPPGDP
FRA,2027,4791.414,PPPGDP
FRA,2028,4931.095,PPPGDP
FRA,2029,5079.83,PPPGDP
FRA,2030,5237.776,PPPGDP
GBR,2007,2341.049,PPPGDP
GBR,2008,2380.211,PPPGDP
GBR,2009,2284.233,PPPGDP
GBR,2010,2363.63,PPPGDP
GBR,2011,2439.859,PPPGDP
GBR,2012,2522.79,PPPGDP
GBR,2013,2611.909,PPPGDP
GBR,2014,2742.296,PPPGDP
GBR,2015,2829.27,PPPGDP
GBR,2016,2911.041,PPPGDP
GBR,2017,3041.892,PPPGDP
GBR,2018,3129.648,PPPGDP
GBR,2019,3335.878,PPPGDP
GBR,2020,3219.069,PPPGDP
GBR,2021,3543.829,PPPGDP
GBR,2022,3979.566,PPPGDP
GBR,2023,4143.198,PPPGDP
GBR,2024,4292.79,PPPGDP
GBR,2025,4454.716,PPPGDP
GBR,2026,4592.101,PPPGDP
GBR,2027,4741.034,PPPGDP
GBR,2028,4887.344,PPPGDP
GBR,2029,5044.159,PPPGDP
GBR,2030,5212.91,PPPGDP
IDN,2007,1427.649,PPPGDP
IDN,2008,1563.44,PPPGDP
IDN,2009,1647.046,PPPGDP
IDN,2010,1773.382,PPPGDP
IDN,2011,1921.643,PPPGDP
IDN,2012,2075.456,PPPGDP
IDN,2013,2228.082,PPPGDP
IDN,2014,2380.385,PPPGDP
IDN,2015,2519.629,PPPGDP
IDN,2016,2671.59,PPPGDP
IDN,2017,2857.305,PPPGDP
IDN,2018,3069.919,PPPGDP
IDN,2019,3266.186,PPPGDP
IDN,2020,3223.405,PPPGDP
IDN,2021,3530.623,PPPGDP
IDN,2022,3982.44,PPPGDP
IDN,2023,4338.306,PPPGDP
IDN,2024,4669.655,PPPGDP
IDN,2025,5015.762,PPPGDP
IDN,2026,5358.279,PPPGDP
IDN,2027,5718.415,PPPGDP
IDN,2028,6099.313,PPPGDP
IDN,2029,6523.314,PPPGDP
IDN,2030,6987.104,PPPGDP
IND,2007,3776.551,PPPGDP
IND,2008,3968.116,PPPGDP
IND,2009,4306.485,PPPGDP
IND,2010,4729.221,PPPGDP
