country,year,value,indicator
AUS,2007,9.7,GGXWDG_NGDP
AUS,2008,11.7,GGXWDG_NGDP
AUS,2009,16.6,GGXWDG_NGDP
AUS,2010,20.3,GGXWDG_NGDP
AUS,2011,24.0,GGXWDG_NGDP
AUS,2012,27.5,GGXWDG_NGDP
AUS,2013,30.5,GGXWDG_NGDP
AUS,2014,34.0,GGXWDG_NGDP
AUS,2015,37.7,GGXWDG_NGDP
AUS,2016,40.6,GGXWDG_NGDP
AUS,2017,41.2,GGXWDG_NGDP
AUS,2018,41.8,GGXWDG_NGDP
AUS,2019,46.7,GGXWDG_NGDP
AUS,2020,57.1,GGXWDG_NGDP
AUS,2021,55.5,GGXWDG_NGDP
AUS,2022,50.2,GGXWDG_NGDP
AUS,2023,49.6,GGXWDG_NGDP
AUS,2024,50.7,GGXWDG_NGDP
AUS,2025,51.0,GGXWDG_NGDP
AUS,2026,50.7,GGXWDG_NGDP
AUS,2027,50.5,GGXWDG_NGDP
AUS,2028,50.2,GGXWDG_NGDP
AUS,2029,49.8,GGXWDG_NGDP
AUS,2030,49.4,GGXWDG_NGDP
BRA,2007,63.0,GGXWDG_NGDP
BRA,2008,61.4,GGXWDG_NGDP
BRA,2009,64.7,GGXWDG_NGDP
BRA,2010,62.4,GGXWDG_NGDP
BRA,2011,60.6,GGXWDG_NGDP
BRA,2012,61.6,GGXWDG_NGDP
BRA,2013,59.6,GGXWDG_NGDP
BRA,2014,61.6,GGXWDG_NGDP
BRA,2015,71.7,GGXWDG_NGDP
BRA,2016,77.4,GGXWDG_NGDP
BRA,2017,82.7,GGXWDG_NGDP
BRA,2018,84.8,GGXWDG_NGDP
BRA,2019,87.1,GGXWDG_NGDP
BRA,2020,96.0,GGXWDG_NGDP
BRA,2021,88.9,GGXWDG_NGDP
BRA,2022,83.9,GGXWDG_NGDP
BRA,2023,84.0,GGXWDG_NGDP
BRA,2024,87.3,GGXWDG_NGDP
BRA,2025,91.4,GGXWDG_NGDP
BRA,2026,95.0,GGXWDG_NGDP
BRA,2027,97.0,GGXWDG_NGDP
BRA,2028,98.0,GGXWDG_NGDP
BRA,2029,98.2,GGXWDG_NGDP
BRA,2030,98.1,GGXWDG_NGDP
CAN,2007,67.2,GGXWDG_NGDP
CAN,2008,70.4,GGXWDG_NGDP
CAN,2009,81.8,GGXWDG_NGDP
CAN,2010,84.0,GGXWDG_NGDP
CAN,2011,84.3,GGXWDG_NGDP
CAN,2012,87.2,GGXWDG_NGDP
CAN,2013,87.6,GGXWDG_NGDP
CAN,2014,85.5,GGXWDG_NGDP
CAN,2015,92.0,GGXWDG_NGDP
CAN,2016,92.4,GGXWDG_NGDP
CAN,2017,90.9,GGXWDG_NGDP
CAN,2018,90.8,GGXWDG_NGDP
CAN,2019,90.2,GGXWDG_NGDP
CAN,2020,118.1,GGXWDG_NGDP
CAN,2021,112.6,GGXWDG_NGDP
CAN,2022,104.2,GGXWDG_NGDP
CAN,2023,107.7,GGXWDG_NGDP
CAN,2024,111.3,GGXWDG_NGDP
CAN,2025,113.9,GGXWDG_NGDP
CAN,2026,113.0,GGXWDG_NGDP
CAN,2027,111.8,GGXWDG_NGDP
CAN,2028,110.7,GGXWDG_NGDP
CAN,2029,109.7,GGXWDG_NGDP
CAN,2030,107.9,GGXWDG_NGDP
CHN,2007,28.7,GGXWDG_NGDP
CHN,2008,26.7,GGXWDG_NGDP
CHN,2009,34.0,GGXWDG_NGDP
CHN,2010,33.3,GGXWDG_NGDP
CHN,2011,33.2,GGXWDG_NGDP
CHN,2012,33.8,GGXWDG_NGDP
CHN,2013,36.4,GGXWDG_NGDP
CHN,2014,39.3,GGXWDG_NGDP
CHN,2015,40.8,GGXWDG_NGDP
CHN,2016,49.7,GGXWDG_NGDP
CHN,2017,53.9,GGXWDG_NGDP
CHN,2018,55.6,GGXWDG_NGDP
CHN,2019,59.4,GGXWDG_NGDP
CHN,2020,69.0,GGXWDG_NGDP
CHN,2021,70.1,GGXWDG_NGDP
CHN,2022,75.5,GGXWDG_NGDP
CHN,2023,82.0,GGXWDG_NGDP
CHN,2024,88.3,GGXWDG_NGDP
CHN,2025,96.3,GGXWDG_NGDP
CHN,2026,102.3,GGXWDG_NGDP
CHN,2027,106.3,GGXWDG_NGDP
CHN,2028,109.7,GGXWDG_NGDP
CHN,2029,112.9,GGXWDG_NGDP
CHN,2030,116.1,GGXWDG_NGDP
DEU,2007,63.7,GGXWDG_NGDP
DEU,2008,65.2,GGXWDG_NGDP
DEU,2009,72.4,GGXWDG_NGDP
DEU,2010,81.0,GGXWDG_NGDP
DEU,2011,78.5,GGXWDG_NGDP
DEU,2012,79.8,GGXWDG_NGDP
DEU,2013,77.5,GGXWDG_NGDP
DEU,2014,74.5,GGXWDG_NGDP
DEU,2015,71.2,GGXWDG_NGDP
DEU,2016,68.3,GGXWDG_NGDP
DEU,2017,64.0,GGXWDG_NGDP
DEU,2018,60.8,GGXWDG_NGDP
DEU,2019,58.7,GGXWDG_NGDP
DEU,2020,68.0,GGXWDG_NGDP
DEU,2021,68.0,GGXWDG_NGDP
DEU,2022,64.4,GGXWDG_NGDP
DEU,2023,62.4,GGXWDG_NGDP
DEU,2024,63.5,GGXWDG_NGDP
DEU,2025,64.4,GGXWDG_NGDP
DEU,2026,66.0,GGXWDG_NGDP
DEU,2027,67.8,GGXWDG_NGDP
DEU,2028,69.7,GGXWDG_NGDP
DEU,2029,71.6,GGXWDG_NGDP
DEU,2030,73.6,GGXWDG_NGDP
FRA,2007,65.5,GGXWDG_NGDP
FRA,2008,69.8,GGXWDG_NGDP
FRA,2009,84.1,GGXWDG_NGDP
FRA,2010,86.3,GGXWDG_NGDP
FRA,2011,88.7,GGXWDG_NGDP
