country,year,value,indicator
AUS,2007,2.4,PCPIPCH
AUS,2008,4.3,PCPIPCH
AUS,2009,1.8,PCPIPCH
AUS,2010,2.9,PCPIPCH
AUS,2011,3.4,PCPIPCH
AUS,2012,1.7,PCPIPCH
AUS,2013,2.5,PCPIPCH
AUS,2014,2.5,PCPIPCH
AUS,2015,1.5,PCPIPCH
AUS,2016,1.3,PCPIPCH
AUS,2017,2.0,PCPIPCH
AUS,2018,1.9,PCPIPCH
AUS,2019,1.6,PCPIPCH
AUS,2020,0.9,PCPIPCH
AUS,2021,2.8,PCPIPCH
AUS,2022,6.7,PCPIPCH
AUS,2023,5.6,PCPIPCH
AUS,2024,3.2,PCPIPCH
AUS,2025,2.6,PCPIPCH
AUS,2026,3.0,PCPIPCH
AUS,2027,2.6,PCPIPCH
AUS,2028,2.5,PCPIPCH
AUS,2029,2.5,PCPIPCH
AUS,2030,2.5,PCPIPCH
BRA,2007,3.6,PCPIPCH
BRA,2008,5.7,PCPIPCH
BRA,2009,4.9,PCPIPCH
BRA,2010,5.0,PCPIPCH
BRA,2011,6.6,PCPIPCH
BRA,2012,5.4,PCPIPCH
BRA,2013,6.2,PCPIPCH
BRA,2014,6.3,PCPIPCH
BRA,2015,9.0,PCPIPCH
BRA,2016,8.7,PCPIPCH
BRA,2017,3.4,PCPIPCH
BRA,2018,3.7,PCPIPCH
BRA,2019,3.7,PCPIPCH
BRA,2020,3.2,PCPIPCH
BRA,2021,8.3,PCPIPCH
BRA,2022,9.3,PCPIPCH
BRA,2023,4.6,PCPIPCH
BRA,2024,4.4,PCPIPCH
BRA,2025,5.2,PCPIPCH
BRA,2026,4.0,PCPIPCH
BRA,2027,3.3,PCPIPCH
BRA,2028,2.9,PCPIPCH
BRA,2029,2.9,PCPIPCH
BRA,2030,2.9,PCPIPCH
CAN,2007,2.1,PCPIPCH
CAN,2008,2.4,PCPIPCH
CAN,2009,0.3,PCPIPCH
CAN,2010,1.8,PCPIPCH
CAN,2011,2.9,PCPIPCH
CAN,2012,1.5,PCPIPCH
CAN,2013,0.9,PCPIPCH
CAN,2014,1.9,PCPIPCH
CAN,2015,1.1,PCPIPCH
CAN,2016,1.4,PCPIPCH
CAN,2017,1.6,PCPIPCH
CAN,2018,2.3,PCPIPCH
CAN,2019,1.9,PCPIPCH
CAN,2020,0.7,PCPIPCH
CAN,2021,3.4,PCPIPCH
CAN,2022,6.8,PCPIPCH
CAN,2023,3.9,PCPIPCH
CAN,2024,2.4,PCPIPCH
CAN,2025,2.0,PCPIPCH
CAN,2026,2.0,PCPIPCH
CAN,2027,2.1,PCPIPCH
CAN,2028,2.0,PCPIPCH
CAN,2029,1.9,PCPIPCH
CAN,2030,1.9,PCPIPCH
CHN,2007,4.7,PCPIPCH
CHN,2008,5.9,PCPIPCH
CHN,2009,-0.7,PCPIPCH
CHN,2010,3.3,PCPIPCH
CHN,2011,5.4,PCPIPCH
CHN,2012,2.6,PCPIPCH
CHN,2013,2.7,PCPIPCH
CHN,2014,2.0,PCPIPCH
CHN,2015,1.5,PCPIPCH
CHN,2016,2.0,PCPIPCH
CHN,2017,1.6,PCPIPCH
CHN,2018,2.1,PCPIPCH
CHN,2019,2.9,PCPIPCH
CHN,2020,2.5,PCPIPCH
CHN,2021,0.9,PCPIPCH
CHN,2022,2.0,PCPIPCH
CHN,2023,0.2,PCPIPCH
CHN,2024,0.2,PCPIPCH
CHN,2025,0.0,PCPIPCH
CHN,2026,0.7,PCPIPCH
CHN,2027,1.4,PCPIPCH
CHN,2028,1.8,PCPIPCH
CHN,2029,1.9,PCPIPCH
CHN,2030,2.0,PCPIPCH
DEU,2007,2.3,PCPIPCH
DEU,2008,2.8,PCPIPCH
DEU,2009,0.2,PCPIPCH
DEU,2010,1.1,PCPIPCH
DEU,2011,2.5,PCPIPCH
DEU,2012,2.2,PCPIPCH
DEU,2013,1.6,PCPIPCH
DEU,2014,0.8,PCPIPCH
DEU,2015,0.7,PCPIPCH
DEU,2016,0.4,PCPIPCH
DEU,2017,1.7,PCPIPCH
DEU,2018,1.9,PCPIPCH
DEU,2019,1.4,PCPIPCH
DEU,2020,0.4,PCPIPCH
DEU,2021,3.2,PCPIPCH
DEU,2022,8.7,PCPIPCH
DEU,2023,6.0,PCPIPCH
DEU,2024,2.5,PCPIPCH
DEU,2025,2.1,PCPIPCH
DEU,2026,1.8,PCPIPCH
DEU,2027,2.0,PCPIPCH
DEU,2028,2.1,PCPIPCH
DEU,2029,2.2,PCPIPCH
DEU,2030,2.2,PCPIPCH
FRA,2007,1.6,PCPIPCH
FRA,2008,3.2,PCPIPCH
FRA,2009,0.1,PCPIPCH
FRA,2010,1.7,PCPIPCH
FRA,2011,2.3,PCPIPCH
FRA,2012,2.2,PCPIPCH
FRA,2013,1.0,PCPIPCH
FRA,2014,0.6,PCPIPCH
FRA,2015,0.1,PCPIPCH
FRA,2016,0.3,PCPIPCH
FRA,2017,1.2,PCPIPCH
FRA,2018,2.1,PCPIPCH
FRA,2019,1.3,PCPIPCH
FRA,2020,0.5,PCPIPCH
FRA,2021,2.1,PCPIPCH
FRA,2022,5.9,PCPIPCH
FRA,2023,5.7,PCPIPCH
FRA,2024,2.3,PCPIPCH
FRA,2025,1.1,PCPIPCH
FRA,2026,1.5,PCPIPCH
FRA,2027,1.9,PCPIPCH
FRA,2028,1.9,PCPIPCH
FRA,2029,1.9,PCPIPCH
FRA,2030,1.9,PCPIPCH
GBR,2007,2.3,PCPIPCH
GBR,2008,3.6,PCPIPCH
GBR,2009,2.2,PCPIPCH
GBR,2010,3.3,PCPIPCH
GBR,2011,4.5,PCPIPCH
GBR,2012,2.8,PCPIPCH
GBR,2013,2.6,PCPIPCH
GBR,2014,1.5,PCPIPCH
GBR,2015,0.0,PCPIPCH
GBR,2016,0.7,PCPIPCH
GBR,2017,2.7,PCPIPCH
GBR,2018,2.5,PCPIPCH
GBR,2019,1.8,PCPIPCH
GBR,2020,0.9,PCPIPCH
GBR,2021,2.6,PCPIPCH
GBR,2022,9.1,PCPIPCH
GBR,2023,7.3,PCPIPCH
GBR,2024,2.5,PCPIPCH
GBR,2025,3.4,PCPIPCH
GBR,2026,2.5,PCPIPCH
GBR,2027,2.0,PCPIPCH
GBR,2028,2.0,PCPIPCH
GBR,2029,2.0,PCPIPCH
GBR,2030,2.0,PCPIPCH
IDN,2007,6.3,PCPIPCH
IDN,2008,9.9,PCPIPCH
IDN,2009,4.8,PCPIPCH
IDN,2010,5.1,PCPIPCH
IDN,2011,5.3,PCPIPCH
IDN,2012,4.0,PCPIPCH
IDN,2013,6.4,PCPIPCH
IDN,2014,6.4,PCPIPCH
IDN,2015,6.4,PCPIPCH
IDN,2016,3.5,PCPIPCH
IDN,2017,3.8,PCPIPCH
IDN,2018,3.3,PCPIPCH
IDN,2019,2.8,PCPIPCH
IDN,2020,2.0,PCPIPCH
IDN,2021,1.6,PCPIPCH
IDN,2022,4.1,PCPIPCH
IDN,2023,3.7,PCPIPCH
IDN,2024,2.3,PCPIPCH
IDN,2025,1.8,PCPIPCH
IDN,2026,2.9,PCPIPCH
IDN,2027,2.5,PCPIPCH
IDN,2028,2.5,PCPIPCH
IDN,2029,2.5,PCPIPCH
IDN,2030,2.5,PCPIPCH
IND,2007,5.9,PCPIPCH
IND,2008,9.2,PCPIPCH
IND,2009,10.6,PCPIPCH
IND,2010,9.4,PCPIPCH
IND,2011,8.1,PCPIPCH
IND,2012,10.0,PCPIPCH
IND,2013,9.4,PCPIPCH
IND,2014,5.8,PCPIPCH
IND,2015,4.9,PCPIPCH
IND,2016,4.5,PCPIPCH
IND,2017,3.6,PCPIPCH
IND,2018,3.4,PCPIPCH
IND,2019,4.8,PCPIPCH
IND,2020,6.2,PCPIPCH
IND,2021,5.5,PCPIPCH
IND,2022,6.7,PCPIPCH
IND,2023,5.4,PCPIPCH
IND,2024,4.6,PCPIPCH
IND,2025,2.8,PCPIPCH
IND,2026,4.0,PCPIPCH
IND,2027,4.0,PCPIPCH
IND,2028,4.0,PCPIPCH
IND,2029,4.0,PCPIPCH
IND,2030,4.0,PCPIPCH
ITA,2007,2.0,PCPIPCH
ITA,2008,3.5,PCPIPCH
ITA,2009,0.8,PCPIPCH
ITA,2010,1.6,PCPIPCH
ITA,2011,2.9,PCPIPCH
ITA,2012,3.3,PCPIPCH
ITA,2013,1.2,PCPIPCH
ITA,2014,0.2,PCPIPCH
ITA,2015,0.1,PCPIPCH
ITA,2016,-0.1,PCPIPCH
ITA,2017,1.3,PCPIPCH
ITA,2018,1.2,PCPIPCH
ITA,2019,0.6,PCPIPCH
ITA,2020,-0.1,PCPIPCH
ITA,2021,1.9,PCPIPCH
ITA,2022,8.7,PCPIPCH
ITA,2023,5.9,PCPIPCH
ITA,2024,1.1,PCPIPCH
ITA,2025,1.7,PCPIPCH
ITA,2026,2.0,PCPIPCH
ITA,2027,2.0,PCPIPCH
ITA,2028,2.0,PCPIPCH
ITA,2029,2.0,PCPIPCH
ITA,2030,2.0,PCPIPCH
JPN,2007,0.0,PCPIPCH
JPN,2008,1.4,PCPIPCH
JPN,2009,-1.3,PCPIPCH
JPN,2010,-0.7,PCPIPCH
JPN,2011,-0.3,PCPIPCH
JPN,2012,0.0,PCPIPCH
JPN,2013,0.3,PCPIPCH
JPN,2014,2.8,PCPIPCH
JPN,2015,0.8,PCPIPCH
JPN,2016,-0.1,PCPIPCH
JPN,2017,0.5,PCPIPCH
JPN,2018,1.0,PCPIPCH
JPN,2019,0.5,PCPIPCH
JPN,2020,0.0,PCPIPCH
JPN,2021,-0.2,PCPIPCH
JPN,2022,2.5,PCPIPCH
JPN,2023,3.3,PCPIPCH
JPN,2024,2.7,PCPIPCH
JPN,2025,3.3,PCPIPCH
JPN,2026,2.1,PCPIPCH
JPN,2027,2.0,PCPIPCH
JPN,2028,2.0,PCPIPCH
JPN,2029,2.0,PCPIPCH
JPN,2030,2.0,PCPIPCH
KOR,2007,2.5,PCPIPCH
KOR,2008,4.7,PCPIPCH
KOR,2009,2.8,PCPIPCH
KOR,2010,2.9,PCPIPCH
KOR,2011,4.0,PCPIPCH
KOR,2012,2.2,PCPIPCH
KOR,2013,1.3,PCPIPCH
KOR,2014,1.3,PCPIPCH
KOR,2015,0.7,PCPIPCH
KOR,2016,1.0,PCPIPCH
KOR,2017,1.9,PCPIPCH
KOR,2018,1.5,PCPIPCH
KOR,2019,0.4,PCPIPCH
KOR,2020,0.5,PCPIPCH
KOR,2021,2.5,PCPIPCH
KOR,2022,5.1,PCPIPCH
KOR,2023,3.6,PCPIPCH
KOR,2024,2.3,PCPIPCH
KOR,2025,2.0,PCPIPCH
