country,year,value,indicator
AUS,2007,3.0,PCPIEPCH
AUS,2008,3.7,PCPIEPCH
AUS,2009,2.1,PCPIEPCH
AUS,2010,2.6,PCPIEPCH
AUS,2011,3.0,PCPIEPCH
AUS,2012,2.1,PCPIEPCH
AUS,2013,2.6,PCPIEPCH
AUS,2014,1.7,PCPIEPCH
AUS,2015,1.7,PCPIEPCH
AUS,2016,1.4,PCPIEPCH
AUS,2017,2.1,PCPIEPCH
AUS,2018,1.7,PCPIEPCH
AUS,2019,1.8,PCPIEPCH
AUS,2020,0.9,PCPIEPCH
AUS,2021,3.6,PCPIEPCH
AUS,2022,7.9,PCPIEPCH
AUS,2023,4.0,PCPIEPCH
AUS,2024,2.4,PCPIEPCH
AUS,2025,3.2,PCPIEPCH
AUS,2026,2.8,PCPIEPCH
AUS,2027,2.5,PCPIEPCH
AUS,2028,2.5,PCPIEPCH
AUS,2029,2.5,PCPIEPCH
AUS,2030,2.5,PCPIEPCH
BRA,2007,4.5,PCPIEPCH
BRA,2008,5.9,PCPIEPCH
BRA,2009,4.3,PCPIEPCH
BRA,2010,5.9,PCPIEPCH
BRA,2011,6.5,PCPIEPCH
BRA,2012,5.8,PCPIEPCH
BRA,2013,5.9,PCPIEPCH
BRA,2014,6.4,PCPIEPCH
BRA,2015,10.7,PCPIEPCH
BRA,2016,6.3,PCPIEPCH
BRA,2017,2.9,PCPIEPCH
BRA,2018,3.7,PCPIEPCH
BRA,2019,4.3,PCPIEPCH
BRA,2020,4.5,PCPIEPCH
BRA,2021,10.1,PCPIEPCH
BRA,2022,5.8,PCPIEPCH
BRA,2023,4.6,PCPIEPCH
BRA,2024,4.8,PCPIEPCH
BRA,2025,4.9,PCPIEPCH
BRA,2026,3.7,PCPIEPCH
BRA,2027,3.0,PCPIEPCH
BRA,2028,2.9,PCPIEPCH
BRA,2029,2.9,PCPIEPCH
BRA,2030,2.9,PCPIEPCH
CAN,2007,2.5,PCPIEPCH
CAN,2008,1.8,PCPIEPCH
CAN,2009,0.8,PCPIEPCH
CAN,2010,2.2,PCPIEPCH
CAN,2011,2.7,PCPIEPCH
CAN,2012,1.0,PCPIEPCH
CAN,2013,1.0,PCPIEPCH
CAN,2014,2.0,PCPIEPCH
CAN,2015,1.3,PCPIEPCH
CAN,2016,1.4,PCPIEPCH
CAN,2017,1.8,PCPIEPCH
CAN,2018,2.1,PCPIEPCH
CAN,2019,2.1,PCPIEPCH
CAN,2020,0.8,PCPIEPCH
CAN,2021,4.7,PCPIEPCH
CAN,2022,6.6,PCPIEPCH
CAN,2023,3.2,PCPIEPCH
CAN,2024,1.9,PCPIEPCH
CAN,2025,2.0,PCPIEPCH
CAN,2026,2.1,PCPIEPCH
CAN,2027,2.1,PCPIEPCH
CAN,2028,2.0,PCPIEPCH
CAN,2029,1.8,PCPIEPCH
CAN,2030,2.0,PCPIEPCH
CHN,2007,6.5,PCPIEPCH
CHN,2008,1.1,PCPIEPCH
CHN,2009,1.8,PCPIEPCH
CHN,2010,4.5,PCPIEPCH
CHN,2011,4.1,PCPIEPCH
CHN,2012,2.5,PCPIEPCH
CHN,2013,2.5,PCPIEPCH
CHN,2014,1.5,PCPIEPCH
CHN,2015,1.7,PCPIEPCH
CHN,2016,1.9,PCPIEPCH
CHN,2017,1.8,PCPIEPCH
CHN,2018,1.9,PCPIEPCH
CHN,2019,4.4,PCPIEPCH
CHN,2020,0.2,PCPIEPCH
CHN,2021,1.5,PCPIEPCH
CHN,2022,1.8,PCPIEPCH
CHN,2023,-0.2,PCPIEPCH
CHN,2024,0.0,PCPIEPCH
CHN,2025,0.5,PCPIEPCH
CHN,2026,0.8,PCPIEPCH
CHN,2027,1.7,PCPIEPCH
CHN,2028,1.8,PCPIEPCH
CHN,2029,1.9,PCPIEPCH
CHN,2030,2.0,PCPIEPCH
DEU,2007,3.1,PCPIEPCH
DEU,2008,1.0,PCPIEPCH
DEU,2009,0.9,PCPIEPCH
DEU,2010,1.8,PCPIEPCH
DEU,2011,2.3,PCPIEPCH
DEU,2012,2.1,PCPIEPCH
DEU,2013,1.3,PCPIEPCH
DEU,2014,0.2,PCPIEPCH
DEU,2015,0.2,PCPIEPCH
DEU,2016,1.7,PCPIEPCH
DEU,2017,1.6,PCPIEPCH
DEU,2018,1.8,PCPIEPCH
DEU,2019,1.4,PCPIEPCH
DEU,2020,-0.6,PCPIEPCH
DEU,2021,5.5,PCPIEPCH
DEU,2022,10.8,PCPIEPCH
DEU,2023,3.0,PCPIEPCH
DEU,2024,2.5,PCPIEPCH
DEU,2025,1.7,PCPIEPCH
DEU,2026,1.9,PCPIEPCH
DEU,2027,2.0,PCPIEPCH
DEU,2028,2.1,PCPIEPCH
DEU,2029,2.2,PCPIEPCH
DEU,2030,2.2,PCPIEPCH
FRA,2007,2.5,PCPIEPCH
FRA,2008,2.0,PCPIEPCH
FRA,2009,0.4,PCPIEPCH
FRA,2010,1.9,PCPIEPCH
FRA,2011,2.6,PCPIEPCH
FRA,2012,1.7,PCPIEPCH
FRA,2013,0.8,PCPIEPCH
FRA,2014,0.3,PCPIEPCH
FRA,2015,0.2,PCPIEPCH
FRA,2016,0.7,PCPIEPCH
FRA,2017,1.2,PCPIEPCH
FRA,2018,2.2,PCPIEPCH
FRA,2019,1.3,PCPIEPCH
FRA,2020,0.1,PCPIEPCH
FRA,2021,3.4,PCPIEPCH
FRA,2022,7.0,PCPIEPCH
FRA,2023,4.2,PCPIEPCH
FRA,2024,1.7,PCPIEPCH
FRA,2025,1.5,PCPIEPCH
FRA,2026,1.1,PCPIEPCH
FRA,2027,2.5,PCPIEPCH
FRA,2028,1.4,PCPIEPCH
FRA,2029,2.7,PCPIEPCH
FRA,2030,0.8,PCPIEPCH
GBR,2007,2.1,PCPIEPCH
GBR,2008,3.1,PCPIEPCH
GBR,2009,2.9,PCPIEPCH
GBR,2010,3.7,PCPIEPCH
GBR,2011,4.2,PCPIEPCH
GBR,2012,2.7,PCPIEPCH
GBR,2013,2.0,PCPIEPCH
GBR,2014,0.5,PCPIEPCH
GBR,2015,0.2,PCPIEPCH
GBR,2016,1.6,PCPIEPCH
GBR,2017,3.0,PCPIEPCH
GBR,2018,2.1,PCPIEPCH
GBR,2019,1.3,PCPIEPCH
GBR,2020,0.6,PCPIEPCH
GBR,2021,5.4,PCPIEPCH
GBR,2022,10.5,PCPIEPCH
GBR,2023,4.0,PCPIEPCH
GBR,2024,2.5,PCPIEPCH
GBR,2025,3.4,PCPIEPCH
GBR,2026,2.0,PCPIEPCH
GBR,2027,2.0,PCPIEPCH
GBR,2028,2.0,PCPIEPCH
GBR,2029,2.0,PCPIEPCH
GBR,2030,2.0,PCPIEPCH
IDN,2007,5.8,PCPIEPCH
IDN,2008,11.1,PCPIEPCH
IDN,2009,2.8,PCPIEPCH
IDN,2010,7.0,PCPIEPCH
IDN,2011,3.8,PCPIEPCH
IDN,2012,3.6,PCPIEPCH
IDN,2013,8.1,PCPIEPCH
IDN,2014,8.4,PCPIEPCH
IDN,2015,3.4,PCPIEPCH
IDN,2016,3.0,PCPIEPCH
IDN,2017,3.6,PCPIEPCH
IDN,2018,3.2,PCPIEPCH
IDN,2019,2.6,PCPIEPCH
IDN,2020,1.7,PCPIEPCH
IDN,2021,1.9,PCPIEPCH
IDN,2022,5.4,PCPIEPCH
IDN,2023,2.8,PCPIEPCH
IDN,2024,1.6,PCPIEPCH
IDN,2025,2.6,PCPIEPCH
IDN,2026,2.6,PCPIEPCH
IDN,2027,2.5,PCPIEPCH
IDN,2028,2.5,PCPIEPCH
IDN,2029,2.5,PCPIEPCH
IDN,2030,2.5,PCPIEPCH
IND,2007,6.4,PCPIEPCH
IND,2008,9.1,PCPIEPCH
IND,2009,12.6,PCPIEPCH
IND,2010,8.6,PCPIEPCH
IND,2011,7.8,PCPIEPCH
IND,2012,10.5,PCPIEPCH
IND,2013,7.7,PCPIEPCH
IND,2014,5.3,PCPIEPCH
IND,2015,5.3,PCPIEPCH
IND,2016,3.6,PCPIEPCH
IND,2017,4.6,PCPIEPCH
IND,2018,2.5,PCPIEPCH
IND,2019,6.7,PCPIEPCH
