country,year,value,indicator
AUS,2007,21.016,LP
AUS,2008,21.476,LP
AUS,2009,21.866,LP
AUS,2010,22.172,LP
AUS,2011,22.522,LP
AUS,2012,22.928,LP
AUS,2013,23.298,LP
AUS,2014,23.64,LP
AUS,2015,23.985,LP
AUS,2016,24.385,LP
AUS,2017,24.759,LP
AUS,2018,25.146,LP
AUS,2019,25.52,LP
AUS,2020,25.631,LP
AUS,2021,25.774,LP
AUS,2022,26.32,LP
AUS,2023,26.954,LP
AUS,2024,27.4,LP
AUS,2025,27.743,LP
AUS,2026,28.089,LP
AUS,2027,28.426,LP
AUS,2028,28.767,LP
AUS,2029,29.113,LP
AUS,2030,29.462,LP
BRA,2007,189.459,LP
BRA,2008,191.335,LP
BRA,2009,193.174,LP
BRA,2010,194.749,LP
BRA,2011,196.159,LP
BRA,2012,197.671,LP
BRA,2013,199.227,LP
BRA,2014,200.811,LP
BRA,2015,202.404,LP
BRA,2016,203.872,LP
BRA,2017,205.212,LP
BRA,2018,206.529,LP
BRA,2019,207.9,LP
BRA,2020,209.165,LP
BRA,2021,210.104,LP
BRA,2022,210.863,LP
BRA,2023,211.695,LP
BRA,2024,212.584,LP
BRA,2025,213.362,LP
BRA,2026,214.083,LP
BRA,2027,214.757,LP
BRA,2028,215.382,LP
BRA,2029,215.964,LP
BRA,2030,216.499,LP
CAN,2007,32.849,LP
CAN,2008,33.199,LP
CAN,2009,33.582,LP
CAN,2010,33.959,LP
CAN,2011,34.299,LP
CAN,2012,34.664,LP
CAN,2013,35.032,LP
CAN,2014,35.389,LP
CAN,2015,35.676,LP
CAN,2016,36.053,LP
CAN,2017,36.494,LP
CAN,2018,37.009,LP
CAN,2019,37.555,LP
CAN,2020,37.998,LP
CAN,2021,38.221,LP
CAN,2022,38.866,LP
CAN,2023,39.969,LP
CAN,2024,41.144,LP
CAN,2025,41.569,LP
CAN,2026,41.564,LP
CAN,2027,41.601,LP
CAN,2028,41.853,LP
CAN,2029,42.187,LP
CAN,2030,42.522,LP
CHN,2007,1321.29,LP
CHN,2008,1328.02,LP
CHN,2009,1334.5,LP
CHN,2010,1340.91,LP
CHN,2011,1349.16,LP
CHN,2012,1359.22,LP
CHN,2013,1367.26,LP
CHN,2014,1376.46,LP
CHN,2015,1383.26,LP
CHN,2016,1392.32,LP
CHN,2017,1400.11,LP
CHN,2018,1405.41,LP
CHN,2019,1410.08,LP
CHN,2020,1412.12,LP
CHN,2021,1412.6,LP
CHN,2022,1411.75,LP
CHN,2023,1409.67,LP
CHN,2024,1408.28,LP
CHN,2025,1405.08,LP
CHN,2026,1401.923,LP
CHN,2027,1398.713,LP
CHN,2028,1395.198,LP
CHN,2029,1391.374,LP
CHN,2030,1387.277,LP
DEU,2007,80.993,LP
DEU,2008,80.765,LP
DEU,2009,80.484,LP
DEU,2010,80.285,LP
DEU,2011,80.276,LP
DEU,2012,80.386,LP
DEU,2013,80.518,LP
DEU,2014,80.759,LP
DEU,2015,81.347,LP
DEU,2016,81.867,LP
DEU,2017,82.038,LP
DEU,2018,82.157,LP
DEU,2019,82.203,LP
DEU,2020,82.126,LP
DEU,2021,81.995,LP
DEU,2022,82.529,LP
DEU,2023,83.287,LP
DEU,2024,83.517,LP
DEU,2025,83.664,LP
DEU,2026,83.777,LP
DEU,2027,83.845,LP
DEU,2028,83.874,LP
DEU,2029,83.891,LP
DEU,2030,83.893,LP
FRA,2007,63.601,LP
FRA,2008,63.962,LP
FRA,2009,64.305,LP
FRA,2010,64.613,LP
FRA,2011,64.933,LP
FRA,2012,65.241,LP
FRA,2013,65.565,LP
FRA,2014,66.131,LP
FRA,2015,66.422,LP
FRA,2016,66.603,LP
FRA,2017,66.774,LP
FRA,2018,66.992,LP
FRA,2019,67.258,LP
FRA,2020,67.442,LP
FRA,2021,67.697,LP
FRA,2022,68.06,LP
FRA,2023,68.246,LP
FRA,2024,68.437,LP
FRA,2025,68.628,LP
FRA,2026,68.821,LP
FRA,2027,69.014,LP
FRA,2028,69.207,LP
FRA,2029,69.401,LP
FRA,2030,69.596,LP
GBR,2007,61.319,LP
GBR,2008,61.824,LP
GBR,2009,62.261,LP
GBR,2010,62.76,LP
GBR,2011,63.285,LP
GBR,2012,63.705,LP
GBR,2013,64.106,LP
GBR,2014,64.597,LP
GBR,2015,65.11,LP
GBR,2016,65.648,LP
GBR,2017,66.04,LP
GBR,2018,66.436,LP
GBR,2019,66.797,LP
GBR,2020,67.081,LP
GBR,2021,67.026,LP
GBR,2022,67.596,LP
GBR,2023,68.265,LP
GBR,2024,69.226,LP
GBR,2025,69.868,LP
GBR,2026,70.414,LP
GBR,2027,70.862,LP
GBR,2028,71.208,LP
GBR,2029,71.548,LP
GBR,2030,71.88,LP
IDN,2007,227.758,LP
IDN,2008,231.006,LP
IDN,2009,234.3,LP
IDN,2010,237.641,LP
IDN,2011,241.991,LP
IDN,2012,245.425,LP
IDN,2013,248.818,LP
IDN,2014,252.165,LP
IDN,2015,255.182,LP
IDN,2016,258.497,LP
IDN,2017,261.356,LP
IDN,2018,264.162,LP
IDN,2019,266.912,LP
IDN,2020,270.204,LP
IDN,2021,272.679,LP
IDN,2022,275.72,LP
IDN,2023,278.696,LP
IDN,2024,281.604,LP
IDN,2025,284.439,LP
IDN,2026,287.198,LP
IDN,2027,289.88,LP
IDN,2028,292.481,LP
IDN,2029,294.998,LP
IDN,2030,297.431,LP
IND,2007,1190.676,LP
IND,2008,1207.931,LP
IND,2009,1225.525,LP
IND,2010,1243.482,LP
IND,2011,1261.225,LP
IND,2012,1278.675,LP
IND,2013,1295.83,LP
IND,2014,1312.277,LP
IND,2015,1328.024,LP
IND,2016,1343.944,LP
IND,2017,1359.657,LP
IND,2018,1374.659,LP
IND,2019,1389.03,LP
IND,2020,1402.618,LP
IND,2021,1414.204,LP
IND,2022,1425.423,LP
IND,2023,1438.07,LP
IND,2024,1450.936,LP
IND,2025,1463.866,LP
IND,2026,1476.626,LP
IND,2027,1489.165,LP
IND,2028,1501.433,LP
IND,2029,1513.424,LP
IND,2030,1525.139,LP
ITA,2007,58.511,LP
ITA,2008,59.002,LP
ITA,2009,59.421,LP
ITA,2010,59.69,LP
ITA,2011,59.948,LP
ITA,2012,60.105,LP
ITA,2013,60.277,LP
ITA,2014,60.346,LP
ITA,2015,60.295,LP
ITA,2016,60.164,LP
ITA,2017,60.067,LP
ITA,2018,59.938,LP
ITA,2019,59.817,LP
ITA,2020,59.641,LP
ITA,2021,59.236,LP
ITA,2022,59.03,LP
ITA,2023,58.997,LP
ITA,2024,58.971,LP
ITA,2025,58.934,LP
