country,year,value,indicator
AUS,2007,4.4,LUR
AUS,2008,4.3,LUR
AUS,2009,5.6,LUR
AUS,2010,5.2,LUR
AUS,2011,5.1,LUR
AUS,2012,5.2,LUR
AUS,2013,5.7,LUR
AUS,2014,6.1,LUR
AUS,2015,6.1,LUR
AUS,2016,5.7,LUR
AUS,2017,5.6,LUR
AUS,2018,5.3,LUR
AUS,2019,5.2,LUR
AUS,2020,6.5,LUR
AUS,2021,5.1,LUR
AUS,2022,3.7,LUR
AUS,2023,3.7,LUR
AUS,2024,4.0,LUR
AUS,2025,4.2,LUR
AUS,2026,4.3,LUR
AUS,2027,4.3,LUR
AUS,2028,4.3,LUR
AUS,2029,4.3,LUR
AUS,2030,4.3,LUR
BRA,2007,9.3,LUR
BRA,2008,8.3,LUR
BRA,2009,9.4,LUR
BRA,2010,8.0,LUR
BRA,2011,7.6,LUR
BRA,2012,6.9,LUR
BRA,2013,7.2,LUR
BRA,2014,6.9,LUR
BRA,2015,8.6,LUR
BRA,2016,11.6,LUR
BRA,2017,12.9,LUR
BRA,2018,12.4,LUR
BRA,2019,12.0,LUR
BRA,2020,13.8,LUR
BRA,2021,13.2,LUR
BRA,2022,9.3,LUR
BRA,2023,8.0,LUR
BRA,2024,6.9,LUR
BRA,2025,7.1,LUR
BRA,2026,7.3,LUR
BRA,2027,7.4,LUR
BRA,2028,7.4,LUR
BRA,2029,7.4,LUR
BRA,2030,7.4,LUR
CAN,2007,6.2,LUR
CAN,2008,6.3,LUR
CAN,2009,8.5,LUR
CAN,2010,8.2,LUR
CAN,2011,7.6,LUR
CAN,2012,7.4,LUR
CAN,2013,7.2,LUR
CAN,2014,7.1,LUR
CAN,2015,7.0,LUR
CAN,2016,7.1,LUR
CAN,2017,6.4,LUR
CAN,2018,5.8,LUR
CAN,2019,5.7,LUR
CAN,2020,9.7,LUR
CAN,2021,7.5,LUR
CAN,2022,5.3,LUR
CAN,2023,5.4,LUR
CAN,2024,6.4,LUR
CAN,2025,6.9,LUR
CAN,2026,6.6,LUR
CAN,2027,6.3,LUR
CAN,2028,6.2,LUR
CAN,2029,6.1,LUR
CAN,2030,6.0,LUR
CHN,2017,5.0,LUR
CHN,2018,4.9,LUR
CHN,2019,5.2,LUR
CHN,2020,5.6,LUR
CHN,2021,5.1,LUR
CHN,2022,5.6,LUR
CHN,2023,5.2,LUR
CHN,2024,5.1,LUR
CHN,2025,5.1,LUR
CHN,2026,5.1,LUR
CHN,2027,5.1,LUR
CHN,2028,5.1,LUR
CHN,2029,5.1,LUR
CHN,2030,5.1,LUR
DEU,2007,8.5,LUR
DEU,2008,7.4,LUR
DEU,2009,7.3,LUR
DEU,2010,6.6,LUR
DEU,2011,5.5,LUR
DEU,2012,5.1,LUR
DEU,2013,4.9,LUR
DEU,2014,4.7,LUR
DEU,2015,4.4,LUR
DEU,2016,3.9,LUR
DEU,2017,3.5,LUR
DEU,2018,3.2,LUR
DEU,2019,3.0,LUR
DEU,2020,3.6,LUR
DEU,2021,3.6,LUR
DEU,2022,3.1,LUR
DEU,2023,3.1,LUR
DEU,2024,3.4,LUR
DEU,2025,3.7,LUR
DEU,2026,3.4,LUR
DEU,2027,3.0,LUR
DEU,2028,2.9,LUR
DEU,2029,2.9,LUR
DEU,2030,2.9,LUR
FRA,2007,8.0,LUR
FRA,2008,7.4,LUR
FRA,2009,9.1,LUR
FRA,2010,9.3,LUR
FRA,2011,9.2,LUR
FRA,2012,9.8,LUR
FRA,2013,10.3,LUR
FRA,2014,10.3,LUR
FRA,2015,10.3,LUR
FRA,2016,10.1,LUR
FRA,2017,9.4,LUR
FRA,2018,9.0,LUR
FRA,2019,8.4,LUR
FRA,2020,8.0,LUR
FRA,2021,7.9,LUR
FRA,2022,7.3,LUR
FRA,2023,7.3,LUR
FRA,2024,7.4,LUR
FRA,2025,7.6,LUR
FRA,2026,7.5,LUR
FRA,2027,7.3,LUR
FRA,2028,7.1,LUR
FRA,2029,7.0,LUR
FRA,2030,7.0,LUR
GBR,2007,5.4,LUR
GBR,2008,5.7,LUR
GBR,2009,7.6,LUR
GBR,2010,7.9,LUR
GBR,2011,8.1,LUR
GBR,2012,8.0,LUR
GBR,2013,7.6,LUR
GBR,2014,6.2,LUR
GBR,2015,5.4,LUR
GBR,2016,4.9,LUR
GBR,2017,4.4,LUR
GBR,2018,4.1,LUR
GBR,2019,3.8,LUR
GBR,2020,4.6,LUR
GBR,2021,4.6,LUR
GBR,2022,3.8,LUR
GBR,2023,4.1,LUR
