소스,국가코드,국가명,기간,지표명,값,단위,주기
BIS,AU,호주,2007-01,CPI_전년비,2.485207,%,월별
BIS,AU,호주,2007-02,CPI_전년비,2.485207,%,월별
BIS,AU,호주,2007-03,CPI_전년비,2.485207,%,월별
BIS,AU,호주,2007-04,CPI_전년비,2.09546,%,월별
BIS,AU,호주,2007-05,CPI_전년비,2.09546,%,월별
BIS,AU,호주,2007-06,CPI_전년비,2.09546,%,월별
BIS,AU,호주,2007-07,CPI_전년비,1.845444,%,월별
BIS,AU,호주,2007-08,CPI_전년비,1.845444,%,월별
BIS,AU,호주,2007-09,CPI_전년비,1.845444,%,월별
BIS,AU,호주,2007-10,CPI_전년비,2.886836,%,월별
BIS,AU,호주,2007-11,CPI_전년비,2.886836,%,월별
BIS,AU,호주,2007-12,CPI_전년비,2.886836,%,월별
BIS,AU,호주,2008-01,CPI_전년비,4.272517,%,월별
BIS,AU,호주,2008-02,CPI_전년비,4.272517,%,월별
BIS,AU,호주,2008-03,CPI_전년비,4.272517,%,월별
BIS,AU,호주,2008-04,CPI_전년비,4.446978,%,월별
BIS,AU,호주,2008-05,CPI_전년비,4.446978,%,월별
BIS,AU,호주,2008-06,CPI_전년비,4.446978,%,월별
BIS,AU,호주,2008-07,CPI_전년비,4.983012,%,월별
BIS,AU,호주,2008-08,CPI_전년비,4.983012,%,월별
BIS,AU,호주,2008-09,CPI_전년비,4.983012,%,월별
BIS,AU,호주,2008-10,CPI_전년비,3.703704,%,월별
BIS,AU,호주,2008-11,CPI_전년비,3.703704,%,월별
BIS,AU,호주,2008-12,CPI_전년비,3.703704,%,월별
BIS,AU,호주,2009-01,CPI_전년비,2.436323,%,월별
BIS,AU,호주,2009-02,CPI_전년비,2.436323,%,월별
BIS,AU,호주,2009-03,CPI_전년비,2.436323,%,월별
BIS,AU,호주,2009-04,CPI_전년비,1.419214,%,월별
BIS,AU,호주,2009-05,CPI_전년비,1.419214,%,월별
BIS,AU,호주,2009-06,CPI_전년비,1.419214,%,월별
BIS,AU,호주,2009-07,CPI_전년비,1.186624,%,월별
BIS,AU,호주,2009-08,CPI_전년비,1.186624,%,월별
BIS,AU,호주,2009-09,CPI_전년비,1.186624,%,월별
BIS,AU,호주,2009-10,CPI_전년비,2.056277,%,월별
BIS,AU,호주,2009-11,CPI_전년비,2.056277,%,월별
BIS,AU,호주,2009-12,CPI_전년비,2.056277,%,월별
BIS,AU,호주,2010-01,CPI_전년비,2.918919,%,월별
BIS,AU,호주,2010-02,CPI_전년비,2.918919,%,월별
BIS,AU,호주,2010-03,CPI_전년비,2.918919,%,월별
BIS,AU,호주,2010-04,CPI_전년비,3.121636,%,월별
BIS,AU,호주,2010-05,CPI_전년비,3.121636,%,월별
BIS,AU,호주,2010-06,CPI_전년비,3.121636,%,월별
BIS,AU,호주,2010-07,CPI_전년비,2.878465,%,월별
BIS,AU,호주,2010-08,CPI_전년비,2.878465,%,월별
BIS,AU,호주,2010-09,CPI_전년비,2.878465,%,월별
BIS,AU,호주,2010-10,CPI_전년비,2.757158,%,월별
BIS,AU,호주,2010-11,CPI_전년비,2.757158,%,월별
BIS,AU,호주,2010-12,CPI_전년비,2.757158,%,월별
BIS,AU,호주,2011-01,CPI_전년비,3.256303,%,월별
BIS,AU,호주,2011-02,CPI_전년비,3.256303,%,월별
BIS,AU,호주,2011-03,CPI_전년비,3.256303,%,월별
BIS,AU,호주,2011-04,CPI_전년비,3.549061,%,월별
BIS,AU,호주,2011-05,CPI_전년비,3.549061,%,월별
BIS,AU,호주,2011-06,CPI_전년비,3.549061,%,월별
BIS,AU,호주,2011-07,CPI_전년비,3.419689,%,월별
BIS,AU,호주,2011-08,CPI_전년비,3.419689,%,월별
BIS,AU,호주,2011-09,CPI_전년비,3.419689,%,월별
BIS,AU,호주,2011-10,CPI_전년비,2.992776,%,월별
BIS,AU,호주,2011-11,CPI_전년비,2.992776,%,월별
BIS,AU,호주,2011-12,CPI_전년비,2.992776,%,월별
BIS,AU,호주,2012-01,CPI_전년비,1.62767,%,월별
BIS,AU,호주,2012-02,CPI_전년비,1.62767,%,월별
BIS,AU,호주,2012-03,CPI_전년비,1.62767,%,월별
BIS,AU,호주,2012-04,CPI_전년비,1.209677,%,월별
BIS,AU,호주,2012-05,CPI_전년비,1.209677,%,월별
BIS,AU,호주,2012-06,CPI_전년비,1.209677,%,월별
BIS,AU,호주,2012-07,CPI_전년비,2.004008,%,월별
BIS,AU,호주,2012-08,CPI_전년비,2.004008,%,월별
BIS,AU,호주,2012-09,CPI_전년비,2.004008,%,월별
BIS,AU,호주,2012-10,CPI_전년비,2.204409,%,월별
BIS,AU,호주,2012-11,CPI_전년비,2.204409,%,월별
BIS,AU,호주,2012-12,CPI_전년비,2.204409,%,월별
BIS,AU,호주,2013-01,CPI_전년비,2.502503,%,월별
BIS,AU,호주,2013-02,CPI_전년비,2.502503,%,월별
BIS,AU,호주,2013-03,CPI_전년비,2.502503,%,월별
BIS,AU,호주,2013-04,CPI_전년비,2.390438,%,월별
BIS,AU,호주,2013-05,CPI_전년비,2.390438,%,월별
BIS,AU,호주,2013-06,CPI_전년비,2.390438,%,월별
BIS,AU,호주,2013-07,CPI_전년비,2.1611,%,월별
BIS,AU,호주,2013-08,CPI_전년비,2.1611,%,월별
BIS,AU,호주,2013-09,CPI_전년비,2.1611,%,월별
BIS,AU,호주,2013-10,CPI_전년비,2.745098,%,월별
BIS,AU,호주,2013-11,CPI_전년비,2.745098,%,월별
BIS,AU,호주,2013-12,CPI_전년비,2.745098,%,월별
BIS,AU,호주,2014-01,CPI_전년비,2.929688,%,월별
BIS,AU,호주,2014-02,CPI_전년비,2.929688,%,월별
BIS,AU,호주,2014-03,CPI_전년비,2.929688,%,월별
BIS,AU,호주,2014-04,CPI_전년비,3.015564,%,월별
BIS,AU,호주,2014-05,CPI_전년비,3.015564,%,월별
BIS,AU,호주,2014-06,CPI_전년비,3.015564,%,월별
BIS,AU,호주,2014-07,CPI_전년비,2.307692,%,월별
BIS,AU,호주,2014-08,CPI_전년비,2.307692,%,월별
BIS,AU,호주,2014-09,CPI_전년비,2.307692,%,월별
BIS,AU,호주,2014-10,CPI_전년비,1.717557,%,월별
BIS,AU,호주,2014-11,CPI_전년비,1.717557,%,월별
BIS,AU,호주,2014-12,CPI_전년비,1.717557,%,월별
BIS,AU,호주,2015-01,CPI_전년비,1.328273,%,월별
BIS,AU,호주,2015-02,CPI_전년비,1.328273,%,월별
BIS,AU,호주,2015-03,CPI_전년비,1.328273,%,월별
BIS,AU,호주,2015-04,CPI_전년비,1.510859,%,월별
