STRUCTURE,STRUCTURE_ID,ACTION,REF_AREA,FREQ,MEASURE,UNIT_MEASURE,ACTIVITY,ADJUSTMENT,TRANSFORMATION,TIME_HORIZ,METHODOLOGY,TIME_PERIOD,OBS_VALUE
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),I,FRA,M,LI,IX,_Z,AA,IX,_Z,H,2021-12,101.5934
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),I,FRA,M,LI,IX,_Z,AA,IX,_Z,H,2022-01,101.4173
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),I,FRA,M,LI,IX,_Z,AA,IX,_Z,H,2022-02,101.1564
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),I,FRA,M,LI,IX,_Z,AA,IX,_Z,H,2022-03,100.8344
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),I,FRA,M,LI,IX,_Z,AA,IX,_Z,H,2022-04,100.5134
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),I,FRA,M,LI,IX,_Z,AA,IX,_Z,H,2022-05,100.2219
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),I,FRA,M,LI,IX,_Z,AA,IX,_Z,H,2022-06,99.97215
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),I,FRA,M,LI,IX,_Z,AA,IX,_Z,H,2022-07,99.7655
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),I,FRA,M,LI,IX,_Z,AA,IX,_Z,H,2022-08,99.59113
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),I,FRA,M,LI,IX,_Z,AA,IX,_Z,H,2022-09,99.43799
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),I,FRA,M,LI,IX,_Z,AA,IX,_Z,H,2022-10,99.31934
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),I,FRA,M,LI,IX,_Z,AA,IX,_Z,H,2022-11,99.2208
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),I,FRA,M,LI,IX,_Z,AA,IX,_Z,H,2022-12,99.12668
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),I,FRA,M,LI,IX,_Z,AA,IX,_Z,H,2023-01,99.05146
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),I,FRA,M,LI,IX,_Z,AA,IX,_Z,H,2023-02,99.00011
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),I,FRA,M,LI,IX,_Z,AA,IX,_Z,H,2023-03,98.97311
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),I,FRA,M,LI,IX,_Z,AA,IX,_Z,H,2023-04,98.96549
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),I,FRA,M,LI,IX,_Z,AA,IX,_Z,H,2023-05,98.97672
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),I,FRA,M,LI,IX,_Z,AA,IX,_Z,H,2023-06,99.00308
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),I,FRA,M,LI,IX,_Z,AA,IX,_Z,H,2023-07,99.04393
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),I,FRA,M,LI,IX,_Z,AA,IX,_Z,H,2023-08,99.08241
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),I,FRA,M,LI,IX,_Z,AA,IX,_Z,H,2023-09,99.10928
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),I,FRA,M,LI,IX,_Z,AA,IX,_Z,H,2023-10,99.13086
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),I,FRA,M,LI,IX,_Z,AA,IX,_Z,H,2023-11,99.15572
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),I,FRA,M,LI,IX,_Z,AA,IX,_Z,H,2023-12,99.17828
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),I,FRA,M,LI,IX,_Z,AA,IX,_Z,H,2024-01,99.18137
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),I,FRA,M,LI,IX,_Z,AA,IX,_Z,H,2024-02,99.16595
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),I,FRA,M,LI,IX,_Z,AA,IX,_Z,H,2024-03,99.13048
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),I,FRA,M,LI,IX,_Z,AA,IX,_Z,H,2024-04,99.06272
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),I,FRA,M,LI,IX,_Z,AA,IX,_Z,H,2024-05,98.98424
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),I,FRA,M,LI,IX,_Z,AA,IX,_Z,H,2024-06,98.91447
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),I,FRA,M,LI,IX,_Z,AA,IX,_Z,H,2024-07,98.87559
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),I,FRA,M,LI,IX,_Z,AA,IX,_Z,H,2024-08,98.88221
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),I,FRA,M,LI,IX,_Z,AA,IX,_Z,H,2024-09,98.91708
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),I,FRA,M,LI,IX,_Z,AA,IX,_Z,H,2024-10,98.96957
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),I,FRA,M,LI,IX,_Z,AA,IX,_Z,H,2024-11,99.0606
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),I,FRA,M,LI,IX,_Z,AA,IX,_Z,H,2024-12,99.17974
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),I,FRA,M,LI,IX,_Z,AA,IX,_Z,H,2025-01,99.30249
