STRUCTURE,STRUCTURE_ID,ACTION,REF_AREA,FREQ,MEASURE,UNIT_MEASURE,ACTIVITY,ADJUSTMENT,TRANSFORMATION,TIME_PERIOD,OBS_VALUE
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,FRA,M,CP,GR,_Z,_Z,GY,2013-12,0.706357214934417
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,FRA,M,CP,GR,_Z,_Z,GY,2014-01,0.649087221095335
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,FRA,M,CP,GR,_Z,_Z,GY,2014-02,0.920307443365709
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,IX,_Z,_Z,_Z,2023-08,123.878361824499
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,G1,2011-04,0.0
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,G1,2010-06,0.0
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,FRA,M,CP,GR,_Z,_Z,GY,2011-07,1.94420963651734
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,FRA,M,CP,GR,_Z,_Z,GY,2011-08,2.2348724436011
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,FRA,M,CP,GR,_Z,_Z,GY,2011-09,2.23652283996201
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2009-10,0.0
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2009-08,0.0
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2009-05,0.0
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,G1,2024-09,0.0
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,G1,2023-10,0.0
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,G1,2022-06,0.0
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,G1,2020-09,0.0
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,G1,2020-08,0.0
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,G1,2020-05,0.0
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,G1,2019-09,0.0
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,G1,2018-12,0.0
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,G1,2017-05,0.0
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,FRA,M,CP,GR,_Z,_Z,GY,2013-02,1.04230533415082
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,FRA,M,CP,GR,_Z,_Z,GY,2013-03,0.972940103374875
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,FRA,M,CP,GR,_Z,_Z,GY,2013-04,0.68825910931174
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,G1,2013-08,0.0
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,G1,2012-10,0.0
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,G1,2012-05,0.0
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,G1,2011-10,0.0
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,G1,2011-05,0.0
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2022-12,8.11843361986628
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2015-12,0.174786749699041
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2015-11,0.174786749699041
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2015-10,0.878120257470205
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2015-09,0.595284406281182
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2015-08,0.795673419042719
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2015-07,0.795673419042719
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2015-06,0.878120257470205
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2015-03,0.174786749699041
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2015-01,-0.283286118980253
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2014-12,0.187793427230165
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2014-11,0.565504241281878
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2014-09,0.84825636192265
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2014-08,0.84825636192265
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2014-07,0.84825636192265
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2014-06,1.04166666666672
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2014-05,0.85308056872031
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2014-03,1.04166666666672
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2014-01,1.33971291866042
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2013-10,1.24282982791595
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2013-05,1.53994225216558
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2013-01,1.65369649805436
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,G1,2009-10,0.0
