STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,SECTOR,COUNTERPART_SECTOR,TRANSACTION,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,TIME_PERIOD,OBS_VALUE
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,KOR,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2016,3.171527
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,DEU,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2015,1.663006
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,JPN,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2014,0.296206
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,CHN,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2018,6.749771
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,FRA,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2015,1.066755
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,CHN,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2016,6.848768
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,AUS,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2015,2.755641
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,AUS,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2014,2.164348
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,AUS,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2013,2.60119
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,AUS,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2012,2.654453
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,AUS,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2011,3.952471
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,AUS,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2010,2.394735
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,FRA,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2007,2.530482
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,AUS,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2019,-0.133532
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,AUS,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2018,2.194017
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,AUS,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2017,2.87417
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,CAN,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2015,0.649971
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,CAN,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2014,2.873467
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,CAN,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2013,2.325814
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,CAN,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2012,1.755661
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,CAN,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2011,3.137194
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,CAN,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2010,3.090806
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,CAN,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2009,-2.915086
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,CAN,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2008,0.995406
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,CAN,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2007,2.049905
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,CAN,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2024,2.046266
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,CAN,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2023,1.953085
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,CAN,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2022,4.69542
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,CAN,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2021,5.950528
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,CAN,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2020,-5.038233
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,CAN,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2019,1.908432
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,JPN,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2013,2.0051
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,JPN,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2016,0.753827
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,JPN,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2009,-5.693236
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,JPN,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2008,-1.224289
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,FRA,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2021,6.882338
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,FRA,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2020,-7.440646
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,FRA,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2019,2.027446
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,FRA,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2018,1.645909
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,FRA,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2017,2.083615
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,DEU,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2014,2.180186
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,DEU,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2013,0.396996
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,DEU,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2012,0.463512
