STRUCTURE,STRUCTURE_ID,ACTION,FREQ,ADJUSTMENT,REF_AREA,SECTOR,COUNTERPART_SECTOR,TRANSACTION,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,TIME_PERIOD,OBS_VALUE
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,USA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2007-Q1,14215651.0
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,USA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2007-Q2,14402082.0
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,USA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2007-Q3,14564117.0
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,USA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2007-Q4,14715058.0
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,USA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2008-Q1,14706538.0
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,USA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2008-Q2,14865701.0
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,USA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2008-Q3,14898999.0
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,USA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2008-Q4,14608209.0
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,USA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2009-Q1,14430902.0
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,USA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2009-Q2,14381236.0
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,USA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2009-Q3,14448882.0
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,USA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2009-Q4,14651249.0
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,USA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2010-Q1,14764610.0
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,USA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2010-Q2,14980193.0
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,USA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2010-Q3,15141607.0
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,USA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2010-Q4,15309474.0
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,USA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2011-Q1,15351448.0
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,USA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2011-Q2,15557539.0
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,USA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2011-Q3,15647680.0
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,USA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2011-Q4,15842259.0
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,USA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2012-Q1,16068805.0
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,USA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2012-Q2,16207115.0
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,USA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2012-Q3,16319541.0
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,USA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2012-Q4,16420419.0
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,USA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2013-Q1,16648189.0
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2007-Q1,2144966.9
