STRUCTURE,STRUCTURE_ID,ACTION,FREQ,ADJUSTMENT,REF_AREA,SECTOR,COUNTERPART_SECTOR,TRANSACTION,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,TIME_PERIOD,OBS_VALUE
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),I,Q,Y,KOR,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GY,T0102,2024-Q4,1.110998827
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),I,Q,Y,KOR,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GY,T0102,2024-Q3,1.528170019
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),I,Q,Y,GBR,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GY,T0102,2025-Q3,1.195948069
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),I,Q,Y,GBR,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GY,T0102,2025-Q2,1.368944886
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),I,Q,Y,GBR,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GY,T0102,2025-Q1,1.761434495
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),I,Q,Y,USA,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GY,T0102,2025-Q4,2.227066604
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),I,Q,Y,JPN,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GY,T0102,2019-Q2,0.098930169
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),I,Q,Y,JPN,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GY,T0102,2019-Q1,0.335973574
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),I,Q,Y,JPN,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GY,T0102,2018-Q4,0.054116945
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),I,Q,Y,JPN,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GY,T0102,2018-Q3,0.139088107
