STRUCTURE,STRUCTURE_ID,ACTION,REF_AREA,FREQ,MEASURE,UNIT_MEASURE,ACTIVITY,ADJUSTMENT,TRANSFORMATION,TIME_PERIOD,OBS_VALUE
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,KOR,M,PRVM,IX,F,Y,_Z,2018-01,137.360583941606
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,KOR,M,PRVM,IX,F,Y,_Z,2018-02,128.147524166502
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,G1,2012-10,0.946503998222026
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,G1,2012-11,0.322998278232078
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,G1,2012-12,0.3871482737976
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,KOR,M,PRVM,GR,F,Y,G1,2022-12,-2.01369895687583
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,KOR,M,PRVM,GR,F,Y,GY,2023-11,2.49441467370575
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,KOR,M,PRVM,IX,F,Y,_Z,2024-04,121.765318603275
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,G1,2013-07,2.0871553534868
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,G1,2013-08,0.32099697885184
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,G1,2013-09,-0.296604944280787
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,G1,2013-10,0.305298789220565
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,G1,2013-11,0.122007411301261
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,G1,2013-12,-1.03774379849266
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,G1,2014-01,0.799077785638147
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,G1,2014-02,0.656937152361969
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,G1,2014-03,-0.369253810350945
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,G1,2014-04,-0.323322642303825
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,G1,2014-05,1.3553394524046
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,KOR,M,PRVM,IX,F,Y,_Z,2011-04,88.9388439534425
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,KOR,M,PRVM,IX,F,Y,_Z,2011-05,90.5802327875321
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,KOR,M,PRVM,IX,F,Y,_Z,2011-06,98.6869204971395
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,G1,2015-03,-1.17727732988222
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,G1,2015-04,-0.429309796952504
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,G1,2015-05,0.573795582880865
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,G1,2015-06,-0.646289340758444
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,G1,2015-07,-0.256808019711074
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,G1,2015-08,0.181012625141008
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,G1,2015-09,-0.983660024135169
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,G1,2015-10,-0.340586441101987
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,G1,2015-11,-0.144764674775222
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,G1,2015-12,-0.649406531136454
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2018-05,6.14586068305278
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2018-06,3.51758129947
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2018-07,2.26981992324566
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2018-08,1.9754306227981
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2018-09,0.595673051829371
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2018-10,-0.763531364860681
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2018-11,-1.71593218594804
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2018-12,-1.39905697496644
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2019-01,-1.41466363157011
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2019-02,-2.49151417706714
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2019-03,-2.28030862468482
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2019-04,-2.33648426864802
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2019-05,-1.47969150366631
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2019-06,0.42954339473289
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2019-07,2.08730235094112
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2019-08,1.92876613226121
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,KOR,M,PRVM,IX,F,Y,_Z,2007-08,109.702939435786
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,KOR,M,PRVM,IX,BTE,Y,_Z,2007-02,74.3682502526999
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,KOR,M,PRVM,IX,BTE,Y,_Z,2007-04,75.25775389689841
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,G1,2013-06,-2.41934437713196
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2021-01,-0.0348783617126092
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2021-02,1.07965152457941
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2021-03,7.88162621059709
