STRUCTURE,STRUCTURE_ID,ACTION,REF_AREA,FREQ,MEASURE,UNIT_MEASURE,ACTIVITY,ADJUSTMENT,TRANSFORMATION,TIME_PERIOD,OBS_VALUE
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,JPN,M,IRLT,PA,_Z,_Z,_Z,2014-04,0.61
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,JPN,M,IRLT,PA,_Z,_Z,_Z,2014-03,0.605
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IRSTCI,PA,_Z,_Z,_Z,2009-01,4.25
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IR3TIB,PA,_Z,_Z,_Z,2012-11,3.24
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IR3TIB,PA,_Z,_Z,_Z,2012-12,3.11
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,JPN,M,IRLT,PA,_Z,_Z,_Z,2017-05,0.04
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,JPN,M,IRLT,PA,_Z,_Z,_Z,2017-04,0.015
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,JPN,M,IRLT,PA,_Z,_Z,_Z,2017-03,0.065
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IRSTCI,PA,_Z,_Z,_Z,2024-01,4.35
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IRSTCI,PA,_Z,_Z,_Z,2024-02,4.35
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IRSTCI,PA,_Z,_Z,_Z,2024-03,4.35
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IRSTCI,PA,_Z,_Z,_Z,2024-04,4.35
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IRSTCI,PA,_Z,_Z,_Z,2008-01,6.75
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IRSTCI,PA,_Z,_Z,_Z,2008-02,6.96
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IRSTCI,PA,_Z,_Z,_Z,2008-03,7.22
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IRSTCI,PA,_Z,_Z,_Z,2008-04,7.25
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IRSTCI,PA,_Z,_Z,_Z,2008-05,7.25
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IRSTCI,PA,_Z,_Z,_Z,2008-06,7.25
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IRSTCI,PA,_Z,_Z,_Z,2008-07,7.25
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,JPN,M,IRLT,PA,_Z,_Z,_Z,2008-03,1.245
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,JPN,M,IRLT,PA,_Z,_Z,_Z,2008-02,1.429
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,JPN,M,IRLT,PA,_Z,_Z,_Z,2008-01,1.429
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IR3TIB,PA,_Z,_Z,_Z,2025-12,3.71
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IR3TIB,PA,_Z,_Z,_Z,2009-12,4.13
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IR3TIB,PA,_Z,_Z,_Z,2010-01,4.2
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IR3TIB,PA,_Z,_Z,_Z,2010-03,4.33
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IR3TIB,PA,_Z,_Z,_Z,2010-04,4.55
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IR3TIB,PA,_Z,_Z,_Z,2010-05,4.81
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IR3TIB,PA,_Z,_Z,_Z,2010-06,4.89
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IR3TIB,PA,_Z,_Z,_Z,2010-08,4.74
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IR3TIB,PA,_Z,_Z,_Z,2010-09,4.82
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IR3TIB,PA,_Z,_Z,_Z,2010-11,5.01
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IR3TIB,PA,_Z,_Z,_Z,2010-12,5.03
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IR3TIB,PA,_Z,_Z,_Z,2011-01,4.96
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IR3TIB,PA,_Z,_Z,_Z,2011-02,4.92
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IR3TIB,PA,_Z,_Z,_Z,2011-05,5.0
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IR3TIB,PA,_Z,_Z,_Z,2011-06,4.99
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IR3TIB,PA,_Z,_Z,_Z,2011-07,4.96
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IR3TIB,PA,_Z,_Z,_Z,2011-08,4.86
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IRSTCI,PA,_Z,_Z,_Z,2009-03,3.25
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IRSTCI,PA,_Z,_Z,_Z,2009-04,3.06
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IRSTCI,PA,_Z,_Z,_Z,2009-06,3.0
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IRSTCI,PA,_Z,_Z,_Z,2009-10,3.21
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IRSTCI,PA,_Z,_Z,_Z,2009-11,3.48
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IRSTCI,PA,_Z,_Z,_Z,2009-12,3.74
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IRSTCI,PA,_Z,_Z,_Z,2010-03,3.98
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IRSTCI,PA,_Z,_Z,_Z,2010-04,4.22
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IRSTCI,PA,_Z,_Z,_Z,2010-05,4.47
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IR3TIB,PA,_Z,_Z,_Z,2026-01,3.77
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IRSTCI,PA,_Z,_Z,_Z,2007-08,6.45
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IRSTCI,PA,_Z,_Z,_Z,2007-11,6.7
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IRSTCI,PA,_Z,_Z,_Z,2007-12,6.75
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IRLT,PA,_Z,_Z,_Z,2021-08,1.135
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IRLT,PA,_Z,_Z,_Z,2021-09,1.282
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IRLT,PA,_Z,_Z,_Z,2021-10,1.71
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IRLT,PA,_Z,_Z,_Z,2021-11,1.806
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IRLT,PA,_Z,_Z,_Z,2021-12,1.609
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IRLT,PA,_Z,_Z,_Z,2022-01,1.888
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IRLT,PA,_Z,_Z,_Z,2022-03,2.5
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IRLT,PA,_Z,_Z,_Z,2022-04,3.008
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IRLT,PA,_Z,_Z,_Z,2022-05,3.381
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IRLT,PA,_Z,_Z,_Z,2022-06,3.767
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IRLT,PA,_Z,_Z,_Z,2022-07,3.429
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IRLT,PA,_Z,_Z,_Z,2022-08,3.361
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IRLT,PA,_Z,_Z,_Z,2022-09,3.747
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IRLT,PA,_Z,_Z,_Z,2022-11,3.696
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IRLT,PA,_Z,_Z,_Z,2022-12,3.551
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IRLT,PA,_Z,_Z,_Z,2023-01,3.604
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IRLT,PA,_Z,_Z,_Z,2023-02,3.702
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IRLT,PA,_Z,_Z,_Z,2023-03,3.468
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IRLT,PA,_Z,_Z,_Z,2023-04,3.343
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IRLT,PA,_Z,_Z,_Z,2023-05,3.5
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IRLT,PA,_Z,_Z,_Z,2023-06,3.916
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IRLT,PA,_Z,_Z,_Z,2023-07,4.036
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IRLT,PA,_Z,_Z,_Z,2023-08,4.128
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IRLT,PA,_Z,_Z,_Z,2023-09,4.211
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,IRLT,PA,_Z,_Z,_Z,2023-11,4.578
