STRUCTURE,STRUCTURE_ID,ACTION,REF_AREA,FREQ,MEASURE,UNIT_MEASURE,ACTIVITY,ADJUSTMENT,TRANSFORMATION,TIME_PERIOD,OBS_VALUE
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,USA,M,UNEMP,PT_LF,_T,Y,_Z,2018-11,3.8
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,USA,M,UNEMP,PT_LF,_T,Y,_Z,2018-10,3.8
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,UNEMP,PT_LF,_T,Y,_Z,2023-04,3.7227337
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,UNEMP,PT_LF,_T,Y,_Z,2010-07,5.2879278
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,UNEMP,PT_LF,_T,Y,_Z,2010-06,5.1441574
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,USA,M,UNEMP,PT_LF,_T,Y,_Z,2020-02,3.5
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,USA,M,UNEMP,PT_LF,_T,Y,_Z,2020-01,3.6
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,USA,M,UNEMP,PT_LF,_T,Y,_Z,2019-12,3.6
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,UNEMP,PT_LF,_T,Y,_Z,2025-12,4.1048613
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,UNEMP,PT_LF,_T,Y,_Z,2025-11,4.3093863
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,UNEMP,PT_LF,_T,Y,_Z,2025-10,4.3258293
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,UNEMP,PT_LF,_T,Y,_Z,2025-09,4.4425105
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,UNEMP,PT_LF,_T,Y,_Z,2025-08,4.2501789
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,UNEMP,PT_LF,_T,Y,_Z,2024-03,3.8821345
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,UNEMP,PT_LF,_T,Y,_Z,2024-02,3.7405917
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,UNEMP,PT_LF,_T,Y,_Z,2024-01,4.0989635
