country_id,country_name,indicator_id,indicator_name,date,value
AU,Australia,NY.GDP.MKTP.CD,GDP (current US$),2007,856603595823.192
AU,Australia,NY.GDP.MKTP.CD,GDP (current US$),2008,1058448244063.77
AU,Australia,NY.GDP.MKTP.CD,GDP (current US$),2009,931761689770.843
AU,Australia,NY.GDP.MKTP.CD,GDP (current US$),2010,1152566632022.13
AU,Australia,NY.GDP.MKTP.CD,GDP (current US$),2011,1402939868653.4
AU,Australia,NY.GDP.MKTP.CD,GDP (current US$),2012,1552728401401.58
AU,Australia,NY.GDP.MKTP.CD,GDP (current US$),2013,1583737461925.39
AU,Australia,NY.GDP.MKTP.CD,GDP (current US$),2014,1474677007565.64
AU,Australia,NY.GDP.MKTP.CD,GDP (current US$),2015,1356805839935.9
AU,Australia,NY.GDP.MKTP.CD,GDP (current US$),2016,1211588128417.61
AU,Australia,NY.GDP.MKTP.CD,GDP (current US$),2017,1330890554614.09
AU,Australia,NY.GDP.MKTP.CD,GDP (current US$),2018,1433144978761.67
AU,Australia,NY.GDP.MKTP.CD,GDP (current US$),2019,1398349602956.35
AU,Australia,NY.GDP.MKTP.CD,GDP (current US$),2020,1333336461648.09
AU,Australia,NY.GDP.MKTP.CD,GDP (current US$),2021,1560617493202.69
AU,Australia,NY.GDP.MKTP.CD,GDP (current US$),2022,1695627535475.8
AU,Australia,NY.GDP.MKTP.CD,GDP (current US$),2023,1734451264655.6
AU,Australia,NY.GDP.MKTP.CD,GDP (current US$),2024,1757022451652.83
BR,Brazil,NY.GDP.MKTP.CD,GDP (current US$),2007,1397114247188.89
BR,Brazil,NY.GDP.MKTP.CD,GDP (current US$),2008,1695855391757.96
BR,Brazil,NY.GDP.MKTP.CD,GDP (current US$),2009,1666996294252.12
BR,Brazil,NY.GDP.MKTP.CD,GDP (current US$),2010,2208838108484.35
BR,Brazil,NY.GDP.MKTP.CD,GDP (current US$),2011,2616156606579.21
BR,Brazil,NY.GDP.MKTP.CD,GDP (current US$),2012,2465228293706.86
BR,Brazil,NY.GDP.MKTP.CD,GDP (current US$),2013,2472819362043.74
BR,Brazil,NY.GDP.MKTP.CD,GDP (current US$),2014,2456043766032.38
BR,Brazil,NY.GDP.MKTP.CD,GDP (current US$),2015,1802211999456.42
BR,Brazil,NY.GDP.MKTP.CD,GDP (current US$),2016,1795693265999.04
BR,Brazil,NY.GDP.MKTP.CD,GDP (current US$),2017,2063514688805.78
BR,Brazil,NY.GDP.MKTP.CD,GDP (current US$),2018,1916933708352.71
BR,Brazil,NY.GDP.MKTP.CD,GDP (current US$),2019,1873288158838.63
BR,Brazil,NY.GDP.MKTP.CD,GDP (current US$),2020,1476107292151.95
BR,Brazil,NY.GDP.MKTP.CD,GDP (current US$),2021,1670647464062.96
BR,Brazil,NY.GDP.MKTP.CD,GDP (current US$),2022,1951923832083.87
BR,Brazil,NY.GDP.MKTP.CD,GDP (current US$),2023,2191131869706.02
BR,Brazil,NY.GDP.MKTP.CD,GDP (current US$),2024,2185821648943.86
CA,Canada,NY.GDP.MKTP.CD,GDP (current US$),2007,1468820407783.26
CA,Canada,NY.GDP.MKTP.CD,GDP (current US$),2008,1552989690721.65
CA,Canada,NY.GDP.MKTP.CD,GDP (current US$),2009,1374625142157.29
CA,Canada,NY.GDP.MKTP.CD,GDP (current US$),2010,1617343367486.26
CA,Canada,NY.GDP.MKTP.CD,GDP (current US$),2011,1793326630174.52
CA,Canada,NY.GDP.MKTP.CD,GDP (current US$),2012,1828366481521.6
CA,Canada,NY.GDP.MKTP.CD,GDP (current US$),2013,1846597421834.98
CA,Canada,NY.GDP.MKTP.CD,GDP (current US$),2014,1805749878439.94
CA,Canada,NY.GDP.MKTP.CD,GDP (current US$),2015,1556508816217.14
CA,Canada,NY.GDP.MKTP.CD,GDP (current US$),2016,1527994741907.43
CA,Canada,NY.GDP.MKTP.CD,GDP (current US$),2017,1649265644244.09
CA,Canada,NY.GDP.MKTP.CD,GDP (current US$),2018,1725329192783.02
CA,Canada,NY.GDP.MKTP.CD,GDP (current US$),2019,1743725183672.52
CA,Canada,NY.GDP.MKTP.CD,GDP (current US$),2020,1655684730000.19
CA,Canada,NY.GDP.MKTP.CD,GDP (current US$),2021,2022378748423.23
CA,Canada,NY.GDP.MKTP.CD,GDP (current US$),2022,2190411080134.32
CA,Canada,NY.GDP.MKTP.CD,GDP (current US$),2023,2173339670064.33
CA,Canada,NY.GDP.MKTP.CD,GDP (current US$),2024,2243636826633.76
CN,China,NY.GDP.MKTP.CD,GDP (current US$),2007,3604055822571.63
CN,China,NY.GDP.MKTP.CD,GDP (current US$),2008,4667346414521.95
CN,China,NY.GDP.MKTP.CD,GDP (current US$),2009,5189577094997.58
CN,China,NY.GDP.MKTP.CD,GDP (current US$),2010,6192564874453.29
CN,China,NY.GDP.MKTP.CD,GDP (current US$),2011,7671757207851.29
CN,China,NY.GDP.MKTP.CD,GDP (current US$),2012,8673664713189.24
CN,China,NY.GDP.MKTP.CD,GDP (current US$),2013,9743124247267.24
CN,China,NY.GDP.MKTP.CD,GDP (current US$),2014,10674533168257.4
CN,China,NY.GDP.MKTP.CD,GDP (current US$),2015,11280814787468.9
CN,China,NY.GDP.MKTP.CD,GDP (current US$),2016,11456024084962.0
CN,China,NY.GDP.MKTP.CD,GDP (current US$),2017,12537559062282.9
CN,China,NY.GDP.MKTP.CD,GDP (current US$),2018,14147765772963.8
CN,China,NY.GDP.MKTP.CD,GDP (current US$),2019,14560167101283.4
CN,China,NY.GDP.MKTP.CD,GDP (current US$),2020,14996414166715.1
CN,China,NY.GDP.MKTP.CD,GDP (current US$),2021,18201698719564.0
CN,China,NY.GDP.MKTP.CD,GDP (current US$),2022,18316765021690.2
CN,China,NY.GDP.MKTP.CD,GDP (current US$),2023,18270356654533.2
CN,China,NY.GDP.MKTP.CD,GDP (current US$),2024,18743803170827.2
DE,Germany,NY.GDP.MKTP.CD,GDP (current US$),2007,3484056680854.91
DE,Germany,NY.GDP.MKTP.CD,GDP (current US$),2008,3808197720125.0
DE,Germany,NY.GDP.MKTP.CD,GDP (current US$),2009,3478545516683.59
DE,Germany,NY.GDP.MKTP.CD,GDP (current US$),2010,3467093769666.67
DE,Germany,NY.GDP.MKTP.CD,GDP (current US$),2011,3823575803793.78
DE,Germany,NY.GDP.MKTP.CD,GDP (current US$),2012,3596483233406.25
DE,Germany,NY.GDP.MKTP.CD,GDP (current US$),2013,3807023797050.99
DE,Germany,NY.GDP.MKTP.CD,GDP (current US$),2014,3964870735760.77
DE,Germany,NY.GDP.MKTP.CD,GDP (current US$),2015,3425099578746.09
DE,Germany,NY.GDP.MKTP.CD,GDP (current US$),2016,3536787895179.0
DE,Germany,NY.GDP.MKTP.CD,GDP (current US$),2017,3765351626105.89
DE,Germany,NY.GDP.MKTP.CD,GDP (current US$),2018,4055433215301.96
DE,Germany,NY.GDP.MKTP.CD,GDP (current US$),2019,3959894794039.21
DE,Germany,NY.GDP.MKTP.CD,GDP (current US$),2020,3941398957073.94
DE,Germany,NY.GDP.MKTP.CD,GDP (current US$),2021,4355251953410.78
DE,Germany,NY.GDP.MKTP.CD,GDP (current US$),2022,4201021706478.62
DE,Germany,NY.GDP.MKTP.CD,GDP (current US$),2023,4562207532490.28
DE,Germany,NY.GDP.MKTP.CD,GDP (current US$),2024,4685592577804.69
FR,France,NY.GDP.MKTP.CD,GDP (current US$),2007,2655816911866.56
FR,France,NY.GDP.MKTP.CD,GDP (current US$),2008,2926802941585.86
FR,France,NY.GDP.MKTP.CD,GDP (current US$),2009,2700075882518.98
FR,France,NY.GDP.MKTP.CD,GDP (current US$),2010,2646230027988.34
FR,France,NY.GDP.MKTP.CD,GDP (current US$),2011,2870408553990.28
FR,France,NY.GDP.MKTP.CD,GDP (current US$),2012,2683007095787.23
FR,France,NY.GDP.MKTP.CD,GDP (current US$),2013,2816077607875.26
FR,France,NY.GDP.MKTP.CD,GDP (current US$),2014,2861236112552.42
FR,France,NY.GDP.MKTP.CD,GDP (current US$),2015,2442483452642.5
FR,France,NY.GDP.MKTP.CD,GDP (current US$),2016,2470407619777.13
FR,France,NY.GDP.MKTP.CD,GDP (current US$),2017,2588868323334.71
FR,France,NY.GDP.MKTP.CD,GDP (current US$),2018,2781576320884.39
FR,France,NY.GDP.MKTP.CD,GDP (current US$),2019,2722793515171.76
FR,France,NY.GDP.MKTP.CD,GDP (current US$),2020,2647926055110.05
FR,France,NY.GDP.MKTP.CD,GDP (current US$),2021,2966433692008.09
FR,France,NY.GDP.MKTP.CD,GDP (current US$),2022,2794788137066.94
FR,France,NY.GDP.MKTP.CD,GDP (current US$),2023,3056250648138.29
FR,France,NY.GDP.MKTP.CD,GDP (current US$),2024,3160442622465.08
GB,United Kingdom,NY.GDP.MKTP.CD,GDP (current US$),2007,3104699879951.98
GB,United Kingdom,NY.GDP.MKTP.CD,GDP (current US$),2008,2945251838235.29
GB,United Kingdom,NY.GDP.MKTP.CD,GDP (current US$),2009,2429358155475.93
GB,United Kingdom,NY.GDP.MKTP.CD,GDP (current US$),2010,2496740681057.14
GB,United Kingdom,NY.GDP.MKTP.CD,GDP (current US$),2011,2675590034128.66
GB,United Kingdom,NY.GDP.MKTP.CD,GDP (current US$),2012,2719715961539.83
GB,United Kingdom,NY.GDP.MKTP.CD,GDP (current US$),2013,2796908333283.39
GB,United Kingdom,NY.GDP.MKTP.CD,GDP (current US$),2014,3085362169410.29
GB,United Kingdom,NY.GDP.MKTP.CD,GDP (current US$),2015,2945579890258.46
GB,United Kingdom,NY.GDP.MKTP.CD,GDP (current US$),2016,2706807606538.73
GB,United Kingdom,NY.GDP.MKTP.CD,GDP (current US$),2017,2699118387873.1
GB,United Kingdom,NY.GDP.MKTP.CD,GDP (current US$),2018,2897028009916.05
GB,United Kingdom,NY.GDP.MKTP.CD,GDP (current US$),2019,2875710080015.3
GB,United Kingdom,NY.GDP.MKTP.CD,GDP (current US$),2020,2724001478304.59
GB,United Kingdom,NY.GDP.MKTP.CD,GDP (current US$),2021,3194559188925.93
GB,United Kingdom,NY.GDP.MKTP.CD,GDP (current US$),2022,3181244350465.41
GB,United Kingdom,NY.GDP.MKTP.CD,GDP (current US$),2023,3420796653789.08
GB,United Kingdom,NY.GDP.MKTP.CD,GDP (current US$),2024,3686033044482.13
ID,Indonesia,NY.GDP.MKTP.CD,GDP (current US$),2007,432216737774.861
ID,Indonesia,NY.GDP.MKTP.CD,GDP (current US$),2008,510228634992.258
ID,Indonesia,NY.GDP.MKTP.CD,GDP (current US$),2009,539580085612.401
ID,Indonesia,NY.GDP.MKTP.CD,GDP (current US$),2010,755094157621.936
ID,Indonesia,NY.GDP.MKTP.CD,GDP (current US$),2011,892969104563.171
ID,Indonesia,NY.GDP.MKTP.CD,GDP (current US$),2012,917869913332.649
ID,Indonesia,NY.GDP.MKTP.CD,GDP (current US$),2013,912524136718.018
ID,Indonesia,NY.GDP.MKTP.CD,GDP (current US$),2014,890814755533.537
ID,Indonesia,NY.GDP.MKTP.CD,GDP (current US$),2015,860854232686.214
ID,Indonesia,NY.GDP.MKTP.CD,GDP (current US$),2016,931877364037.698
ID,Indonesia,NY.GDP.MKTP.CD,GDP (current US$),2017,1015618744159.73
ID,Indonesia,NY.GDP.MKTP.CD,GDP (current US$),2018,1042271532988.63
ID,Indonesia,NY.GDP.MKTP.CD,GDP (current US$),2019,1119099871350.2
ID,Indonesia,NY.GDP.MKTP.CD,GDP (current US$),2020,1059054842698.48
ID,Indonesia,NY.GDP.MKTP.CD,GDP (current US$),2021,1186509691086.73
ID,Indonesia,NY.GDP.MKTP.CD,GDP (current US$),2022,1319101183380.15
ID,Indonesia,NY.GDP.MKTP.CD,GDP (current US$),2023,1371169301563.62
ID,Indonesia,NY.GDP.MKTP.CD,GDP (current US$),2024,1396300098190.97
IN,India,NY.GDP.MKTP.CD,GDP (current US$),2007,1216736438834.96
IN,India,NY.GDP.MKTP.CD,GDP (current US$),2008,1198895139005.92
IN,India,NY.GDP.MKTP.CD,GDP (current US$),2009,1341888016994.9
IN,India,NY.GDP.MKTP.CD,GDP (current US$),2010,1675615519484.96
IN,India,NY.GDP.MKTP.CD,GDP (current US$),2011,1823051829894.55
IN,India,NY.GDP.MKTP.CD,GDP (current US$),2012,1827637590410.41
IN,India,NY.GDP.MKTP.CD,GDP (current US$),2013,1856721507621.58
IN,India,NY.GDP.MKTP.CD,GDP (current US$),2014,2039126479154.52
IN,India,NY.GDP.MKTP.CD,GDP (current US$),2015,2103588360044.94
IN,India,NY.GDP.MKTP.CD,GDP (current US$),2016,2294796885663.16
IN,India,NY.GDP.MKTP.CD,GDP (current US$),2017,2651474262755.45
IN,India,NY.GDP.MKTP.CD,GDP (current US$),2018,2702929641648.74
IN,India,NY.GDP.MKTP.CD,GDP (current US$),2019,2835606256558.19
IN,India,NY.GDP.MKTP.CD,GDP (current US$),2020,2674851578587.27
IN,India,NY.GDP.MKTP.CD,GDP (current US$),2021,3167270623260.47
IN,India,NY.GDP.MKTP.CD,GDP (current US$),2022,3346107287730.93
IN,India,NY.GDP.MKTP.CD,GDP (current US$),2023,3638489096033.86
IN,India,NY.GDP.MKTP.CD,GDP (current US$),2024,3909891533858.08
IT,Italy,NY.GDP.MKTP.CD,GDP (current US$),2007,2222524108127.65
IT,Italy,NY.GDP.MKTP.CD,GDP (current US$),2008,2417508414187.19
IT,Italy,NY.GDP.MKTP.CD,GDP (current US$),2009,2209484319012.65
IT,Italy,NY.GDP.MKTP.CD,GDP (current US$),2010,2144936254535.0
IT,Italy,NY.GDP.MKTP.CD,GDP (current US$),2011,2306974020278.21
IT,Italy,NY.GDP.MKTP.CD,GDP (current US$),2012,2097929495121.68
IT,Italy,NY.GDP.MKTP.CD,GDP (current US$),2013,2153225581941.46
IT,Italy,NY.GDP.MKTP.CD,GDP (current US$),2014,2173255507985.84
IT,Italy,NY.GDP.MKTP.CD,GDP (current US$),2015,1845428048839.1
IT,Italy,NY.GDP.MKTP.CD,GDP (current US$),2016,1887111188176.93
IT,Italy,NY.GDP.MKTP.CD,GDP (current US$),2017,1970720904584.71
IT,Italy,NY.GDP.MKTP.CD,GDP (current US$),2018,2099435266458.67
IT,Italy,NY.GDP.MKTP.CD,GDP (current US$),2019,2019606796583.53
IT,Italy,NY.GDP.MKTP.CD,GDP (current US$),2020,1907481094079.23
IT,Italy,NY.GDP.MKTP.CD,GDP (current US$),2021,2179207773596.09
IT,Italy,NY.GDP.MKTP.CD,GDP (current US$),2022,2104067630319.46
IT,Italy,NY.GDP.MKTP.CD,GDP (current US$),2023,2316727999333.18
IT,Italy,NY.GDP.MKTP.CD,GDP (current US$),2024,2380825077243.59
JP,Japan,NY.GDP.MKTP.CD,GDP (current US$),2007,4579750920354.81
JP,Japan,NY.GDP.MKTP.CD,GDP (current US$),2008,5106679115127.3
JP,Japan,NY.GDP.MKTP.CD,GDP (current US$),2009,5289493117993.89
JP,Japan,NY.GDP.MKTP.CD,GDP (current US$),2010,5759071769013.11
JP,Japan,NY.GDP.MKTP.CD,GDP (current US$),2011,6233147172341.35
JP,Japan,NY.GDP.MKTP.CD,GDP (current US$),2012,6272362996105.03
JP,Japan,NY.GDP.MKTP.CD,GDP (current US$),2013,5212328181166.18
JP,Japan,NY.GDP.MKTP.CD,GDP (current US$),2014,4896994405353.29
JP,Japan,NY.GDP.MKTP.CD,GDP (current US$),2015,4444930651964.18
JP,Japan,NY.GDP.MKTP.CD,GDP (current US$),2016,5003677627544.24
JP,Japan,NY.GDP.MKTP.CD,GDP (current US$),2017,4930837369151.42
JP,Japan,NY.GDP.MKTP.CD,GDP (current US$),2018,5040880939324.86
JP,Japan,NY.GDP.MKTP.CD,GDP (current US$),2019,5117993853016.51
JP,Japan,NY.GDP.MKTP.CD,GDP (current US$),2020,5054068005376.28
JP,Japan,NY.GDP.MKTP.CD,GDP (current US$),2021,5039148168861.22
JP,Japan,NY.GDP.MKTP.CD,GDP (current US$),2022,4262463317796.53
JP,Japan,NY.GDP.MKTP.CD,GDP (current US$),2023,4213167237905.83
