country_id,country_name,indicator_id,indicator_name,date,value
AU,Australia,NY.GDP.PCAP.CD,GDP per capita (current US$),2007,41128.2476618402
AU,Australia,NY.GDP.PCAP.CD,GDP per capita (current US$),2008,49811.2067218988
AU,Australia,NY.GDP.PCAP.CD,GDP per capita (current US$),2009,42954.8494884573
AU,Australia,NY.GDP.PCAP.CD,GDP per capita (current US$),2010,52313.8939041213
AU,Australia,NY.GDP.PCAP.CD,GDP per capita (current US$),2011,62799.3895017032
AU,Australia,NY.GDP.PCAP.CD,GDP per capita (current US$),2012,68301.4402512587
AU,Australia,NY.GDP.PCAP.CD,GDP per capita (current US$),2013,68476.6788496118
AU,Australia,NY.GDP.PCAP.CD,GDP per capita (current US$),2014,62817.2061751737
AU,Australia,NY.GDP.PCAP.CD,GDP per capita (current US$),2015,56970.3613028094
AU,Australia,NY.GDP.PCAP.CD,GDP per capita (current US$),2016,50084.4440606385
AU,Australia,NY.GDP.PCAP.CD,GDP per capita (current US$),2017,54117.547718609
AU,Australia,NY.GDP.PCAP.CD,GDP per capita (current US$),2018,57410.1737346009
AU,Australia,NY.GDP.PCAP.CD,GDP per capita (current US$),2019,55194.7585097428
AU,Australia,NY.GDP.PCAP.CD,GDP per capita (current US$),2020,51983.4523666382
AU,Australia,NY.GDP.PCAP.CD,GDP per capita (current US$),2021,60758.9044397144
AU,Australia,NY.GDP.PCAP.CD,GDP per capita (current US$),2022,65169.5191118657
AU,Australia,NY.GDP.PCAP.CD,GDP per capita (current US$),2023,65058.3773146674
AU,Australia,NY.GDP.PCAP.CD,GDP per capita (current US$),2024,64603.9856308464
BR,Brazil,NY.GDP.PCAP.CD,GDP per capita (current US$),2007,7409.69003822861
BR,Brazil,NY.GDP.PCAP.CD,GDP per capita (current US$),2008,8908.33338467948
BR,Brazil,NY.GDP.PCAP.CD,GDP per capita (current US$),2009,8678.6584730653
BR,Brazil,NY.GDP.PCAP.CD,GDP per capita (current US$),2010,11403.2840038694
BR,Brazil,NY.GDP.PCAP.CD,GDP per capita (current US$),2011,13396.6263158041
BR,Brazil,NY.GDP.PCAP.CD,GDP per capita (current US$),2012,12521.7238454434
BR,Brazil,NY.GDP.PCAP.CD,GDP per capita (current US$),2013,12458.8903396625
BR,Brazil,NY.GDP.PCAP.CD,GDP per capita (current US$),2014,12274.9941630213
BR,Brazil,NY.GDP.PCAP.CD,GDP per capita (current US$),2015,8936.1955889444
BR,Brazil,NY.GDP.PCAP.CD,GDP per capita (current US$),2016,8836.28546025694
BR,Brazil,NY.GDP.PCAP.CD,GDP per capita (current US$),2017,10080.5078722821
BR,Brazil,NY.GDP.PCAP.CD,GDP per capita (current US$),2018,9300.66072904004
BR,Brazil,NY.GDP.PCAP.CD,GDP per capita (current US$),2019,9029.83304401079
BR,Brazil,NY.GDP.PCAP.CD,GDP per capita (current US$),2020,7074.19407495707
BR,Brazil,NY.GDP.PCAP.CD,GDP per capita (current US$),2021,7972.53696080695
BR,Brazil,NY.GDP.PCAP.CD,GDP per capita (current US$),2022,9281.33282136864
BR,Brazil,NY.GDP.PCAP.CD,GDP per capita (current US$),2023,10377.5897719195
BR,Brazil,NY.GDP.PCAP.CD,GDP per capita (current US$),2024,10310.5488778166
CA,Canada,NY.GDP.PCAP.CD,GDP per capita (current US$),2007,44660.0838892281
CA,Canada,NY.GDP.PCAP.CD,GDP per capita (current US$),2008,46710.2526864484
CA,Canada,NY.GDP.PCAP.CD,GDP per capita (current US$),2009,40874.8831932903
CA,Canada,NY.GDP.PCAP.CD,GDP per capita (current US$),2010,47560.6666009406
CA,Canada,NY.GDP.PCAP.CD,GDP per capita (current US$),2011,52223.8588398531
CA,Canada,NY.GDP.PCAP.CD,GDP per capita (current US$),2012,52670.3447335415
CA,Canada,NY.GDP.PCAP.CD,GDP per capita (current US$),2013,52638.1187235237
CA,Canada,NY.GDP.PCAP.CD,GDP per capita (current US$),2014,50960.8431174661
CA,Canada,NY.GDP.PCAP.CD,GDP per capita (current US$),2015,43594.1941045394
CA,Canada,NY.GDP.PCAP.CD,GDP per capita (current US$),2016,42314.0615817218
CA,Canada,NY.GDP.PCAP.CD,GDP per capita (current US$),2017,45129.628116623
CA,Canada,NY.GDP.PCAP.CD,GDP per capita (current US$),2018,46539.1761570405
CA,Canada,NY.GDP.PCAP.CD,GDP per capita (current US$),2019,46352.8693445211
CA,Canada,NY.GDP.PCAP.CD,GDP per capita (current US$),2020,43537.839298904
