country_id,country_name,indicator_id,indicator_name,date,value
AU,Australia,SP.POP.TOTL,"Population, total",2007,20827622
AU,Australia,SP.POP.TOTL,"Population, total",2008,21249199
AU,Australia,SP.POP.TOTL,"Population, total",2009,21691653
AU,Australia,SP.POP.TOTL,"Population, total",2010,22031750
AU,Australia,SP.POP.TOTL,"Population, total",2011,22340024
AU,Australia,SP.POP.TOTL,"Population, total",2012,22733465
AU,Australia,SP.POP.TOTL,"Population, total",2013,23128129
AU,Australia,SP.POP.TOTL,"Population, total",2014,23475686
AU,Australia,SP.POP.TOTL,"Population, total",2015,23815995
AU,Australia,SP.POP.TOTL,"Population, total",2016,24190907
AU,Australia,SP.POP.TOTL,"Population, total",2017,24592588
AU,Australia,SP.POP.TOTL,"Population, total",2018,24963258
AU,Australia,SP.POP.TOTL,"Population, total",2019,25334826
AU,Australia,SP.POP.TOTL,"Population, total",2020,25649248
AU,Australia,SP.POP.TOTL,"Population, total",2021,25685412
AU,Australia,SP.POP.TOTL,"Population, total",2022,26018721
AU,Australia,SP.POP.TOTL,"Population, total",2023,26659922
AU,Australia,SP.POP.TOTL,"Population, total",2024,27196812
BR,Brazil,SP.POP.TOTL,"Population, total",2007,188552320
BR,Brazil,SP.POP.TOTL,"Population, total",2008,190367302
BR,Brazil,SP.POP.TOTL,"Population, total",2009,192079951
BR,Brazil,SP.POP.TOTL,"Population, total",2010,193701929
BR,Brazil,SP.POP.TOTL,"Population, total",2011,195284734
BR,Brazil,SP.POP.TOTL,"Population, total",2012,196876111
BR,Brazil,SP.POP.TOTL,"Population, total",2013,198478299
BR,Brazil,SP.POP.TOTL,"Population, total",2014,200085127
BR,Brazil,SP.POP.TOTL,"Population, total",2015,201675532
BR,Brazil,SP.POP.TOTL,"Population, total",2016,203218114
BR,Brazil,SP.POP.TOTL,"Population, total",2017,204703445
BR,Brazil,SP.POP.TOTL,"Population, total",2018,206107261
BR,Brazil,SP.POP.TOTL,"Population, total",2019,207455459
BR,Brazil,SP.POP.TOTL,"Population, total",2020,208660842
BR,Brazil,SP.POP.TOTL,"Population, total",2021,209550294
BR,Brazil,SP.POP.TOTL,"Population, total",2022,210306415
BR,Brazil,SP.POP.TOTL,"Population, total",2023,211140729
BR,Brazil,SP.POP.TOTL,"Population, total",2024,211998573
CA,Canada,SP.POP.TOTL,"Population, total",2007,32888886
CA,Canada,SP.POP.TOTL,"Population, total",2008,33247298
CA,Canada,SP.POP.TOTL,"Population, total",2009,33630069
CA,Canada,SP.POP.TOTL,"Population, total",2010,34005902
CA,Canada,SP.POP.TOTL,"Population, total",2011,34339221
CA,Canada,SP.POP.TOTL,"Population, total",2012,34713395
CA,Canada,SP.POP.TOTL,"Population, total",2013,35080992
CA,Canada,SP.POP.TOTL,"Population, total",2014,35434066
CA,Canada,SP.POP.TOTL,"Population, total",2015,35704498
CA,Canada,SP.POP.TOTL,"Population, total",2016,36110803
CA,Canada,SP.POP.TOTL,"Population, total",2017,36545075
CA,Canada,SP.POP.TOTL,"Population, total",2018,37072620
CA,Canada,SP.POP.TOTL,"Population, total",2019,37618495
CA,Canada,SP.POP.TOTL,"Population, total",2020,38028638
CA,Canada,SP.POP.TOTL,"Population, total",2021,38239864
CA,Canada,SP.POP.TOTL,"Population, total",2022,38935934
CA,Canada,SP.POP.TOTL,"Population, total",2023,40083484
CA,Canada,SP.POP.TOTL,"Population, total",2024,41288599
CN,China,SP.POP.TOTL,"Population, total",2007,1317885000
CN,China,SP.POP.TOTL,"Population, total",2008,1324655000
CN,China,SP.POP.TOTL,"Population, total",2009,1331260000
CN,China,SP.POP.TOTL,"Population, total",2010,1337705000
CN,China,SP.POP.TOTL,"Population, total",2011,1345035000
CN,China,SP.POP.TOTL,"Population, total",2012,1354190000
CN,China,SP.POP.TOTL,"Population, total",2013,1363240000
CN,China,SP.POP.TOTL,"Population, total",2014,1371860000
CN,China,SP.POP.TOTL,"Population, total",2015,1379860000
CN,China,SP.POP.TOTL,"Population, total",2016,1387790000
CN,China,SP.POP.TOTL,"Population, total",2017,1396215000
CN,China,SP.POP.TOTL,"Population, total",2018,1402760000
CN,China,SP.POP.TOTL,"Population, total",2019,1407745000
CN,China,SP.POP.TOTL,"Population, total",2020,1411100000
CN,China,SP.POP.TOTL,"Population, total",2021,1412360000
CN,China,SP.POP.TOTL,"Population, total",2022,1412175000
CN,China,SP.POP.TOTL,"Population, total",2023,1410710000
CN,China,SP.POP.TOTL,"Population, total",2024,1408975000
DE,Germany,SP.POP.TOTL,"Population, total",2007,82266372
DE,Germany,SP.POP.TOTL,"Population, total",2008,82110097
DE,Germany,SP.POP.TOTL,"Population, total",2009,81902307
DE,Germany,SP.POP.TOTL,"Population, total",2010,81776930
DE,Germany,SP.POP.TOTL,"Population, total",2011,80274983
DE,Germany,SP.POP.TOTL,"Population, total",2012,80425823
DE,Germany,SP.POP.TOTL,"Population, total",2013,80645605
DE,Germany,SP.POP.TOTL,"Population, total",2014,80982500
DE,Germany,SP.POP.TOTL,"Population, total",2015,81686611
DE,Germany,SP.POP.TOTL,"Population, total",2016,82348669
DE,Germany,SP.POP.TOTL,"Population, total",2017,82657002
DE,Germany,SP.POP.TOTL,"Population, total",2018,82905782
DE,Germany,SP.POP.TOTL,"Population, total",2019,83092962
DE,Germany,SP.POP.TOTL,"Population, total",2020,83160871
DE,Germany,SP.POP.TOTL,"Population, total",2021,83196078
DE,Germany,SP.POP.TOTL,"Population, total",2022,83177813
DE,Germany,SP.POP.TOTL,"Population, total",2023,83287273
DE,Germany,SP.POP.TOTL,"Population, total",2024,83516593
FR,France,SP.POP.TOTL,"Population, total",2007,64016890
FR,France,SP.POP.TOTL,"Population, total",2008,64375116
FR,France,SP.POP.TOTL,"Population, total",2009,64706436
FR,France,SP.POP.TOTL,"Population, total",2010,65026211
FR,France,SP.POP.TOTL,"Population, total",2011,65340830
FR,France,SP.POP.TOTL,"Population, total",2012,65657659
FR,France,SP.POP.TOTL,"Population, total",2013,65997932
FR,France,SP.POP.TOTL,"Population, total",2014,66312067
FR,France,SP.POP.TOTL,"Population, total",2015,66548272
FR,France,SP.POP.TOTL,"Population, total",2016,66724104
FR,France,SP.POP.TOTL,"Population, total",2017,66918020
FR,France,SP.POP.TOTL,"Population, total",2018,67158348
FR,France,SP.POP.TOTL,"Population, total",2019,67382061
FR,France,SP.POP.TOTL,"Population, total",2020,67601110
FR,France,SP.POP.TOTL,"Population, total",2021,67842811
FR,France,SP.POP.TOTL,"Population, total",2022,68184457
FR,France,SP.POP.TOTL,"Population, total",2023,68372286
FR,France,SP.POP.TOTL,"Population, total",2024,68551653
GB,United Kingdom,SP.POP.TOTL,"Population, total",2007,61322463
GB,United Kingdom,SP.POP.TOTL,"Population, total",2008,61806995
GB,United Kingdom,SP.POP.TOTL,"Population, total",2009,62276270
